 	le	serpent	rouge	konga	mange	des	grillons	</S>
a66	0.266246	0.251451	0.226855	0.116041	0.0593403	0.0321572	0.0248413	0.0230675
a87	0.391145	0.196214	0.127458	0.0986061	0.100678	0.039718	0.0297923	0.0163893
a23	0.322767	0.31926	0.238729	0.0828226	0.0174637	0.00751863	0.00621384	0.00522473
a93	0.368845	0.357649	0.194496	0.0474015	0.010038	0.00532908	0.00710099	0.00914076
a70	0.385779	0.303537	0.194167	0.0809671	0.0138964	0.00760211	0.00749676	0.00655531
a94	0.240696	0.253154	0.212145	0.193678	0.050261	0.0257371	0.0151	0.00922929
a98	0.193109	0.187907	0.163283	0.234061	0.103962	0.0597012	0.0358676	0.0221084
a85	0.0516211	0.0566269	0.107896	0.334683	0.230815	0.121094	0.0631674	0.034097
a6	0.0351282	0.0333816	0.0495086	0.162471	0.288135	0.243327	0.132765	0.0552834
a85	0.0446616	0.035127	0.0444667	0.13707	0.292589	0.232493	0.148103	0.0654902
a6	0.0204094	0.0152903	0.0218764	0.0924964	0.241369	0.268244	0.210511	0.129804
a36	0.0657928	0.038162	0.0332927	0.110068	0.185179	0.214812	0.206698	0.145996
a21	0.016199	0.00807746	0.00545351	0.0193113	0.0679951	0.159496	0.312841	0.410627
a5	0.0114781	0.00666504	0.00514723	0.0159682	0.0581779	0.123221	0.277414	0.501929
a96	0.00714009	0.00288816	0.00173027	0.00400899	0.016134	0.0475048	0.209593	0.711
a61	0.0101173	0.00398396	0.00285783	0.00558731	0.0235782	0.0695268	0.22848	0.655868
a12	0.00440208	0.0018389	0.00132706	0.00370639	0.020134	0.0650519	0.227598	0.675941
a18	0.00362134	0.00191982	0.00170083	0.0059005	0.0267878	0.0824327	0.24037	0.637267
a82	0.00545368	0.00319106	0.00346958	0.0103837	0.0273853	0.0781435	0.232529	0.639444
a87	0.0949832	0.0544885	0.0712878	0.0470281	0.0494785	0.0905052	0.193884	0.398345
a23	0.36064	0.233051	0.186763	0.0638106	0.0370208	0.037455	0.0412359	0.0400245
a87	0.121451	0.0701651	0.0610188	0.0292258	0.0556877	0.0897814	0.208156	0.364514
a23	0.0161575	0.00855454	0.00716656	0.00448852	0.0248024	0.0895468	0.324306	0.524978
a87	0.0195772	0.0123726	0.014708	0.0207183	0.0721143	0.103836	0.256525	0.500148
</S>	0.00835901	0.00450093	0.00459506	0.00648771	0.0417733	0.110069	0.315451	0.508764
