 	j'	ai	donné	à	mon	fils	le	nom	d'	okwere	</S>
a15	0.287466	0.152446	0.102416	0.0857172	0.0888966	0.0835556	0.0961429	0.0554039	0.0189602	0.0144581	0.0145371
a66	0.1645	0.147666	0.122055	0.134924	0.103299	0.0966889	0.0702974	0.0441973	0.0372647	0.0416106	0.0374963
a87	0.479711	0.222566	0.103895	0.0531084	0.0306565	0.0255988	0.016367	0.0120845	0.0144788	0.0221751	0.0193583
a23	0.386442	0.245767	0.145175	0.0664242	0.0348279	0.0237109	0.018006	0.0184297	0.0169504	0.0242068	0.0200604
a18	0.288282	0.231112	0.175184	0.0909912	0.0483655	0.0314747	0.013102	0.0183054	0.0227261	0.0425261	0.0379306
a11	0.187123	0.166058	0.122344	0.0667192	0.0469475	0.0483598	0.0262534	0.0527254	0.0771113	0.123649	0.082709
a31	0.267718	0.224776	0.148983	0.0772742	0.0534297	0.0553885	0.0360486	0.0389986	0.031237	0.0397576	0.0263884
a61	0.128556	0.19951	0.221147	0.134875	0.0909024	0.0745252	0.0424969	0.0386438	0.023808	0.0272719	0.0182646
a75	0.122225	0.17273	0.198047	0.13522	0.105329	0.0930468	0.0538973	0.048678	0.0252689	0.0283169	0.0172407
a34	0.105727	0.151213	0.19837	0.156499	0.125093	0.11559	0.0619155	0.0351329	0.0193284	0.0208626	0.0102695
a75	0.112584	0.135516	0.173738	0.148908	0.132426	0.114292	0.0712251	0.0379559	0.024023	0.0312782	0.0180527
a98	0.100309	0.113303	0.152865	0.145084	0.142959	0.126352	0.0849179	0.0479527	0.0283269	0.0351137	0.0228178
a85	0.0509069	0.0462637	0.0581429	0.0734751	0.110215	0.156052	0.155956	0.115334	0.0689748	0.0907106	0.0739696
a92	0.0526914	0.0407991	0.0469352	0.0600469	0.085981	0.110142	0.133976	0.131264	0.090338	0.130394	0.117432
a56	0.0399237	0.0257616	0.0267708	0.0374322	0.0624435	0.0742327	0.117559	0.157878	0.123545	0.170315	0.164138
a93	0.0373783	0.0251938	0.0241364	0.0300423	0.045097	0.0482532	0.0807196	0.119845	0.147724	0.240454	0.201156
a94	0.0314641	0.018941	0.0151586	0.0155077	0.0188488	0.018933	0.0307026	0.0598579	0.13499	0.319083	0.336513
a66	0.0110968	0.00630571	0.00483762	0.00457058	0.00493215	0.00504246	0.0079129	0.0266315	0.10849	0.316187	0.503993
a34	0.0221762	0.0128233	0.0103431	0.00932084	0.00725223	0.00614641	0.00838905	0.0276564	0.133495	0.271531	0.490867
a47	0.0061478	0.00281707	0.00191739	0.00168436	0.00168309	0.00284964	0.00559134	0.0288289	0.130914	0.261665	0.555901
a61	0.00187291	0.00114821	0.00094245	0.0010705	0.00134268	0.00257382	0.00497449	0.031928	0.148627	0.297993	0.507527
a83	0.00223742	0.00173861	0.00168073	0.00228987	0.00263792	0.00397992	0.00856516	0.0435583	0.167754	0.291929	0.473629
a71	0.00533869	0.00362412	0.00301418	0.00356653	0.00417352	0.00787298	0.0159335	0.0716812	0.155117	0.275655	0.454024
a9	0.064255	0.0331964	0.0253824	0.028188	0.0324561	0.039702	0.0564542	0.0988176	0.131673	0.187405	0.302469
a10	0.322735	0.157355	0.0907028	0.0758883	0.0559809	0.0452409	0.0492404	0.0470651	0.0371735	0.045163	0.0734556
a87	0.258467	0.174982	0.124698	0.100502	0.0652502	0.0454088	0.0433863	0.0492617	0.0450385	0.0405728	0.0524322
a23	0.222416	0.163731	0.122743	0.0879314	0.0485412	0.0386349	0.040594	0.0607422	0.0706251	0.0696614	0.0743798
a87	0.137668	0.084955	0.0499168	0.0395917	0.0237076	0.0229915	0.0263167	0.0614638	0.140788	0.182721	0.22988
</S>	0.0245845	0.0148985	0.0104041	0.0088418	0.00652797	0.00664294	0.0128728	0.0405263	0.178846	0.347276	0.348579
