 	le	bateau	n'	arrive	plus	à	boundji	</S>
a66	0.35177	0.208891	0.150039	0.11128	0.079974	0.0462772	0.0303284	0.02144
a87	0.429206	0.219073	0.156915	0.0863767	0.0479599	0.0250579	0.018814	0.0165981
a23	0.461481	0.256356	0.12993	0.0577577	0.0287122	0.0221253	0.0210207	0.022617
a99	0.46344	0.215478	0.115911	0.0562832	0.0264296	0.0253916	0.0400074	0.0570594
a83	0.365281	0.172408	0.113199	0.0591503	0.0369245	0.0442788	0.0817541	0.127005
a54	0.342007	0.234966	0.175084	0.080956	0.0442978	0.0381946	0.0419665	0.0425286
a79	0.223734	0.222743	0.179542	0.105217	0.0676093	0.0639576	0.0703966	0.0667996
a37	0.141557	0.190979	0.201324	0.169605	0.11106	0.0754432	0.0623464	0.0476854
a34	0.112247	0.145034	0.190613	0.191669	0.115065	0.0803135	0.0843849	0.0806737
a21	0.0882195	0.114505	0.181032	0.209216	0.129183	0.0872907	0.0934764	0.0970775
a92	0.0810569	0.100174	0.148481	0.180456	0.149794	0.112494	0.113762	0.113781
a37	0.0441304	0.0603284	0.134311	0.191877	0.165248	0.135186	0.137543	0.131376
a70	0.0369198	0.0444452	0.108575	0.20453	0.183851	0.127012	0.134672	0.159994
a93	0.0306552	0.0316043	0.0680822	0.149757	0.220481	0.168742	0.155271	0.175408
a4	0.0235603	0.0220451	0.0456965	0.110447	0.225355	0.215173	0.18684	0.170884
a44	0.0131877	0.0124062	0.0244865	0.0635759	0.172166	0.223483	0.233822	0.256872
a54	0.00519465	0.00493782	0.00999345	0.0271432	0.100011	0.205336	0.293031	0.354353
a69	0.00112097	0.00118843	0.00274137	0.00898947	0.0469842	0.149512	0.306082	0.483382
a58	0.000609616	0.000666669	0.00137937	0.00400847	0.0233964	0.1095	0.313449	0.54699
a40	0.00046426	0.000463767	0.00068648	0.0018134	0.0138787	0.0932194	0.283765	0.605709
a7	0.000814532	0.000803678	0.00118706	0.00309584	0.0212764	0.119257	0.302995	0.550571
a2	0.000237633	0.000269322	0.000362149	0.000838726	0.00693277	0.0579609	0.236228	0.697171
a57	0.021161	0.021691	0.0200463	0.024016	0.0474537	0.110535	0.23714	0.517957
a87	0.271622	0.143066	0.0780373	0.0587095	0.0699282	0.0921344	0.1168	0.169703
a23	0.389314	0.240907	0.119605	0.0639013	0.0485473	0.0475448	0.0449035	0.0452768
a87	0.215662	0.133097	0.0798529	0.0569507	0.0749189	0.128795	0.149635	0.161088
</S>	0.0163521	0.012753	0.0113175	0.0144956	0.0432871	0.149619	0.297015	0.45516
