 	le	feu	est	allumé	</S>
a87	0.421774	0.216819	0.136011	0.13395	0.0914463
a10	0.325812	0.196449	0.18279	0.170943	0.124005
a87	0.333036	0.18375	0.170543	0.174633	0.138038
a23	0.431079	0.228236	0.152758	0.117046	0.0708798
a83	0.408075	0.278798	0.150236	0.102862	0.0600288
a35	0.578905	0.241252	0.0961149	0.0532299	0.0304982
a26	0.509423	0.2983	0.11076	0.0555894	0.0259282
a35	0.50224	0.293279	0.115283	0.0549671	0.0342309
a30	0.482161	0.316656	0.122667	0.0472619	0.0312543
a25	0.503585	0.279628	0.122234	0.0572637	0.0372897
a10	0.3994	0.277194	0.171526	0.0928963	0.0589832
a26	0.28106	0.226897	0.167983	0.16937	0.15469
a35	0.271302	0.200906	0.166008	0.185818	0.175966
a24	0.270416	0.214088	0.18722	0.164512	0.163763
a96	0.1628	0.164975	0.193483	0.213079	0.265663
a75	0.0438631	0.0642514	0.132077	0.287392	0.472417
a14	0.015109	0.0219468	0.0659224	0.266857	0.630164
a35	0.0148391	0.0234295	0.0673327	0.253871	0.640528
a73	0.0262934	0.0307458	0.0641589	0.230728	0.648074
a57	0.028562	0.0257775	0.0458334	0.217779	0.682048
a87	0.0675637	0.0592019	0.0741322	0.22204	0.577063
</S>	0.040771	0.0513969	0.0817716	0.23372	0.59234
