 	il	aime	se	battre	il	est	très	batailleur	</S>
a23	0.250982	0.15246	0.120366	0.139966	0.0859472	0.0734599	0.0443392	0.0508904	0.0815897
a53	0.358059	0.232493	0.138592	0.104578	0.0742603	0.0356453	0.0155008	0.0149826	0.0258879
a15	0.295488	0.159761	0.0800145	0.0994304	0.0603317	0.0587804	0.0613356	0.0937007	0.0911579
a79	0.403067	0.242508	0.0912457	0.075121	0.0543593	0.0471309	0.038793	0.0278954	0.0198794
a37	0.366358	0.257236	0.0936325	0.0697942	0.0702479	0.0533431	0.0394548	0.0275636	0.0223702
a75	0.29386	0.239666	0.101829	0.0854765	0.0962886	0.0748357	0.0504451	0.0312649	0.0263345
a41	0.1896	0.189783	0.11783	0.110314	0.12084	0.10441	0.0788042	0.0467458	0.0416739
a7	0.133046	0.149714	0.121137	0.122018	0.143747	0.117805	0.080266	0.0646693	0.0675985
a2	0.0926472	0.122326	0.154432	0.160951	0.194233	0.117937	0.0594608	0.0475598	0.0504531
a90	0.0534099	0.0783071	0.0963752	0.146612	0.207917	0.170444	0.0849117	0.0635161	0.0985072
a56	0.0632697	0.070744	0.0782495	0.107658	0.12618	0.126745	0.141881	0.127079	0.158194
a43	0.0808751	0.0849364	0.0920524	0.120679	0.151341	0.136438	0.125853	0.105135	0.102691
a0	0.0603567	0.0615902	0.0789234	0.10117	0.143108	0.192262	0.158505	0.100785	0.1033
a24	0.0469486	0.053242	0.0815485	0.114168	0.158388	0.230817	0.151728	0.0753916	0.0877679
a9	0.061802	0.0590142	0.068654	0.0806729	0.100006	0.171466	0.209671	0.12126	0.127453
a38	0.029784	0.0326786	0.042482	0.0638321	0.0831305	0.164132	0.187504	0.127744	0.268714
a70	0.0392103	0.033557	0.0342033	0.042606	0.0510408	0.0885355	0.145941	0.157353	0.407553
a83	0.0471607	0.0433811	0.049614	0.0606406	0.0774032	0.119873	0.193992	0.165473	0.242463
a53	0.0323808	0.0293455	0.0340695	0.0453552	0.0600994	0.0960651	0.166263	0.204232	0.332189
a20	0.0141167	0.013591	0.0162901	0.0239586	0.0392034	0.0774773	0.161734	0.256346	0.397282
a7	0.0160398	0.0154232	0.0164895	0.0236218	0.0306738	0.0665547	0.152435	0.260858	0.417904
a84	0.0119117	0.0116681	0.01398	0.0215511	0.0286126	0.0604809	0.147418	0.282943	0.421434
a57	0.0070221	0.00570215	0.00514116	0.00639545	0.00617898	0.0143149	0.0459032	0.18921	0.720132
a87	0.0160266	0.00947819	0.00805639	0.007448	0.00555719	0.0121567	0.0418343	0.183056	0.716386
a23	0.0675525	0.0420743	0.0371742	0.0425347	0.0200612	0.0413987	0.0899778	0.27631	0.382917
a40	0.0200334	0.0150944	0.0132774	0.0157135	0.00943786	0.0307434	0.0886604	0.286012	0.521027
a36	0.0669506	0.0435394	0.0312005	0.0328372	0.0233808	0.0366637	0.0649627	0.193784	0.506681
a41	0.00889351	0.00728444	0.00848372	0.014142	0.0152523	0.0318631	0.0809065	0.252799	0.580375
a18	0.00705807	0.00580377	0.00585103	0.00896398	0.00994082	0.0255002	0.0743979	0.238313	0.624171
a62	0.00859671	0.00674784	0.00711306	0.0092914	0.0106384	0.0198488	0.0617388	0.225326	0.650699
a88	0.0116652	0.0104431	0.0116779	0.0165037	0.0194696	0.0366627	0.0848893	0.277905	0.530783
a75	0.00270725	0.00282405	0.00347221	0.00523687	0.0068327	0.0188448	0.0669786	0.294021	0.599082
a41	0.00877099	0.00835857	0.0101016	0.0126833	0.0143763	0.0276771	0.0805656	0.26812	0.569347
a56	0.00284585	0.00269329	0.00294004	0.00390418	0.00454154	0.0104147	0.0386605	0.249108	0.684892
a96	0.00460175	0.00438681	0.00488886	0.00659885	0.00815765	0.0157748	0.0460775	0.251098	0.658416
a54	0.00414776	0.00412546	0.00425428	0.00565458	0.00698905	0.0140573	0.0404773	0.231634	0.688661
a36	0.00284246	0.00325017	0.0038434	0.00602166	0.00787936	0.017787	0.0508366	0.244727	0.662812
a2	0.000503569	0.000564759	0.000651031	0.00103273	0.00136785	0.00444315	0.0193625	0.170057	0.802017
a57	0.0046422	0.00353254	0.00330523	0.00367852	0.0022198	0.00513621	0.0233258	0.187668	0.766491
a87	0.0190812	0.0118683	0.0106594	0.0104842	0.00498493	0.013979	0.0496062	0.295618	0.583719
a97	0.0992977	0.065498	0.060219	0.0555092	0.024847	0.0393122	0.0673975	0.258054	0.329866
a87	0.10007	0.0695569	0.0522008	0.0473021	0.0241216	0.0454612	0.0812969	0.265712	0.314279
a23	0.111383	0.0715841	0.0673072	0.0755599	0.0385807	0.0566403	0.0609677	0.189708	0.328269
a87	0.0988166	0.0701829	0.0566981	0.0626344	0.0373152	0.0711289	0.0904526	0.227631	0.28514
</S>	0.0314366	0.0238446	0.0218761	0.0306314	0.0204561	0.0405559	0.0653518	0.237478	0.528369
