 	cet	enfant	ennuie	sa	maman	</S>
a23	0.444725	0.199491	0.159914	0.1033	0.0498354	0.0427346
a83	0.385155	0.126573	0.0946721	0.107625	0.123083	0.162891
a75	0.287535	0.240663	0.222764	0.11578	0.0573365	0.075922
a85	0.352822	0.305432	0.20162	0.0813359	0.0280311	0.0307584
a25	0.302173	0.262294	0.223814	0.125191	0.0428788	0.0436489
a90	0.3176	0.26095	0.254882	0.0842011	0.0380913	0.0442752
a4	0.201639	0.279541	0.265253	0.102892	0.0624412	0.0882347
a90	0.133173	0.175554	0.165804	0.14523	0.156129	0.224109
a25	0.140441	0.176728	0.208696	0.17019	0.133082	0.170863
a75	0.128185	0.16078	0.256181	0.191866	0.123606	0.139382
a85	0.0763964	0.0928779	0.20894	0.23372	0.185917	0.202148
a47	0.0737306	0.0898504	0.207948	0.244681	0.184191	0.199599
a44	0.0738854	0.0915958	0.180466	0.209461	0.21157	0.233022
a90	0.0878634	0.109572	0.170158	0.206774	0.200932	0.224701
a94	0.0571193	0.0918173	0.178953	0.243285	0.215129	0.213696
a90	0.0365943	0.06189	0.113857	0.182254	0.277205	0.3282
a25	0.0218752	0.0383364	0.0811425	0.150292	0.293902	0.414451
a56	0.00543674	0.00755912	0.0191072	0.0840924	0.300434	0.583371
a32	0.00525362	0.00728904	0.0180774	0.0751164	0.319742	0.574521
a75	0.000917106	0.00108869	0.00372314	0.0325958	0.261574	0.700101
a41	0.0026522	0.00317175	0.00902429	0.0450353	0.297831	0.642286
a12	0.00297465	0.00481444	0.012422	0.0578633	0.287363	0.634563
a96	0.00224626	0.00276153	0.00665062	0.0354132	0.254591	0.698338
a93	0.00310505	0.00297918	0.00638495	0.0457027	0.278244	0.663584
a13	0.00355154	0.0031827	0.00770091	0.0523632	0.294768	0.638434
a9	0.0132162	0.0103762	0.0213789	0.0887631	0.271467	0.594798
a87	0.114353	0.0695658	0.0728713	0.135203	0.244735	0.363272
a23	0.251665	0.150215	0.118604	0.102005	0.163065	0.214446
a87	0.0242255	0.012973	0.0196679	0.102974	0.380839	0.459321
</S>	0.00753419	0.00676511	0.0228389	0.120291	0.342236	0.500335
