 	dans	ce	village	que	tu	sois	pauvre	ou	riche	on	t'	enterre	avec	un	drap	blanc	</S>
a66	0.0726058	0.0656227	0.0626101	0.0502851	0.0560579	0.0767034	0.0680759	0.109793	0.149288	0.0861346	0.0829599	0.046911	0.0303681	0.0171141	0.0114717	0.00744724	0.0065522
a87	0.303824	0.222305	0.161073	0.100004	0.0661375	0.0233646	0.00786944	0.0117207	0.0148248	0.0132734	0.0215694	0.0124417	0.0119719	0.0105796	0.00552134	0.00628902	0.00723134
a23	0.340133	0.208655	0.136983	0.0722982	0.0619446	0.0319883	0.017704	0.0277845	0.02059	0.0160306	0.0186617	0.0120734	0.00900128	0.00688509	0.00405067	0.00621914	0.0089974
a10	0.339565	0.230744	0.11398	0.0722225	0.0500801	0.0259038	0.0128159	0.0150512	0.0111567	0.0121039	0.0190818	0.0201206	0.0212814	0.0150241	0.00876097	0.0139272	0.0181796
a54	0.262702	0.208596	0.120126	0.0930185	0.0702018	0.0395105	0.0222099	0.0297365	0.0181405	0.0209709	0.0277561	0.0261287	0.0200764	0.0126441	0.00777033	0.00917604	0.0112351
a47	0.118471	0.098437	0.0969004	0.103253	0.109291	0.054367	0.0327346	0.0405174	0.0341737	0.0308715	0.0380506	0.0334776	0.0264016	0.0290816	0.035685	0.057897	0.0603905
a36	0.126297	0.126774	0.122452	0.165697	0.16477	0.0994623	0.0521136	0.0354788	0.0187117	0.0132838	0.0113038	0.00886078	0.00580625	0.0062816	0.00767203	0.016528	0.0185063
a26	0.105543	0.119706	0.113684	0.169784	0.17879	0.118656	0.0668491	0.0371586	0.01875	0.0127183	0.00966294	0.00757776	0.0052045	0.00571178	0.00705015	0.0117403	0.0114147
a93	0.102736	0.105354	0.0990432	0.120097	0.13412	0.118943	0.082124	0.0533511	0.0313837	0.0266238	0.0227475	0.0220137	0.0156194	0.0139963	0.0131604	0.0192828	0.0194054
a4	0.0852666	0.0868273	0.109256	0.137794	0.165592	0.115139	0.0761196	0.0531042	0.0324277	0.0215899	0.0203006	0.0190397	0.0155829	0.0132765	0.0156408	0.0199986	0.0130442
a54	0.0470734	0.05094	0.0719046	0.102073	0.158707	0.141895	0.119137	0.0879104	0.0571736	0.0311125	0.0256756	0.0258257	0.0196087	0.0145167	0.0148816	0.0185563	0.0130096
a47	0.0236946	0.0264547	0.0449123	0.0635643	0.132512	0.145165	0.119448	0.0892076	0.0723498	0.0434344	0.034759	0.0384512	0.0321034	0.0288391	0.0261364	0.0380484	0.0409197
a7	0.0198855	0.0208851	0.033194	0.0471834	0.105498	0.122627	0.120009	0.0892623	0.0747445	0.0475893	0.0383565	0.0460676	0.0415918	0.0422526	0.0364745	0.0527187	0.06166
a84	0.0162429	0.0137825	0.0173123	0.0224385	0.0554018	0.08476	0.138437	0.143446	0.128765	0.0700102	0.0552466	0.068794	0.0514123	0.040239	0.0300657	0.0318659	0.0317808
a57	0.0286494	0.0271962	0.0343877	0.034875	0.0628813	0.0681957	0.111395	0.160538	0.10718	0.0692045	0.0583508	0.0612654	0.0526338	0.0335581	0.0287393	0.0341748	0.0267757
a87	0.0578322	0.0395481	0.0448163	0.0419327	0.0712339	0.0646017	0.0957326	0.12081	0.0915638	0.0623846	0.0600372	0.0565793	0.0482183	0.0307053	0.0304271	0.0444223	0.0391544
a23	0.118383	0.0698694	0.060413	0.0538791	0.0831625	0.0705207	0.0875737	0.0863431	0.0680131	0.0554736	0.0493179	0.0374207	0.0317079	0.0285785	0.0288108	0.0348101	0.0357228
