 	c'	était	lui	qui	m'	a	fait	soigné	les	maux	de	tête	</S>
a66	0.116384	0.10187	0.0851545	0.0799312	0.0869438	0.108895	0.176499	0.160453	0.043592	0.0179497	0.00959672	0.00677442	0.00595673
a87	0.212113	0.128234	0.0720167	0.0753283	0.0714724	0.0771289	0.102402	0.115189	0.0444606	0.0258609	0.0214526	0.0261532	0.0281873
a10	0.113091	0.0837538	0.0647119	0.0663969	0.0736087	0.0723845	0.0857199	0.117366	0.067869	0.0798177	0.0515732	0.0679877	0.0557196
a97	0.0969982	0.0879588	0.0793307	0.0917728	0.110142	0.0853199	0.103739	0.126793	0.054361	0.0555372	0.0391106	0.0380552	0.0308814
a62	0.0889484	0.0764806	0.0721951	0.0867058	0.103309	0.0907261	0.115168	0.148571	0.0566885	0.0570565	0.0391295	0.0361111	0.0289103
a21	0.130113	0.128041	0.126065	0.112822	0.106017	0.0899323	0.0984975	0.11043	0.0288685	0.0222182	0.0185079	0.0152122	0.013275
a47	0.12246	0.139616	0.150327	0.130935	0.126197	0.0882285	0.103155	0.0798561	0.0187571	0.0113885	0.0102725	0.00952184	0.00928602
a31	0.0712718	0.094906	0.127373	0.129853	0.145107	0.115855	0.130454	0.0948242	0.0290381	0.0166324	0.0145653	0.0146974	0.0154231
a75	0.0778252	0.0978877	0.129602	0.132394	0.148487	0.117683	0.139049	0.0942013	0.0218285	0.0113502	0.00967205	0.00981901	0.0102007
a25	0.0486025	0.0520055	0.0725672	0.093271	0.14264	0.139706	0.170074	0.133041	0.0554355	0.0245543	0.0200476	0.0218365	0.0262184
a56	0.0591617	0.0649991	0.0857889	0.102496	0.137962	0.13141	0.137998	0.108178	0.0546406	0.0247461	0.0220102	0.028213	0.0423969
a21	0.0337165	0.0413987	0.0698882	0.116216	0.176411	0.170091	0.162267	0.125762	0.0449304	0.0172889	0.011891	0.0138631	0.016276
a12	0.0286004	0.0316359	0.0470586	0.0773541	0.145894	0.158634	0.169668	0.126418	0.0804801	0.0409413	0.0248865	0.0307318	0.0376974
a43	0.0157321	0.0187637	0.0291238	0.0474436	0.100771	0.143684	0.168936	0.153284	0.110471	0.0584616	0.0393152	0.0497214	0.0642918
a21	0.0134958	0.0150726	0.0213192	0.0341332	0.0786982	0.136768	0.178435	0.177274	0.134239	0.0612714	0.0372859	0.0476072	0.0644006
a43	0.0126693	0.0141444	0.0197927	0.0287306	0.0569866	0.0981209	0.137017	0.137575	0.178218	0.0992229	0.0588637	0.0673694	0.0912892
a31	0.0139215	0.0161412	0.0217002	0.0291305	0.0517617	0.0896712	0.125306	0.143478	0.18241	0.0967175	0.056081	0.070174	0.103507
a96	0.0119176	0.0132924	0.0179948	0.0240091	0.0402545	0.0654928	0.0864404	0.0976036	0.175882	0.146251	0.0961035	0.0993054	0.125453
a31	0.00935017	0.0106983	0.0146679	0.0197427	0.0331087	0.0517386	0.0656423	0.0791873	0.177889	0.158311	0.104236	0.115676	0.159752
a88	0.00767203	0.00845098	0.0114255	0.0153857	0.0256425	0.0394048	0.0479906	0.0562473	0.143278	0.166612	0.130609	0.147348	0.199934
a4	0.00508721	0.00542937	0.006673	0.00858561	0.0139842	0.023567	0.0284254	0.0358808	0.102103	0.157502	0.152758	0.194903	0.265102
a13	0.00281182	0.00305728	0.00386187	0.00506074	0.00802141	0.0139893	0.0153549	0.0185542	0.0631128	0.128684	0.158059	0.243471	0.335961
a38	0.00228625	0.00218763	0.00252224	0.00321649	0.00465246	0.00813515	0.00891247	0.011233	0.0379743	0.0953181	0.150882	0.27494	0.39774
a53	0.000884361	0.000769894	0.000874128	0.00122909	0.00182456	0.00351088	0.00346064	0.00507497	0.020662	0.0714743	0.137826	0.299629	0.45278
a69	0.000285996	0.00027784	0.000337743	0.000507307	0.000838254	0.00175282	0.00194928	0.00295654	0.0158847	0.048422	0.105305	0.303329	0.518154
a26	0.00016697	0.000149975	0.000176274	0.000297058	0.000521697	0.00117621	0.00123451	0.00200134	0.0115097	0.0372595	0.091203	0.30227	0.552034
a82	0.005388	0.00350012	0.00287471	0.00365504	0.00437146	0.00766756	0.00629483	0.00892321	0.0367833	0.142563	0.150444	0.270605	0.35693
a97	0.0616178	0.0343833	0.0210387	0.020515	0.020985	0.0266159	0.0276213	0.0311623	0.0597854	0.142343	0.115914	0.185403	0.252616
a10	0.119906	0.0796036	0.050894	0.0502834	0.050527	0.0496849	0.0498297	0.0502028	0.061263	0.111995	0.094733	0.115805	0.115271
a97	0.0606194	0.0425061	0.0281635	0.0296133	0.0310413	0.0344564	0.0330495	0.0363371	0.059951	0.132883	0.132997	0.188855	0.189528
</S>	0.0443707	0.0315573	0.0220543	0.0244711	0.0275852	0.0332945	0.0340996	0.0427493	0.0820866	0.132344	0.139874	0.194488	0.191026
