 	attends-moi	j'	arrive	</S>
a10	0.756765	0.148542	0.0554835	0.0392091
a87	0.62048	0.200395	0.0902407	0.0888842
a23	0.618599	0.234175	0.0820066	0.0652201
a90	0.678355	0.226252	0.0636163	0.0317765
a94	0.645085	0.212671	0.0816339	0.0606102
a35	0.564698	0.254245	0.116511	0.064546
a98	0.494656	0.264202	0.152095	0.0890466
a14	0.455837	0.246637	0.170502	0.127024
a94	0.373849	0.266038	0.203345	0.156768
a24	0.20026	0.265024	0.279465	0.255251
a12	0.104718	0.175359	0.29412	0.425804
a70	0.0724713	0.132937	0.288627	0.505965
a13	0.0471778	0.100552	0.25635	0.59592
a9	0.0334069	0.0726696	0.225468	0.668456
a87	0.0333549	0.0692711	0.212932	0.684443
</S>	0.0582503	0.0784046	0.199714	0.663631
