 	le	caiman	a	dévoré	un	petit	enfant	à	la	rivière	</S>
a66	0.247809	0.215892	0.172151	0.0944237	0.0464491	0.0484923	0.0509101	0.044079	0.0296576	0.0259409	0.024196
a87	0.508496	0.244873	0.128009	0.0323848	0.0231845	0.0169579	0.0103402	0.00987125	0.00766682	0.00854976	0.00966655
a23	0.424804	0.26644	0.179414	0.0584893	0.0283367	0.0110805	0.00504387	0.00447623	0.00456533	0.00693089	0.0104195
a93	0.266514	0.227158	0.215629	0.119379	0.060978	0.023327	0.0145159	0.0123626	0.0127902	0.018394	0.0289522
a34	0.306906	0.213379	0.165838	0.0837284	0.0545647	0.0344014	0.0342089	0.0338887	0.0282088	0.021566	0.0233105
a75	0.162679	0.173062	0.256927	0.206142	0.0984129	0.0356909	0.0178391	0.0141276	0.0132884	0.0105553	0.0112758
a5	0.121351	0.13495	0.200697	0.199492	0.129287	0.0697902	0.0417955	0.0313796	0.0249908	0.0208862	0.0253803
a37	0.106623	0.160616	0.203678	0.158333	0.12047	0.0764365	0.044488	0.0363853	0.0313503	0.0284951	0.0331245
a26	0.0965132	0.14482	0.182525	0.158654	0.13127	0.0878493	0.0545734	0.0399409	0.0337217	0.032427	0.0377048
a62	0.049427	0.0823047	0.101754	0.173964	0.183321	0.134089	0.0804675	0.049035	0.0419116	0.0449336	0.0587913
a83	0.0371198	0.0593005	0.0727434	0.168063	0.181072	0.159709	0.108604	0.0617578	0.047048	0.046478	0.0581049
a75	0.020938	0.0338141	0.0417764	0.117419	0.148487	0.182741	0.145095	0.0912178	0.0688802	0.0674005	0.0822311
a92	0.018318	0.0229934	0.0218255	0.0509775	0.0749814	0.141922	0.171023	0.162143	0.129305	0.0993325	0.107179
a5	0.0201512	0.0236859	0.0209668	0.0449191	0.064786	0.127703	0.180208	0.176773	0.134424	0.0995858	0.106797
a18	0.020855	0.0205993	0.0190918	0.0489047	0.0591113	0.107225	0.177108	0.189084	0.156831	0.103718	0.0974715
a47	0.0211335	0.0143443	0.00935651	0.0159231	0.0247359	0.0368706	0.0698477	0.130786	0.173159	0.208263	0.29558
a31	0.0234031	0.0186592	0.0131411	0.0274373	0.0432045	0.0577371	0.0916784	0.152147	0.192691	0.175166	0.204735
a0	0.00507311	0.00528647	0.00432933	0.0109725	0.0182417	0.0329087	0.0659654	0.139083	0.21836	0.241793	0.257986
a90	0.00601569	0.00342371	0.00233064	0.00399033	0.00763518	0.0123255	0.0250514	0.0697081	0.150391	0.260188	0.45894
a96	0.00177863	0.00172252	0.00154876	0.00399669	0.00723309	0.0129086	0.0326308	0.0820787	0.181316	0.292876	0.381911
a11	0.000887623	0.000731176	0.000591537	0.00143415	0.00324648	0.00674056	0.0156132	0.0437605	0.114714	0.265027	0.547253
a75	0.00163077	0.000923792	0.000652992	0.00115162	0.00247228	0.00422865	0.0112774	0.0376657	0.103094	0.265202	0.5717
a5	0.000300027	0.000267341	0.000253622	0.000565215	0.00132927	0.00329998	0.0113261	0.038946	0.110753	0.291093	0.541866
a37	0.000651043	0.000549437	0.000530894	0.00109786	0.00196036	0.00378116	0.01018	0.0315205	0.0834907	0.236064	0.630174
a18	0.00110595	0.000764802	0.000672712	0.00119189	0.0019215	0.00285553	0.00701609	0.0246341	0.0701617	0.229975	0.659701
a71	0.0236564	0.0142483	0.0109881	0.0110042	0.0130421	0.0139112	0.0223843	0.046248	0.0886125	0.218445	0.53746
a9	0.0691689	0.0338614	0.0240084	0.0245778	0.0252064	0.0259464	0.0396349	0.059455	0.0930193	0.196778	0.408344
a87	0.213865	0.080779	0.0476798	0.0388903	0.033735	0.0340532	0.0479798	0.0579378	0.0794258	0.137658	0.227996
a23	0.369061	0.16116	0.0906008	0.0516202	0.0382832	0.0319655	0.0311646	0.02995	0.0368162	0.0615718	0.097806
a87	0.321389	0.261148	0.130412	0.0687302	0.0258421	0.0148724	0.0126689	0.0155816	0.0249027	0.0442338	0.0802206
</S>	0.135076	0.136753	0.0804661	0.0470498	0.0229544	0.0157895	0.0189437	0.033099	0.0648134	0.13667	0.308386
