 	les	chenilles	rouges	ravagent	le	feuillage	du	grand	arbre	engoma	</S>
a23	0.195689	0.1149	0.116734	0.0986409	0.126004	0.10559	0.0791351	0.0624177	0.0417559	0.0348575	0.0242765
a50	0.142257	0.0698024	0.0767586	0.0841411	0.195194	0.184101	0.109514	0.0687027	0.0354047	0.0225872	0.011538
a83	0.264925	0.157481	0.135497	0.12382	0.152561	0.0833451	0.0358978	0.0182643	0.0109782	0.00911513	0.00811576
a57	0.335031	0.197484	0.140522	0.0750809	0.0880326	0.056558	0.0286334	0.0190778	0.0192313	0.0189636	0.0213852
a54	0.283163	0.201101	0.150314	0.0888363	0.0908857	0.0547456	0.0271004	0.0170112	0.0195007	0.0294911	0.0378515
a5	0.184837	0.133108	0.10502	0.116964	0.133488	0.106131	0.0485847	0.0322211	0.0325675	0.0481048	0.0589737
a12	0.103964	0.0928913	0.0832219	0.0899987	0.122563	0.136582	0.0924556	0.0687256	0.0581415	0.0737787	0.077679
a5	0.0710905	0.0735991	0.0757404	0.110217	0.135796	0.147439	0.0945615	0.0682446	0.055695	0.0812779	0.0863389
a37	0.05847	0.0608177	0.0688273	0.109518	0.134584	0.150915	0.106987	0.0770951	0.0599706	0.0836094	0.0892061
a96	0.0443129	0.0468696	0.0609708	0.124439	0.143378	0.161252	0.113481	0.0825065	0.0595226	0.0798421	0.0834246
a12	0.0425139	0.0410954	0.0594928	0.128779	0.137188	0.155853	0.121967	0.0876566	0.0608841	0.081739	0.0828307
a31	0.0323963	0.0293698	0.0433201	0.0961148	0.104036	0.144091	0.156064	0.118347	0.0777399	0.101049	0.0974719
a88	0.0289557	0.0267393	0.0400289	0.0975395	0.100719	0.150188	0.179101	0.13158	0.0783053	0.0882357	0.0786079
a71	0.0161513	0.0163035	0.0251202	0.081628	0.0867407	0.144628	0.176761	0.150047	0.0953388	0.115225	0.0920558
a0	0.0129303	0.013806	0.0209973	0.0527989	0.0572038	0.0744442	0.101047	0.121079	0.117626	0.239905	0.188162
a21	0.0100744	0.0101414	0.015789	0.0357404	0.0416686	0.0475247	0.0710709	0.104314	0.128832	0.293482	0.241362
a12	0.0106288	0.0101117	0.0137797	0.0393482	0.0419297	0.0510488	0.0942567	0.141661	0.14313	0.235458	0.218647
a96	0.0075131	0.00666003	0.00870217	0.022071	0.026968	0.0349528	0.0656169	0.117619	0.147131	0.304498	0.258268
a66	0.00229109	0.00225211	0.00313829	0.0112856	0.0142047	0.0212779	0.0414308	0.091599	0.131089	0.349162	0.332269
a4	0.00259139	0.00237825	0.00315289	0.0101559	0.014925	0.0203452	0.0376259	0.086507	0.112611	0.332383	0.377325
a35	0.00281415	0.00278444	0.00339266	0.0116499	0.0170191	0.0203999	0.029747	0.0602713	0.0911865	0.35563	0.405105
a54	0.00138023	0.00128596	0.00156515	0.00551842	0.0100064	0.0116696	0.0180704	0.0417019	0.0714021	0.341907	0.495493
a7	0.00332051	0.00294585	0.00332945	0.0109281	0.018737	0.0200229	0.0281526	0.053951	0.0884491	0.319409	0.450754
a57	0.00518255	0.00475548	0.00565369	0.0110015	0.0178776	0.0203849	0.0270181	0.0457948	0.0668554	0.285631	0.509846
a10	0.0413535	0.0340848	0.0385407	0.052	0.0634815	0.0536308	0.0553866	0.0702277	0.0765926	0.227908	0.286794
a87	0.0940031	0.0689728	0.0764273	0.0769683	0.0835039	0.0674055	0.0704236	0.0843861	0.0934593	0.156253	0.128198
a23	0.115862	0.0880628	0.0895743	0.0785111	0.0793486	0.0638845	0.0705323	0.0849051	0.0989568	0.124308	0.106055
a99	0.0928716	0.064161	0.0539691	0.0426964	0.0414518	0.0302117	0.0431028	0.0793551	0.138863	0.228444	0.184873
a97	0.0548589	0.0364872	0.0401137	0.0485282	0.0468567	0.0428561	0.0746316	0.102778	0.135338	0.211	0.206551
</S>	0.0754014	0.0491049	0.0519109	0.065779	0.0605221	0.0430187	0.0597059	0.0777328	0.11263	0.183501	0.220694
