 	l'	esondo	est	un	fruit	rouge	avec	des	pepins	noirs	</S>
a87	0.0557488	0.106871	0.141579	0.170539	0.125186	0.126077	0.0943222	0.0727774	0.0735516	0.0210107	0.0123378
a23	0.195612	0.100704	0.0772325	0.0710898	0.0803089	0.0692003	0.0653374	0.0867279	0.0991244	0.0383133	0.11635
a62	0.331392	0.14574	0.0742367	0.0478303	0.0356718	0.0375112	0.0395713	0.0460202	0.0562898	0.0682748	0.117461
a0	0.447964	0.177204	0.126317	0.0843219	0.0435919	0.0363049	0.0212696	0.0177854	0.0114481	0.0110424	0.0227514
a75	0.422392	0.217494	0.109206	0.0709203	0.038622	0.0452968	0.0271876	0.0190802	0.0171336	0.0152094	0.0174588
a25	0.374937	0.235057	0.112975	0.0752931	0.0436252	0.0490706	0.0330935	0.0229334	0.0215571	0.0138451	0.0176126
a70	0.265458	0.304732	0.127666	0.0914678	0.0451205	0.0539337	0.0333657	0.0231646	0.0228832	0.0182144	0.0139941
a75	0.244609	0.273306	0.123168	0.0944635	0.0553897	0.0620432	0.0384663	0.0280008	0.029373	0.0271741	0.0240066
a92	0.184047	0.214532	0.146818	0.125539	0.081734	0.0801911	0.0534975	0.0442786	0.0330006	0.0160394	0.020323
a66	0.11632	0.209912	0.150498	0.129733	0.0821037	0.081263	0.0607348	0.0575771	0.0520392	0.0283094	0.0315106
a75	0.070264	0.186121	0.16687	0.149074	0.0931561	0.0968684	0.0666856	0.0598836	0.0582914	0.0291252	0.0236612
a66	0.0735582	0.158921	0.139739	0.142517	0.106625	0.108627	0.0845555	0.0746382	0.0556478	0.0259966	0.0291761
a11	0.0294292	0.0979008	0.120128	0.154392	0.117065	0.131275	0.108453	0.0968757	0.0819957	0.0301683	0.0323177
a35	0.0231118	0.0713272	0.0959364	0.140339	0.117888	0.135784	0.128211	0.117527	0.0990315	0.0350752	0.0357678
a98	0.0282644	0.060891	0.0741106	0.133797	0.121629	0.140039	0.126899	0.117548	0.0948698	0.0466768	0.0552761
a85	0.0294886	0.0509083	0.058199	0.11285	0.107638	0.124317	0.119627	0.118726	0.104763	0.0778803	0.0956037
a27	0.0305887	0.0466571	0.0504227	0.106965	0.105429	0.129228	0.127908	0.125489	0.112792	0.0754736	0.0890461
a30	0.00928533	0.0178887	0.0254626	0.0696973	0.126436	0.165469	0.210241	0.174681	0.131895	0.0311303	0.0378147
