 	il	est	très	affaibli	par	la	maladie	</S>
a23	0.150547	0.132268	0.0744652	0.12183	0.123435	0.150502	0.127816	0.119137
a53	0.144467	0.111645	0.0823815	0.117788	0.126067	0.137717	0.13516	0.144775
a20	0.357918	0.226494	0.10369	0.123032	0.0744897	0.0455075	0.0335115	0.0353572
a30	0.433488	0.269089	0.101903	0.094108	0.0478157	0.0265977	0.0160436	0.0109548
a35	0.392269	0.276121	0.130858	0.103955	0.0473481	0.0249718	0.0150128	0.00946322
a24	0.358708	0.241334	0.148566	0.119143	0.0634748	0.0364103	0.0209305	0.0114327
a35	0.259163	0.198015	0.171734	0.157709	0.0981003	0.0613453	0.035125	0.0188089
a76	0.156018	0.152678	0.191337	0.194349	0.14109	0.0858186	0.0508426	0.027868
a35	0.10605	0.112854	0.161933	0.195475	0.166943	0.123802	0.0855652	0.047378
a38	0.0920931	0.0954872	0.135619	0.186703	0.179655	0.145178	0.106211	0.0590542
a76	0.0337363	0.0370957	0.0730167	0.138058	0.206084	0.21157	0.189938	0.110501
a20	0.0523272	0.0546879	0.0776855	0.132128	0.188559	0.191262	0.180195	0.123156
a58	0.0365679	0.0386285	0.0495119	0.0805437	0.149307	0.204684	0.23007	0.210687
a82	0.0161513	0.0182477	0.0272146	0.0547443	0.118467	0.210356	0.275605	0.279214
a87	0.0128389	0.0148432	0.0261098	0.0463317	0.10645	0.179325	0.285721	0.32838
a79	0.0329202	0.0444639	0.0607555	0.092343	0.137271	0.176485	0.232243	0.223518
a76	0.0395051	0.0423116	0.0437776	0.0766024	0.123489	0.164244	0.228694	0.281377
a94	0.0301136	0.0256431	0.026341	0.0493907	0.101311	0.175591	0.252159	0.339451
a76	0.0121038	0.0118536	0.0130857	0.0240235	0.0630154	0.147591	0.298499	0.429829
a35	0.00925845	0.00982936	0.0137627	0.0281618	0.0648853	0.149704	0.29484	0.429558
a24	0.00391803	0.0043908	0.00672343	0.0166216	0.0515451	0.138885	0.308681	0.469235
a25	0.00173632	0.00197497	0.00318216	0.00784493	0.0286046	0.0901875	0.270826	0.595644
a87	0.00162775	0.00185274	0.00300502	0.00918893	0.0357708	0.109301	0.281568	0.557686
a79	0.00297536	0.00419648	0.00671435	0.0145433	0.0458934	0.122674	0.283828	0.519175
a76	0.0145958	0.0148442	0.0154638	0.0292108	0.0649347	0.143197	0.294462	0.423291
a25	0.00305022	0.00332289	0.00504126	0.0147091	0.0444082	0.129473	0.275007	0.524989
a35	0.000936715	0.00134858	0.00307416	0.0120779	0.0503024	0.144854	0.289991	0.497415
a70	0.0020917	0.00253888	0.00463552	0.0139394	0.0410993	0.114653	0.269947	0.551096
a98	0.000829533	0.00122221	0.00280787	0.010315	0.0377215	0.0941347	0.235918	0.617051
a9	0.00114901	0.00153279	0.00284967	0.00919325	0.0341681	0.102623	0.269385	0.5791
a87	0.00132424	0.00192217	0.00433086	0.0151225	0.0490843	0.117415	0.252854	0.557947
</S>	0.00363483	0.00464494	0.0071876	0.0153667	0.0439101	0.116778	0.266267	0.542211
