 	le	père	a	écrit	une	lettre	à	son	fils	qui	est	à	bazzaville	</S>
a66	0.0348068	0.0385132	0.0272533	0.0627686	0.0865936	0.0966151	0.0819352	0.0901969	0.117548	0.136826	0.172601	0.0491268	0.00307096	0.00214484
a87	0.363342	0.241242	0.0740826	0.0523066	0.0283848	0.0319552	0.0204538	0.0266669	0.0338499	0.0410726	0.0587718	0.0201591	0.00337325	0.00433885
a23	0.3366	0.160722	0.084942	0.0627852	0.039321	0.0512118	0.0323342	0.0398224	0.0362569	0.0455688	0.0680466	0.0294791	0.00742878	0.00548146
a87	0.269187	0.116801	0.0827342	0.0669703	0.04163	0.0763837	0.0480236	0.0530409	0.0449915	0.0627135	0.0697571	0.0317971	0.0195275	0.0164422
a23	0.188126	0.092894	0.081224	0.0773423	0.0564047	0.0953592	0.0576943	0.0619461	0.0572934	0.0788387	0.0923682	0.0354608	0.0165816	0.00846693
a97	0.259165	0.109327	0.100797	0.0992826	0.0529118	0.0575581	0.0325338	0.0356964	0.0302971	0.0338284	0.0612204	0.0537828	0.0426722	0.0309277
a87	0.21472	0.111563	0.103808	0.115831	0.0779771	0.0656932	0.0350165	0.0389073	0.0323884	0.0327638	0.0577808	0.0572542	0.0359186	0.020378
a23	0.1958	0.104317	0.098362	0.100055	0.072093	0.0721429	0.0390005	0.0448597	0.0401655	0.0446068	0.0787459	0.0578356	0.0354389	0.0165776
a54	0.228204	0.133874	0.125607	0.115724	0.0674556	0.0467618	0.0240018	0.0278549	0.0205094	0.0197531	0.0403113	0.0634503	0.0489234	0.0375689
a6	0.160737	0.199191	0.140989	0.106895	0.0589751	0.0567885	0.0275648	0.0292416	0.0251726	0.0281036	0.0390163	0.0644604	0.039743	0.0231215
a5	0.141496	0.161585	0.109661	0.117596	0.07965	0.0840878	0.0285827	0.0318036	0.0272544	0.043889	0.0732614	0.0755054	0.0186231	0.00700466
a36	0.11467	0.11258	0.116613	0.133603	0.08054	0.0905664	0.0449067	0.0465836	0.0387115	0.0617091	0.0633583	0.0644694	0.0242367	0.0074527
a21	0.133435	0.114543	0.116955	0.123138	0.0822164	0.0848873	0.0480572	0.0456466	0.0384495	0.0522461	0.0450261	0.0518761	0.0449396	0.0185845
a5	0.077266	0.0830976	0.0884455	0.117164	0.095398	0.104907	0.0725184	0.0714535	0.0651108	0.0841845	0.0696808	0.0440722	0.0172052	0.00949575
a34	0.058839	0.0712209	0.0926832	0.136646	0.104902	0.110492	0.0729356	0.070958	0.0639372	0.07606	0.0597144	0.0397205	0.0232684	0.0186237
a61	0.0485579	0.0624934	0.0786721	0.120147	0.10422	0.11678	0.0913647	0.0884105	0.081091	0.0878993	0.0629173	0.0275896	0.0136514	0.0162057
a21	0.0210631	0.0313157	0.0465549	0.0928004	0.102024	0.12693	0.117713	0.115381	0.101776	0.108186	0.074859	0.0292951	0.0139264	0.0181754
a12	0.0158523	0.0252631	0.0399678	0.0917778	0.0963719	0.118242	0.116551	0.116937	0.114071	0.112767	0.0920457	0.0284655	0.0123969	0.0192913
a18	0.00835131	0.0137767	0.0256218	0.0830773	0.0998099	0.124216	0.121248	0.120514	0.120732	0.116627	0.0966039	0.032428	0.0140729	0.0229208
a75	0.00641082	0.00929881	0.0154096	0.0659334	0.12148	0.136087	0.130764	0.126852	0.11288	0.115235	0.0859403	0.0319628	0.016808	0.0249392
a5	0.00851734	0.0128215	0.0196111	0.0474496	0.0684743	0.0880934	0.104389	0.104646	0.108452	0.0951744	0.0855029	0.0413314	0.058083	0.157454
a0	0.0058517	0.00897385	0.013711	0.0398524	0.0880951	0.110987	0.136159	0.134652	0.128515	0.117001	0.107079	0.0446314	0.0210303	0.0434597
a43	0.0035995	0.00563527	0.00903078	0.0292588	0.0820206	0.0945147	0.123846	0.129922	0.117864	0.139971	0.127038	0.0619363	0.0325452	0.042817
a75	0.00342299	0.00421529	0.0056948	0.0177554	0.0506886	0.0631726	0.0921158	0.101823	0.0973387	0.149501	0.160647	0.0956133	0.0770325	0.0809782
a92	0.00190717	0.00306797	0.00500111	0.0141142	0.032736	0.0429562	0.0840928	0.0911517	0.0856734	0.082887	0.0818939	0.0577416	0.10458	0.312197
a37	0.00190037	0.00339601	0.00586419	0.0169603	0.0425829	0.0528781	0.0970381	0.101933	0.0908201	0.0837025	0.0825123	0.0707176	0.0967415	0.252953
a92	0.00141293	0.00227625	0.00388752	0.0118734	0.0355903	0.0399946	0.0741696	0.0798229	0.0717212	0.0781035	0.0783656	0.0675298	0.108349	0.346903
a21	0.00131868	0.00203841	0.00304279	0.00914131	0.026748	0.0360221	0.0767921	0.0838032	0.0812616	0.0788868	0.0782007	0.0704881	0.103074	0.349182
a12	0.00178353	0.00237869	0.00318148	0.00776845	0.0174519	0.0244836	0.0545588	0.0616468	0.0702349	0.0794187	0.0813045	0.0873477	0.127801	0.38064
a75	0.000913166	0.00172695	0.00297902	0.0085642	0.0201045	0.0269033	0.0503162	0.0552651	0.0584807	0.0688183	0.0771649	0.0963402	0.174961	0.357462
a92	0.000406381	0.000704068	0.00106859	0.0030617	0.00971719	0.0143937	0.0346989	0.0378844	0.0355161	0.0339313	0.0299048	0.0452568	0.207658	0.545798
a37	0.000336855	0.000515425	0.000732064	0.00181596	0.00585741	0.00805878	0.0205874	0.0226048	0.021088	0.0190939	0.0158689	0.0301522	0.219688	0.6336
a61	0.000275539	0.000560668	0.000981905	0.00264282	0.0082236	0.0103156	0.0199859	0.0211507	0.018603	0.0200536	0.0182927	0.0314142	0.226438	0.621062
a21	0.000228464	0.0004177	0.000623636	0.00142666	0.00396315	0.00632974	0.012716	0.0145846	0.0142495	0.0194702	0.016672	0.0325002	0.238496	0.638322
a12	0.000335079	0.000490367	0.000570832	0.00101998	0.00244608	0.00360331	0.0079696	0.00903744	0.00969191	0.0131383	0.0128801	0.0343962	0.300759	0.603662
a18	0.000133697	0.00025432	0.000373158	0.000844999	0.00207635	0.00338954	0.00744122	0.00856332	0.00805205	0.0113242	0.0084466	0.0203098	0.259949	0.668842
a71	0.000438038	0.000659584	0.000809588	0.00259304	0.00608388	0.00466977	0.00772664	0.00972279	0.00884689	0.00830886	0.00571918	0.0109266	0.139468	0.794027
a9	0.00350787	0.00431391	0.00514127	0.00937153	0.0272389	0.0151522	0.0258807	0.026822	0.0201228	0.0156704	0.012977	0.023427	0.177691	0.632684
a99	0.0194277	0.0170057	0.0150625	0.0182269	0.0327251	0.0220194	0.0328009	0.0345718	0.028201	0.0284427	0.0347189	0.06126	0.257716	0.397821
a87	0.0584518	0.0389439	0.0262506	0.026282	0.0298768	0.021497	0.0320243	0.0418566	0.039802	0.0552232	0.0966274	0.087049	0.179005	0.267111
a23	0.057615	0.0365101	0.0237909	0.0255198	0.0335683	0.0277975	0.0425424	0.0596439	0.0570278	0.0828621	0.162013	0.0885251	0.10372	0.198864
a87	0.0353483	0.0180587	0.00863172	0.00624559	0.00889624	0.00889762	0.0165371	0.0229565	0.0190261	0.028069	0.0440615	0.0324167	0.137093	0.613762
a97	0.00728922	0.00470446	0.00273957	0.00321426	0.00499816	0.00579065	0.00865462	0.0119833	0.0107924	0.0190557	0.0287009	0.0211196	0.140744	0.730214
a87	0.0138987	0.00921527	0.00623269	0.0101275	0.0122531	0.0149131	0.0199661	0.0275512	0.0258672	0.0461526	0.0547395	0.0273962	0.0825083	0.649178
</S>	0.0397299	0.025126	0.0144427	0.0206095	0.0228636	0.022484	0.0255829	0.0356747	0.0353831	0.058247	0.0802196	0.0407168	0.0778103	0.50111
