 	elle	parle	la	bouche	pleine	</S>
a23	0.248531	0.227269	0.145699	0.124798	0.118682	0.135022
a87	0.268237	0.203285	0.130103	0.116581	0.114886	0.166908
a23	0.24962	0.198449	0.139567	0.140634	0.119546	0.152185
a13	0.303782	0.221896	0.114883	0.0927465	0.104735	0.161957
a20	0.305149	0.235576	0.121819	0.0756005	0.111127	0.150728
a30	0.413299	0.232102	0.135241	0.0906572	0.0649542	0.063747
a35	0.461177	0.279874	0.138109	0.06564	0.0297178	0.0254826
a30	0.391684	0.304681	0.169421	0.0802404	0.0294066	0.0245679
a14	0.37471	0.298122	0.181252	0.0945233	0.0308661	0.0205267
a2	0.305454	0.29669	0.205207	0.122467	0.0414049	0.0287768
a11	0.176542	0.19371	0.193411	0.170132	0.120043	0.146163
a75	0.168336	0.202379	0.196957	0.171256	0.123724	0.137347
a14	0.238516	0.246987	0.187177	0.145725	0.101684	0.0799106
a35	0.231568	0.222865	0.173822	0.143721	0.125736	0.102289
a75	0.14887	0.197981	0.188627	0.172234	0.157032	0.135256
a14	0.102855	0.151598	0.171155	0.191704	0.207064	0.175624
a56	0.105244	0.167642	0.195395	0.199866	0.186181	0.145672
a96	0.033041	0.0516536	0.0776896	0.160223	0.30611	0.371283
a94	0.0140849	0.0245374	0.0425227	0.116751	0.328142	0.473962
a76	0.00511072	0.00967672	0.0192248	0.0697098	0.299249	0.597029
a41	0.00947895	0.0177883	0.0373348	0.106679	0.33664	0.492079
a35	0.00875737	0.0172802	0.0316745	0.0883583	0.311561	0.542368
a76	0.00616547	0.0117099	0.0212089	0.0675503	0.308323	0.585042
a41	0.00803124	0.0150623	0.027288	0.0782238	0.311678	0.559716
a96	0.00706907	0.0135168	0.0234648	0.0652005	0.288886	0.601863
a24	0.00349826	0.00652995	0.0102372	0.031911	0.209789	0.738035
a41	0.00319072	0.00619427	0.0108947	0.0352878	0.214888	0.729545
a14	0.0071478	0.0119042	0.0163953	0.0391962	0.224221	0.701136
a35	0.00555986	0.0101136	0.0158794	0.0446574	0.269808	0.653981
a14	0.00542711	0.0116444	0.0183348	0.0484752	0.261119	0.654999
a41	0.00694359	0.0141842	0.0216893	0.056541	0.274078	0.626564
a61	0.00621404	0.0138149	0.0216581	0.0576063	0.279453	0.621254
a41	0.00823693	0.0140469	0.0181003	0.0419194	0.23084	0.686857
a14	0.0107649	0.0183796	0.0223839	0.0507111	0.255336	0.642424
a37	0.00493194	0.0113776	0.0199599	0.0610702	0.293843	0.608818
a34	0.00715776	0.0135209	0.017527	0.046817	0.238622	0.676356
a54	0.00972606	0.0166793	0.0210875	0.0540259	0.254883	0.643598
a7	0.00749787	0.0140296	0.0175293	0.0433346	0.244346	0.673263
a26	0.0265392	0.0414609	0.048578	0.109546	0.267236	0.50664
a57	0.0317851	0.0516879	0.0760844	0.183285	0.288038	0.36912
a87	0.0373085	0.0474363	0.066191	0.157818	0.304212	0.387034
</S>	0.026924	0.0299408	0.0440537	0.123734	0.310195	0.465153
