 	cette	jeune	fille	est	velue	</S>
a66	0.396016	0.255368	0.167981	0.110727	0.0483371	0.0215707
a87	0.352859	0.187772	0.109116	0.135702	0.133704	0.0808468
a97	0.308548	0.201393	0.135764	0.141251	0.138783	0.074262
a99	0.303676	0.221814	0.144406	0.148479	0.126785	0.0548389
a97	0.366866	0.286893	0.151736	0.105696	0.0545494	0.0342593
a83	0.382921	0.270531	0.14739	0.108831	0.0578344	0.0324921
a90	0.400077	0.263547	0.162874	0.095248	0.0436638	0.0345902
a25	0.331734	0.235784	0.210173	0.13139	0.0459597	0.0449592
a92	0.172751	0.197164	0.273954	0.191885	0.0750754	0.0891706
a56	0.190144	0.245806	0.289898	0.160628	0.0602657	0.0532583
a34	0.163862	0.207832	0.300474	0.18543	0.0801948	0.0622069
a47	0.141434	0.185068	0.278017	0.210098	0.110971	0.0744117
a12	0.102316	0.160407	0.227015	0.199361	0.167615	0.143286
a34	0.0503458	0.0866185	0.154637	0.218977	0.269985	0.219436
a90	0.0260019	0.0569055	0.124321	0.21383	0.330111	0.248831
a98	0.0149274	0.0326358	0.0914128	0.202433	0.347148	0.311443
a92	0.00660513	0.0181108	0.0645244	0.158841	0.358048	0.393871
a75	0.00467336	0.0110815	0.0405999	0.118098	0.329812	0.495735
a12	0.0016862	0.00425862	0.0201943	0.0846754	0.307465	0.58172
a43	0.00204106	0.00366973	0.012409	0.0560443	0.282065	0.643771
a75	0.0014896	0.00250199	0.00679606	0.0340105	0.243394	0.711808
a56	0.000375392	0.000853234	0.00311074	0.0204223	0.233718	0.74152
a93	0.000614552	0.00131637	0.00448153	0.0263306	0.246693	0.720564
a70	0.00063199	0.0012963	0.00417141	0.0276241	0.244401	0.721875
a93	0.000885559	0.00167065	0.00441478	0.0252838	0.270494	0.697251
a96	0.000498079	0.000986063	0.0029826	0.0209363	0.250142	0.724455
a75	0.000907281	0.00185337	0.00519783	0.0247967	0.281072	0.686173
a92	0.000366416	0.000736803	0.00222339	0.0136169	0.212604	0.770453
a37	0.000191537	0.000456975	0.0017131	0.011904	0.192045	0.79369
a70	0.000364558	0.000731116	0.00244585	0.0132616	0.172796	0.8104
a13	0.00104933	0.0021026	0.00613631	0.0252588	0.224376	0.741077
a26	0.00245302	0.00425983	0.0104712	0.0304733	0.214583	0.73776
a30	0.0473544	0.0285869	0.0280657	0.0531021	0.241157	0.601734
a3	0.130887	0.0602331	0.0388212	0.0562176	0.1783	0.535541
a97	0.0552385	0.0292209	0.0239204	0.0539914	0.250662	0.586967
a9	0.0509806	0.0296871	0.0290419	0.0781095	0.278384	0.533797
a97	0.0310931	0.0259465	0.040629	0.108273	0.263754	0.530304
a3	0.0399158	0.0369835	0.0563619	0.129246	0.262803	0.47469
a97	0.0336212	0.0335608	0.0598158	0.130976	0.258493	0.483534
a87	0.044062	0.0486031	0.0781161	0.146307	0.248322	0.43459
</S>	0.048231	0.0529943	0.0860476	0.159992	0.249759	0.402976
