 	les	enfants	qui	ont	accepté	d'	aller	au	front	sont	des	kamikazes	</S>
a87	0.135002	0.0817361	0.0455314	0.0675036	0.152885	0.105571	0.104698	0.110037	0.0954077	0.0438082	0.0240101	0.0181975	0.0156129
a23	0.289662	0.0703859	0.0269578	0.0264226	0.0475545	0.0264568	0.024842	0.0400092	0.0548939	0.0789386	0.10398	0.117302	0.0925949
a87	0.182238	0.103517	0.0690321	0.0544164	0.0486323	0.0263155	0.0219828	0.0252706	0.0290147	0.0330677	0.0579173	0.11442	0.234176
a10	0.177336	0.112902	0.0803854	0.0710333	0.0486389	0.0372318	0.0325953	0.0335276	0.0536656	0.0629509	0.0768036	0.0937984	0.119131
a87	0.133687	0.102365	0.0761351	0.0786402	0.0797114	0.0359495	0.0240777	0.0279898	0.0452959	0.0650585	0.0942242	0.113231	0.123634
a99	0.172166	0.10398	0.0677222	0.0558383	0.0457836	0.0235468	0.018896	0.0233447	0.0450859	0.0667736	0.0988051	0.127733	0.150325
a54	0.103891	0.07564	0.0524762	0.0566689	0.0422565	0.0254837	0.0177921	0.0235158	0.0351738	0.0602494	0.111916	0.183906	0.21103
a6	0.347549	0.238434	0.135381	0.0959328	0.0395097	0.0219097	0.0174586	0.0121494	0.0114753	0.0123655	0.0160742	0.019762	0.0319991
a37	0.14522	0.151056	0.145135	0.131611	0.0705327	0.068439	0.0623338	0.0419652	0.0364103	0.0262184	0.0284298	0.0370251	0.055624
a85	0.130287	0.11917	0.127348	0.138889	0.079265	0.0765616	0.081154	0.0598806	0.0596526	0.0395449	0.0313912	0.0262739	0.0305819
a37	0.108994	0.118322	0.143542	0.164585	0.0972098	0.0855818	0.0778964	0.0563094	0.0572081	0.0311769	0.0198177	0.0166005	0.022756
a98	0.11712	0.113272	0.122682	0.144708	0.106085	0.0994804	0.0831173	0.0603657	0.0580502	0.0301547	0.0194187	0.018244	0.0273014
a47	0.0783873	0.0953755	0.109473	0.140864	0.102452	0.0995414	0.082651	0.0664584	0.0658591	0.039652	0.0271376	0.0323733	0.0597751
a37	0.0705106	0.0812549	0.0799868	0.119201	0.102307	0.114145	0.0928975	0.0755821	0.0692427	0.0420071	0.0313107	0.0413526	0.080201
a26	0.0697804	0.0752715	0.0768951	0.136516	0.144264	0.143483	0.117001	0.0839609	0.0634375	0.0248926	0.0155658	0.0168293	0.0321029
a21	0.0295174	0.0312896	0.0285795	0.0569282	0.109633	0.160223	0.157332	0.119218	0.0887272	0.0434235	0.0370733	0.0501038	0.0879512
a47	0.0419775	0.0468318	0.0520357	0.0712378	0.122761	0.178249	0.184021	0.134172	0.0960189	0.0295607	0.0142075	0.0126597	0.0162682
a24	0.0306057	0.0329366	0.0328716	0.044707	0.0768898	0.144891	0.192166	0.174594	0.124083	0.0483428	0.0249573	0.0279773	0.0449782
a31	0.0217041	0.024159	0.0262811	0.0343809	0.0594586	0.107051	0.162778	0.193978	0.138495	0.0635728	0.0412557	0.0491595	0.0777262
a62	0.0284382	0.0298415	0.0301985	0.0348533	0.0568594	0.120919	0.181062	0.182073	0.143361	0.0819762	0.0431359	0.0307718	0.0365103
a88	0.0206423	0.0226634	0.0255323	0.0297699	0.0447438	0.0823629	0.127447	0.169059	0.130489	0.0828685	0.0650526	0.0858312	0.113537
a75	0.0220692	0.0263602	0.0299211	0.0372917	0.0581618	0.0911523	0.114437	0.139091	0.113514	0.0868505	0.071713	0.0886613	0.120776
a85	0.0246631	0.02633	0.0251661	0.0311887	0.0609947	0.110924	0.118978	0.106182	0.0627596	0.073163	0.08264	0.101725	0.175285
