 	nous	étions	inquiets	pour	ta	maladie	</S>
a66	0.326249	0.176529	0.10392	0.0693851	0.139505	0.120235	0.0641766
a87	0.319941	0.261857	0.216785	0.0929615	0.0503897	0.0328237	0.0252415
a23	0.518524	0.358039	0.0655693	0.0188424	0.013878	0.0129814	0.0121654
a9	0.362234	0.445338	0.131863	0.0145505	0.0120745	0.0166751	0.0172642
a24	0.38876	0.292383	0.123217	0.0342468	0.0424977	0.0538403	0.0650546
a62	0.385119	0.322033	0.143683	0.0253142	0.03623	0.0425596	0.0450611
a12	0.401205	0.25876	0.195272	0.0622495	0.0337833	0.025647	0.0230837
a31	0.226385	0.26267	0.2984	0.106581	0.0487585	0.0299023	0.0273023
a62	0.133249	0.225553	0.368203	0.172502	0.0503356	0.0249074	0.0252505
a75	0.138406	0.185975	0.331745	0.218603	0.0650251	0.029942	0.0303043
a85	0.0965994	0.0840189	0.265791	0.327646	0.124284	0.0552056	0.0464543
a37	0.0780584	0.06115	0.168268	0.30123	0.198659	0.106738	0.0858971
a47	0.0365744	0.0224885	0.0404483	0.256675	0.263033	0.168602	0.212179
a85	0.0182257	0.0107351	0.0210918	0.216024	0.314363	0.203348	0.216213
a47	0.005011	0.00249642	0.00541519	0.0993709	0.293691	0.300396	0.293619
a37	0.00179926	0.00110846	0.00238347	0.0384959	0.263526	0.302252	0.390435
a70	0.00128691	0.00088418	0.00200055	0.0199195	0.169857	0.291418	0.514633
a90	0.00171276	0.00079033	0.00226307	0.0167721	0.0852391	0.256116	0.637106
a79	0.000376802	0.000244506	0.000543378	0.00409464	0.0496954	0.223557	0.721488
a7	0.00017381	0.000131258	0.000367902	0.00366365	0.042824	0.206652	0.746188
a44	0.000545647	0.000357543	0.00076227	0.00349379	0.0280394	0.183536	0.783265
a26	0.00196732	0.00140959	0.00298079	0.0107086	0.0448972	0.193913	0.744123
a82	0.0933966	0.0408605	0.0362794	0.0690375	0.112534	0.214891	0.433001
a87	0.339511	0.154204	0.0476248	0.0506719	0.0695622	0.117597	0.220829
a23	0.407672	0.273419	0.0811268	0.0475606	0.0426812	0.0588512	0.0886885
a87	0.295528	0.163521	0.0556033	0.0513062	0.0774644	0.140759	0.215819
a23	0.0797235	0.0465743	0.0215511	0.0536454	0.129732	0.225216	0.443558
</S>	0.101173	0.0701469	0.0364945	0.0605702	0.158909	0.232736	0.33997
