 	les	branches	pendent	au-dessus	du	chemin	</S>
a23	0.317249	0.223161	0.226595	0.155191	0.0505523	0.0146028	0.0126483
a85	0.523404	0.252623	0.066473	0.0540894	0.0424948	0.0296019	0.0313138
a87	0.548175	0.279533	0.0656485	0.0300395	0.0192991	0.0215082	0.0357968
a23	0.458368	0.283087	0.0878425	0.0513441	0.0276937	0.0347581	0.0569063
a87	0.551913	0.246204	0.0620528	0.0329939	0.0249994	0.0361119	0.0457245
a23	0.365875	0.252733	0.116632	0.0835452	0.0466841	0.0585137	0.0760164
a24	0.452866	0.219898	0.0777803	0.0509564	0.0494744	0.0750342	0.0739916
a25	0.511751	0.25065	0.124458	0.0686746	0.0204427	0.0150054	0.00901917
a38	0.303733	0.234763	0.189314	0.162883	0.0540938	0.0337991	0.0214151
a35	0.303884	0.248207	0.195938	0.165337	0.0449575	0.0248785	0.0167976
a85	0.261624	0.250664	0.231467	0.174743	0.0454576	0.0211471	0.0148976
a37	0.2446	0.254751	0.238313	0.160809	0.0510967	0.0276536	0.0227768
a54	0.223195	0.234696	0.220776	0.151826	0.0678201	0.0520577	0.0496291
a30	0.185786	0.198787	0.196104	0.164038	0.0993264	0.0788212	0.0771372
a26	0.133108	0.13071	0.127312	0.174521	0.154587	0.137429	0.142334
a20	0.11887	0.104959	0.0964226	0.195068	0.175631	0.145993	0.163056
a14	0.128128	0.125691	0.138589	0.143908	0.151594	0.149663	0.162427
a30	0.161615	0.143114	0.163602	0.170516	0.119627	0.111575	0.12995
a26	0.125908	0.105852	0.122498	0.175994	0.173165	0.135449	0.161133
a0	0.0440544	0.0349786	0.0424371	0.141088	0.23063	0.211324	0.295489
a26	0.0380266	0.0302147	0.0340245	0.100397	0.234254	0.239136	0.323948
a24	0.0520581	0.0429007	0.0527141	0.131979	0.240743	0.214294	0.265311
a41	0.0547578	0.0479275	0.0499219	0.0921075	0.175369	0.238724	0.341193
a35	0.0495217	0.0392669	0.0374582	0.0603956	0.142356	0.258783	0.412219
a94	0.0385055	0.0255529	0.0206357	0.0415699	0.140807	0.283644	0.449285
a57	0.0226803	0.013779	0.0100186	0.0250178	0.11504	0.284024	0.52944
a58	0.00699048	0.00387335	0.00288764	0.0104556	0.0718932	0.275551	0.628349
a53	0.0065103	0.00298356	0.00204764	0.00748918	0.0524646	0.25565	0.672855
a4	0.0255286	0.00931443	0.00561769	0.0166105	0.063975	0.237117	0.641837
a13	0.0195052	0.00725236	0.00286201	0.00645745	0.0378753	0.221698	0.70435
a57	0.0180488	0.0069652	0.00234485	0.00541593	0.0399636	0.222072	0.705189
a3	0.0323657	0.0112029	0.00466599	0.0108137	0.0487984	0.198122	0.694031
a87	0.0200196	0.00835993	0.00413334	0.00570813	0.0326077	0.181464	0.747708
</S>	0.0628311	0.0239736	0.0136487	0.0113073	0.0436489	0.21151	0.63308
