 	il	confectionne	une	brosse	</S>
a10	0.341809	0.253357	0.130575	0.141863	0.132396
a53	0.285021	0.278171	0.185786	0.133609	0.117413
a15	0.478334	0.280315	0.0994537	0.0752646	0.0666328
a98	0.370287	0.270401	0.151405	0.125376	0.0825304
a85	0.395288	0.375172	0.127924	0.0659051	0.0357114
a73	0.278805	0.368638	0.168981	0.109117	0.0744585
a26	0.126989	0.249801	0.252824	0.212001	0.158385
a76	0.129821	0.186227	0.284079	0.241348	0.158525
a56	0.0357758	0.147905	0.296264	0.296747	0.223309
a75	0.0374834	0.0915534	0.264589	0.353612	0.252762
a73	0.0184427	0.0607625	0.200007	0.365063	0.355724
a90	0.00994803	0.0446779	0.126095	0.326194	0.493085
a15	0.00930047	0.0355977	0.132257	0.351294	0.471552
a94	0.00561474	0.0295614	0.072995	0.252749	0.63908
a57	0.00478713	0.0245239	0.0613178	0.242112	0.66726
a58	0.0018281	0.00787005	0.0332901	0.222328	0.734684
a82	0.00438102	0.0133195	0.0427601	0.225071	0.714468
a87	0.0483167	0.0543594	0.067926	0.187545	0.641853
a10	0.164372	0.141424	0.109269	0.213015	0.371921
a87	0.0879477	0.135066	0.114331	0.24725	0.415405
a10	0.0366523	0.0623978	0.0975674	0.289993	0.513389
a87	0.0313802	0.0823532	0.133167	0.294766	0.458334
</S>	0.0253128	0.0788108	0.1574	0.303973	0.434503
