 	hier	le	chassueur	a	tué	un	pigeon	vert	</S>
a87	0.146226	0.18918	0.363502	0.112617	0.0758155	0.0517306	0.028254	0.0203913	0.0122834
a23	0.191257	0.171289	0.145341	0.148572	0.132509	0.0864792	0.0573157	0.0437295	0.0235076
a87	0.176072	0.147113	0.332801	0.103075	0.0706599	0.0498136	0.0436359	0.0460224	0.0308069
a10	0.149939	0.135216	0.416141	0.0914445	0.0577371	0.0415849	0.0375776	0.0410359	0.0293245
a87	0.146171	0.139847	0.308254	0.0988874	0.0846902	0.0725562	0.0565875	0.0565311	0.0364757
a10	0.135455	0.154542	0.342137	0.10782	0.081312	0.0615462	0.0438798	0.0458178	0.0274909
a30	0.180925	0.178704	0.271677	0.0914383	0.0826803	0.0677662	0.0468158	0.0506553	0.0293381
a99	0.111758	0.0796025	0.106024	0.0513052	0.0745765	0.104718	0.119451	0.162341	0.190223
a34	0.171093	0.0894914	0.0880823	0.0303434	0.039698	0.0584937	0.0984247	0.170843	0.253531
a83	0.433434	0.211286	0.124401	0.0314549	0.0251641	0.0291462	0.0395392	0.0564254	0.0491491
a75	0.324012	0.211796	0.149374	0.0580208	0.0367631	0.0398994	0.0471465	0.0681969	0.0647914
a44	0.294696	0.19842	0.117566	0.0676711	0.0517533	0.0577521	0.0620998	0.0762589	0.073783
a93	0.258591	0.222387	0.166849	0.0877478	0.0493666	0.0488497	0.0492265	0.0573689	0.0596128
a70	0.172254	0.162967	0.17101	0.119778	0.0721128	0.0669466	0.0677869	0.07988	0.087265
a34	0.157156	0.154371	0.169881	0.12839	0.0779294	0.0683205	0.0712979	0.07786	0.0947944
a83	0.151048	0.147342	0.123598	0.113775	0.0954466	0.0914955	0.0861179	0.0919144	0.0992624
a47	0.0692146	0.0695477	0.0867899	0.114001	0.109991	0.130179	0.141268	0.128685	0.150324
a34	0.0422514	0.0438595	0.0593013	0.0789521	0.0888323	0.123729	0.180325	0.165707	0.217042
a75	0.0283863	0.0290642	0.0428963	0.0787609	0.0952882	0.138816	0.204929	0.176633	0.205226
a85	0.0173004	0.01465	0.0207644	0.043736	0.0590048	0.0974283	0.18092	0.207759	0.358437
a47	0.0161946	0.0154349	0.022174	0.0375049	0.0583672	0.107363	0.21439	0.214119	0.314453
a26	0.0106927	0.0096151	0.0158357	0.0281138	0.0555898	0.10619	0.194232	0.224479	0.355252
a53	0.002865	0.00249682	0.00460076	0.0169204	0.0481647	0.107285	0.191032	0.251424	0.37521
a44	0.00179064	0.00117792	0.00210863	0.00992529	0.025371	0.0697623	0.204137	0.269094	0.416633
a26	0.00109713	0.000837825	0.00157167	0.007936	0.0216877	0.0653438	0.205541	0.269085	0.4269
a82	0.000327563	0.00018599	0.000345975	0.00235497	0.011553	0.0432013	0.135945	0.239221	0.566866
a97	0.00614259	0.00417244	0.00390633	0.00832627	0.0208999	0.0425495	0.111427	0.208568	0.594008
a87	0.03669	0.0264898	0.0282932	0.0351749	0.0578647	0.0826471	0.161219	0.233285	0.338337
a10	0.0595786	0.0533016	0.0638307	0.0589958	0.0695654	0.0802412	0.140475	0.202638	0.271373
a87	0.0545333	0.0455456	0.0479326	0.0486202	0.0617918	0.0763736	0.148389	0.213111	0.303702
a97	0.0457686	0.038266	0.040114	0.0443051	0.0591459	0.0788075	0.166053	0.227809	0.299731
a10	0.0374563	0.0335483	0.0448098	0.0497431	0.0628529	0.0837402	0.166821	0.221966	0.299063
</S>	0.0402964	0.0298866	0.0363004	0.0440905	0.0601654	0.0835029	0.173931	0.213987	0.317839
