 	il	n'	a	pas	pu	attraper	le	cabri	</S>
a23	0.226536	0.132584	0.0803759	0.0732488	0.0655217	0.0780642	0.0986796	0.111386	0.133604
a87	0.263469	0.178533	0.123706	0.0836101	0.0700206	0.0664586	0.0655722	0.0689981	0.0796327
a23	0.279302	0.171711	0.112098	0.0778938	0.0662077	0.0680265	0.0653788	0.0727367	0.0866451
a20	0.233745	0.139971	0.0810491	0.0589234	0.0632247	0.0805228	0.0779867	0.116331	0.148246
a73	0.427846	0.224522	0.128409	0.0739113	0.0472726	0.0354272	0.0193599	0.0215556	0.0216966
a36	0.443449	0.270625	0.128532	0.0605995	0.033416	0.0243861	0.0151188	0.0131706	0.0107032
a24	0.341019	0.254563	0.151237	0.0862086	0.0513628	0.0399569	0.0281954	0.0256274	0.0218303
a32	0.23347	0.194494	0.14923	0.126668	0.0903061	0.0764973	0.0538158	0.0417316	0.0337869
a25	0.180633	0.203767	0.169628	0.140763	0.0988666	0.0746944	0.0566495	0.0420213	0.0329771
a76	0.114655	0.140181	0.147981	0.146955	0.122406	0.100255	0.0847515	0.0746772	0.0681381
a35	0.175909	0.179204	0.14409	0.134781	0.115187	0.0857997	0.0640625	0.0524039	0.0485628
a38	0.139712	0.139971	0.124152	0.136197	0.136249	0.115482	0.0918662	0.0653015	0.0510689
a76	0.0505312	0.0636153	0.0835021	0.13555	0.155211	0.154285	0.149381	0.112844	0.0950798
a69	0.028827	0.037775	0.0605806	0.13551	0.172787	0.17341	0.158061	0.124478	0.108571
a58	0.0371475	0.0463316	0.0663797	0.124953	0.156928	0.163252	0.162917	0.132918	0.109172
a94	0.0138787	0.0171535	0.027812	0.069681	0.1238	0.162404	0.194689	0.195804	0.194778
a11	0.00827763	0.0093665	0.0155215	0.0448527	0.103508	0.15421	0.213874	0.222818	0.227572
a41	0.00740105	0.00834101	0.013085	0.0366566	0.0786588	0.129312	0.192259	0.247965	0.286322
a35	0.00805694	0.00933284	0.0158284	0.0453846	0.094515	0.146727	0.21527	0.23852	0.226366
a26	0.0124881	0.0151519	0.0226913	0.0533068	0.0887597	0.135654	0.218827	0.227999	0.225122
a76	0.00470932	0.00528341	0.0076706	0.0193735	0.0451949	0.0803089	0.162962	0.267981	0.406516
a94	0.00582616	0.00704304	0.0115012	0.0301205	0.0635946	0.101175	0.188137	0.2601	0.332503
a32	0.00269974	0.0031485	0.0050337	0.0139869	0.0341235	0.0663255	0.147589	0.274467	0.452626
a11	0.00289228	0.00308802	0.00416315	0.0112458	0.0281122	0.0567736	0.129533	0.261287	0.502905
a24	0.00304128	0.00307716	0.00405138	0.0103711	0.026526	0.0541485	0.128032	0.267619	0.503133
a9	0.00267039	0.00268626	0.0039648	0.0101111	0.024376	0.0507747	0.123879	0.260222	0.521316
a87	0.00319031	0.00318578	0.0041638	0.0105226	0.0257237	0.0530909	0.127298	0.265067	0.507758
</S>	0.00263472	0.0026011	0.00350224	0.00857934	0.0219351	0.0499096	0.140902	0.270211	0.499724
