 	la	marmite	est	brûlante	</S>
a23	0.550568	0.222627	0.118055	0.0691474	0.0396023
a18	0.306075	0.195894	0.199773	0.168481	0.129776
a11	0.286311	0.212501	0.126687	0.187765	0.186735
a34	0.462056	0.327199	0.109284	0.0721064	0.0293544
a75	0.410299	0.367463	0.119707	0.0679566	0.0345743
a61	0.326262	0.406147	0.169487	0.0638227	0.0342816
a75	0.219391	0.319686	0.220536	0.138636	0.101752
a85	0.186976	0.330628	0.225789	0.150147	0.10646
a37	0.0797294	0.161927	0.238121	0.304926	0.215297
a61	0.0684582	0.101886	0.153867	0.279041	0.396748
a75	0.0237986	0.0430801	0.0961407	0.311413	0.525568
a47	0.0197449	0.0498254	0.0991712	0.318379	0.512879
a2	0.0247707	0.050806	0.105622	0.311921	0.50688
a57	0.0198417	0.0488682	0.1369	0.239025	0.555365
a87	0.054949	0.0737408	0.108565	0.217922	0.544823
a23	0.231056	0.144123	0.137031	0.166695	0.321094
a87	0.18974	0.197703	0.19049	0.231115	0.190952
</S>	0.0444444	0.0653719	0.118831	0.29791	0.473443
