 	l'	enfant	est	malade	depuis	avant-hier	</S>
a23	0.457188	0.141024	0.0867169	0.0687839	0.0740262	0.0820432	0.090217
a79	0.388141	0.180645	0.154073	0.0945488	0.0577004	0.0491953	0.0756972
a76	0.430778	0.203743	0.136558	0.0614577	0.0468431	0.0453128	0.0753077
a20	0.441995	0.261416	0.15461	0.0544732	0.0356749	0.0279044	0.0239262
a44	0.342223	0.252058	0.188741	0.088216	0.0554857	0.042852	0.0304239
a73	0.238058	0.252597	0.223311	0.116241	0.072605	0.0571779	0.0400112
a54	0.179797	0.216603	0.218191	0.151502	0.0986275	0.080787	0.0544924
a73	0.150033	0.169679	0.177344	0.155503	0.136883	0.133157	0.0774007
a84	0.12204	0.142536	0.169668	0.182581	0.155921	0.139871	0.0873821
a57	0.0620226	0.0774906	0.107779	0.174242	0.167029	0.194018	0.217419
a53	0.0534113	0.0661852	0.112647	0.175997	0.171441	0.188154	0.232164
a15	0.0575595	0.0602671	0.0747155	0.13099	0.166036	0.2355	0.274932
a44	0.0474945	0.0562694	0.086928	0.2001	0.207431	0.206197	0.195581
a20	0.0476736	0.0506997	0.0666848	0.162053	0.231927	0.213612	0.22735
a84	0.070832	0.0691783	0.0762158	0.126896	0.172223	0.20768	0.276974
a53	0.0179017	0.0178803	0.0227746	0.0766048	0.178565	0.253749	0.432525
a90	0.0370788	0.0346909	0.0379702	0.0821898	0.161985	0.227806	0.418279
a98	0.0369889	0.0341909	0.0396364	0.0753916	0.156476	0.229168	0.428149
a41	0.0343455	0.0275142	0.0288402	0.0554442	0.13966	0.24242	0.471776
a56	0.0392029	0.0309889	0.0336904	0.0709464	0.147203	0.223023	0.454945
a75	0.0443793	0.0376288	0.037947	0.0544198	0.107053	0.232485	0.486087
a98	0.0383675	0.0318297	0.0331162	0.050502	0.100162	0.225928	0.520095
a73	0.0214446	0.018006	0.0189807	0.035406	0.0837974	0.205923	0.616443
a44	0.0123732	0.0103454	0.0124366	0.0278484	0.0635807	0.160694	0.712722
a20	0.00585388	0.0044266	0.00549986	0.0133978	0.0375449	0.117035	0.816242
a84	0.0317243	0.0206109	0.0200031	0.0339307	0.0604417	0.123026	0.710263
a57	0.00355542	0.00273907	0.00353124	0.00764821	0.0245803	0.0846137	0.873332
a87	0.00937313	0.0044003	0.00355248	0.00775955	0.0458778	0.179836	0.749201
</S>	0.0143663	0.00523797	0.00303088	0.00640628	0.0515372	0.180028	0.739393
