 	son	fils	est	un	grand	pêcheur	de	protoptère	s	à	l'	harpon	</S>
a84	0.191432	0.161341	0.130611	0.133463	0.104991	0.0874073	0.0580302	0.0439597	0.033895	0.0209061	0.0134927	0.00999979	0.0104719
a87	0.410178	0.244389	0.111289	0.0535519	0.023659	0.0187087	0.0168313	0.0212867	0.0210164	0.0213494	0.0182625	0.0193173	0.0201609
a57	0.432642	0.198756	0.0946066	0.0594985	0.0399465	0.0448599	0.0327233	0.0256	0.0153219	0.0158377	0.0121735	0.0140637	0.0139696
a87	0.309335	0.226457	0.129569	0.0795972	0.0469373	0.049201	0.0378581	0.031082	0.0232424	0.017739	0.0137522	0.0163391	0.0188907
a23	0.317124	0.204818	0.127937	0.0886389	0.0513673	0.0511048	0.0390589	0.0317038	0.0265125	0.0195643	0.0142043	0.0141084	0.013859
a44	0.23508	0.148843	0.0860604	0.0612228	0.0449645	0.0571604	0.0659931	0.073018	0.0465913	0.0489945	0.0412098	0.0433895	0.0474728
a54	0.17085	0.154518	0.114182	0.120097	0.102421	0.104388	0.068642	0.0539907	0.0238434	0.0265821	0.02178	0.0193081	0.0193979
a98	0.14147	0.193937	0.151408	0.1384	0.0971387	0.0983872	0.0649575	0.0452486	0.0193059	0.0190085	0.0131302	0.00889665	0.00871149
a92	0.0780265	0.129777	0.131581	0.132612	0.110106	0.113169	0.0897545	0.0705856	0.03668	0.0352853	0.0294142	0.0208881	0.0221207
a85	0.0693108	0.111707	0.120041	0.103559	0.0876381	0.101263	0.0932239	0.095534	0.060925	0.0564567	0.0445822	0.0254848	0.0302746
a79	0.0354857	0.0710776	0.0973255	0.0922604	0.0842725	0.0891143	0.0876148	0.0944718	0.0864375	0.0750399	0.0802306	0.050177	0.0564924
a98	0.0588414	0.0805344	0.101612	0.104781	0.105135	0.110597	0.113524	0.107156	0.076837	0.0453459	0.0372977	0.0251575	0.0331803
a79	0.0386549	0.0569251	0.0860562	0.0985998	0.110305	0.115289	0.11812	0.107118	0.0780065	0.0549026	0.0527393	0.0364977	0.0467864
a92	0.0343761	0.0372068	0.0588016	0.0828692	0.11512	0.135802	0.13797	0.125872	0.0882237	0.05924	0.0497311	0.0335083	0.0412784
a56	0.0201003	0.0181165	0.0320236	0.0558952	0.0878092	0.113517	0.119115	0.126772	0.110768	0.0904993	0.0894598	0.066517	0.069407
a93	0.0171184	0.0139799	0.0232322	0.0416544	0.0791543	0.111729	0.123013	0.135355	0.128385	0.102916	0.0948732	0.0701293	0.0584594
a4	0.0109541	0.00891337	0.011447	0.0175684	0.0374327	0.0693504	0.110297	0.142024	0.159608	0.129151	0.121246	0.0915153	0.0904924
a11	0.00686559	0.00572888	0.00693499	0.010066	0.019877	0.0377852	0.0794941	0.129342	0.175019	0.154087	0.153519	0.116278	0.105005
a62	0.0108167	0.00787217	0.0080094	0.0100993	0.0154536	0.026585	0.05383	0.109158	0.180967	0.165731	0.154516	0.123595	0.133367
a96	0.00973893	0.0075373	0.00778207	0.00934727	0.0139361	0.0228899	0.0452741	0.0934618	0.172327	0.171848	0.174691	0.140457	0.13071
a62	0.00515657	0.003788	0.00431853	0.00587854	0.00873778	0.0133336	0.0272991	0.0609889	0.141249	0.161454	0.198792	0.188791	0.180212
a21	0.00381927	0.00292328	0.00346142	0.00480605	0.00724797	0.0109495	0.0216	0.0457684	0.113201	0.133323	0.195729	0.235846	0.221325
a85	0.00401656	0.00316022	0.00345012	0.0043149	0.00550837	0.00789408	0.0137162	0.029603	0.088845	0.114335	0.184955	0.265577	0.274625
a92	0.000628502	0.000508925	0.000657023	0.00113743	0.00258139	0.00482205	0.0137286	0.0276588	0.078479	0.109009	0.177057	0.28149	0.302242
a75	0.000606762	0.000473713	0.000624022	0.0010743	0.0031219	0.00646944	0.0161618	0.0336062	0.0748876	0.107484	0.16811	0.294074	0.293306
a56	0.000547987	0.000460493	0.000620833	0.0011363	0.00334083	0.00683854	0.0172507	0.0330737	0.072404	0.106511	0.167157	0.300448	0.290211
a90	0.000938692	0.000678467	0.000769912	0.00116597	0.00244266	0.00427333	0.00927751	0.0209547	0.0519033	0.0731767	0.146372	0.330257	0.35779
a92	0.00044955	0.000333872	0.000417481	0.000719652	0.00185729	0.00382384	0.00971989	0.0219093	0.0490582	0.0766735	0.149352	0.334307	0.351379
a56	0.000427893	0.000280638	0.000322564	0.000560711	0.00154496	0.00343517	0.00869413	0.0194996	0.0450957	0.0690207	0.137261	0.335714	0.378142
a12	0.000837065	0.000513074	0.000529779	0.000838836	0.00226236	0.00519299	0.0109868	0.0214398	0.0425069	0.0556754	0.118381	0.331244	0.409593
a18	0.000603585	0.000353367	0.00035141	0.00053709	0.0013049	0.00274397	0.0051445	0.0102837	0.021265	0.0348498	0.0880789	0.332381	0.502103
a71	0.00105661	0.000637306	0.000571876	0.000772668	0.00175061	0.00397009	0.00719335	0.0119083	0.0185598	0.0280469	0.0745254	0.321876	0.529131
a3	0.0107676	0.00808548	0.00713699	0.0086759	0.0145648	0.0203696	0.027161	0.0277187	0.0327799	0.0514564	0.114075	0.311662	0.365547
a99	0.0326577	0.0227856	0.0220048	0.0269111	0.0389412	0.0422195	0.0496458	0.0441221	0.0501834	0.0723165	0.12548	0.234822	0.237911
a13	0.0662313	0.0347225	0.0271675	0.0281717	0.039833	0.0518918	0.056196	0.0507399	0.0595542	0.081964	0.120676	0.193634	0.189218
a57	0.0131115	0.00636665	0.00425752	0.00358049	0.00532827	0.00966575	0.0129966	0.0131377	0.0168083	0.0388243	0.0992208	0.325014	0.451688
a3	0.0240754	0.00984439	0.00596174	0.00553966	0.00890079	0.0181196	0.0246134	0.0256025	0.03536	0.05454	0.0989734	0.284216	0.404254
a99	0.0540871	0.0347474	0.0207131	0.0162939	0.0182895	0.0278431	0.0393589	0.0515742	0.0750805	0.0883852	0.116262	0.207194	0.250171
a97	0.0236446	0.0148	0.0086726	0.00577944	0.00632832	0.0119506	0.0189881	0.0262807	0.0352219	0.0597458	0.105075	0.267215	0.416298
a87	0.025676	0.0130295	0.00745131	0.0059577	0.00972239	0.0226781	0.0354872	0.0420543	0.045657	0.0580487	0.0951447	0.235748	0.403345
a23	0.0630415	0.0343302	0.0187874	0.01482	0.0215666	0.0431213	0.0612857	0.06378	0.0611604	0.0623049	0.0916823	0.183396	0.280723
a97	0.0105672	0.00656168	0.00403618	0.00246787	0.00287846	0.00542849	0.0103359	0.0175905	0.0244574	0.0500368	0.109278	0.320265	0.436097
a87	0.026876	0.0115925	0.00838021	0.0075445	0.0124588	0.0232312	0.0273981	0.0286945	0.0254934	0.0391957	0.0798564	0.239855	0.469424
a23	0.0792408	0.0354698	0.021665	0.0176764	0.0263473	0.050357	0.05964	0.0559027	0.0424719	0.0533224	0.0822172	0.176825	0.298865
a99	0.0254916	0.0149628	0.0101103	0.00691045	0.00884882	0.0148632	0.0239656	0.0345371	0.0379724	0.0627707	0.118858	0.275649	0.36506
a57	0.0418131	0.0242251	0.0224217	0.0194606	0.0243245	0.0319322	0.0404762	0.0513606	0.0526854	0.0775398	0.124233	0.219774	0.269753
</S>	0.024529	0.0144886	0.0127176	0.0110018	0.0140781	0.0188857	0.0224532	0.0282383	0.02948	0.0564989	0.114485	0.272239	0.380905
