 	la	manière	dont	il	m'	accuser	m'	a	énervé	</S>
a66	0.159174	0.0692665	0.0760307	0.120349	0.137287	0.147789	0.135733	0.0991741	0.034325	0.0208724
a87	0.218886	0.0997406	0.0835032	0.107993	0.100454	0.074453	0.107774	0.102631	0.0576024	0.0469631
a23	0.230927	0.122891	0.09179	0.0879631	0.0836991	0.0791528	0.0814859	0.0822571	0.0702084	0.069626
a10	0.286379	0.285493	0.173795	0.0763026	0.0484767	0.0348345	0.0272549	0.0212992	0.0227585	0.023407
a87	0.311492	0.277801	0.145868	0.0549228	0.0386188	0.0299838	0.0286015	0.0275632	0.0416184	0.043531
a10	0.315389	0.266208	0.137837	0.0574892	0.0431193	0.0319136	0.0294197	0.0298709	0.0433513	0.0454029
a50	0.345507	0.257652	0.129405	0.0413659	0.0316425	0.0265975	0.0268206	0.0345885	0.0628579	0.0435626
a62	0.420499	0.299089	0.150463	0.0312483	0.0195378	0.0144729	0.0118882	0.0168959	0.0221162	0.0137901
a61	0.400135	0.372219	0.14239	0.0286338	0.0167291	0.011514	0.00721421	0.0090178	0.00735889	0.0047877
a43	0.351534	0.384751	0.15873	0.0384084	0.0231017	0.0150702	0.00837169	0.0090385	0.00668236	0.00431166
a56	0.24658	0.355827	0.194959	0.0687326	0.0454571	0.029546	0.0173707	0.0166474	0.0131152	0.0117661
a37	0.209969	0.310128	0.219061	0.0970505	0.0666395	0.0399334	0.020814	0.0167264	0.0104184	0.00926017
a21	0.192556	0.264432	0.246709	0.116762	0.0727062	0.0421036	0.0234457	0.0172486	0.0123388	0.0116981
a75	0.112451	0.176578	0.23312	0.170973	0.12563	0.0834444	0.050245	0.0295511	0.00980074	0.00820572
a43	0.0618479	0.124874	0.234904	0.199479	0.144945	0.102478	0.0676555	0.0406778	0.0120801	0.0110579
a56	0.0403681	0.0781054	0.203842	0.219535	0.172844	0.130824	0.0784878	0.0402631	0.0160583	0.0196724
a96	0.0333778	0.0546395	0.163105	0.221156	0.184362	0.15851	0.0984761	0.0543042	0.0151548	0.016914
a94	0.023414	0.0394752	0.133815	0.224186	0.196401	0.176103	0.108443	0.0571215	0.0181526	0.0228878
a93	0.0133844	0.022907	0.082593	0.219547	0.212913	0.198447	0.125059	0.0652499	0.0240256	0.0358754
a90	0.0089514	0.0146375	0.0492377	0.189799	0.206406	0.216592	0.146004	0.08736	0.0351548	0.0458577
a25	0.00540567	0.0110754	0.0305666	0.126649	0.177004	0.230869	0.168968	0.10787	0.0560241	0.0855683
a56	0.00538942	0.0108363	0.0335604	0.134131	0.173221	0.200263	0.160867	0.0972219	0.0661747	0.118335
a98	0.00488097	0.0107813	0.0295925	0.118875	0.160374	0.215301	0.168021	0.113933	0.0764222	0.101819
a47	0.00841211	0.0152434	0.0375563	0.107662	0.133492	0.160559	0.156806	0.121194	0.121563	0.137513
a36	0.0107214	0.0172338	0.0394251	0.122779	0.157621	0.183395	0.161808	0.102273	0.0666624	0.138082
a2	0.0129777	0.0213494	0.0478739	0.119584	0.155842	0.172983	0.165544	0.108095	0.0704281	0.125322
a75	0.0277317	0.0296628	0.0602359	0.163307	0.18185	0.168054	0.16027	0.0865271	0.0483078	0.0740533
a5	0.00577882	0.00790332	0.0179343	0.0542917	0.0853838	0.119422	0.14015	0.123092	0.152958	0.293086
a23	0.00609049	0.00803965	0.0164598	0.0552624	0.0764903	0.122085	0.145308	0.143483	0.180653	0.246128
a27	0.00349212	0.00554568	0.0134524	0.0446641	0.0651549	0.101732	0.124952	0.131315	0.217954	0.291737
a44	0.00757861	0.0101232	0.0227749	0.0561879	0.0693181	0.0739586	0.112534	0.112097	0.234443	0.300985
a75	0.005488	0.0080766	0.0177231	0.0438359	0.0541745	0.0629241	0.0917947	0.111852	0.292919	0.311212
a5	0.00541357	0.00542778	0.00915694	0.0295016	0.0479013	0.0766291	0.109444	0.133599	0.283668	0.299259
a12	0.0028519	0.00327784	0.00711731	0.0246526	0.0332914	0.0501238	0.0745884	0.103246	0.315582	0.385269
a75	0.00314139	0.00321693	0.00742756	0.0250938	0.0329593	0.0446416	0.0674801	0.0929394	0.345335	0.377765
a5	0.00236871	0.00294948	0.00631412	0.0185514	0.0242421	0.0342452	0.0517208	0.0729914	0.348897	0.437719
a36	0.00231439	0.00214107	0.00445732	0.0152912	0.0210682	0.0304199	0.0512459	0.0802457	0.379917	0.412899
a21	0.00228446	0.00234447	0.00439216	0.00992948	0.0122698	0.0128127	0.0260471	0.0393364	0.354077	0.536507
a12	0.00149303	0.00159785	0.00389795	0.0112907	0.0139555	0.017333	0.0304029	0.0484592	0.33913	0.53244
a18	0.00133772	0.00115598	0.00292971	0.00958869	0.0126965	0.0159604	0.0288282	0.0482689	0.345557	0.533677
a25	0.000832225	0.00086471	0.00170164	0.00425568	0.00611441	0.00628619	0.0149534	0.0217044	0.267224	0.676063
a10	0.0118039	0.00827647	0.0103587	0.0161933	0.0172925	0.0136819	0.023272	0.0347583	0.28165	0.582713
a87	0.0482001	0.0219337	0.0202429	0.0245022	0.023836	0.0204576	0.0278815	0.048988	0.269322	0.494636
a23	0.0578711	0.0209425	0.0188511	0.028744	0.0361182	0.0360012	0.0643036	0.100618	0.262156	0.374394
a87	0.0130353	0.00541383	0.00538689	0.0117757	0.020638	0.0215896	0.0350745	0.0645632	0.180094	0.642429
</S>	0.00440931	0.00190407	0.00254199	0.00814571	0.0125195	0.00935483	0.0136977	0.0238323	0.130308	0.793287
