 	il	perce	l'	abcès	</S>
a23	0.334455	0.251123	0.144609	0.119364	0.15045
a30	0.375761	0.230186	0.141376	0.122466	0.130212
a90	0.360371	0.265109	0.150948	0.111108	0.112463
a15	0.340351	0.252645	0.178176	0.127793	0.101035
a14	0.375449	0.269868	0.19687	0.0981812	0.0596313
a30	0.381556	0.299348	0.179613	0.0869571	0.0525252
a14	0.312382	0.3303	0.189394	0.103547	0.0643766
a2	0.306287	0.302677	0.185021	0.120288	0.0857281
a57	0.239186	0.279318	0.201411	0.157978	0.122107
a38	0.143592	0.191519	0.203705	0.216333	0.24485
a35	0.197517	0.222337	0.206454	0.19379	0.179901
a26	0.204285	0.219184	0.200934	0.193551	0.182046
a24	0.187357	0.203524	0.198094	0.20305	0.207975
a25	0.151778	0.174448	0.184513	0.22326	0.266002
a87	0.0825748	0.10409	0.139546	0.241484	0.432305
a79	0.0282477	0.0385182	0.0731518	0.218895	0.641187
a26	0.0457552	0.0437599	0.0758936	0.215483	0.619109
a62	0.053281	0.0524684	0.0881355	0.231535	0.57458
a41	0.0357741	0.0372728	0.0723874	0.222597	0.631968
a30	0.0346138	0.033556	0.0662269	0.207946	0.657657
a57	0.0433658	0.0417028	0.0890963	0.238137	0.587698
a87	0.0659581	0.0662484	0.111128	0.24005	0.516616
a23	0.131372	0.116837	0.122207	0.199456	0.430127
a87	0.218473	0.19849	0.176754	0.179877	0.226406
</S>	0.157885	0.126561	0.137207	0.21423	0.364117
