 	la	manière	dont	elle	manque	de	mari	m'	est	incompréhensible	</S>
a66	0.283468	0.132515	0.0739166	0.0897686	0.0965191	0.0893411	0.0656584	0.0544267	0.0615838	0.0359876	0.0168148
a87	0.383145	0.202677	0.0960404	0.0525546	0.0491122	0.0333178	0.026011	0.0336759	0.0457094	0.043318	0.0344392
a23	0.423014	0.274009	0.12088	0.0507993	0.0249331	0.0194558	0.0183414	0.0155438	0.0189103	0.016594	0.0175197
a18	0.305013	0.315564	0.142611	0.0516664	0.0308776	0.0288917	0.0311258	0.0243843	0.0287457	0.021132	0.0199881
a40	0.275237	0.283635	0.160247	0.05953	0.0372774	0.0298472	0.0336618	0.0262428	0.0333194	0.0320324	0.0289698
a6	0.272652	0.263517	0.164049	0.0790623	0.0456194	0.0391818	0.037086	0.0221935	0.0280115	0.0215525	0.0270748
a36	0.237313	0.253571	0.216802	0.108881	0.0520216	0.0400868	0.0295367	0.0149486	0.0181861	0.012128	0.0165265
a37	0.204313	0.27771	0.25759	0.115437	0.0523444	0.0366904	0.0220206	0.00992871	0.010163	0.00550403	0.00829947
a12	0.196248	0.259432	0.282844	0.114709	0.0535515	0.0355053	0.0241582	0.0116097	0.0113182	0.0049899	0.00563454
a21	0.183091	0.216212	0.262964	0.148654	0.0729632	0.0454702	0.0293719	0.0141228	0.0143578	0.00626122	0.00653242
a12	0.122811	0.15171	0.232996	0.175647	0.100997	0.0753309	0.0525888	0.0286527	0.0319327	0.0137155	0.0136173
a18	0.0878591	0.102003	0.166475	0.202515	0.137552	0.10962	0.0741571	0.0431664	0.0453639	0.017428	0.0138593
a75	0.0388029	0.0419967	0.0674536	0.172448	0.185413	0.175387	0.123945	0.0699825	0.0636551	0.0293722	0.0315435
a85	0.028907	0.0330776	0.056795	0.136748	0.145541	0.15276	0.125824	0.102174	0.111778	0.0593398	0.0470563
a6	0.0157608	0.0182943	0.0299549	0.102039	0.130517	0.156356	0.129566	0.124123	0.129145	0.0930354	0.0712083
a36	0.0084952	0.0103662	0.0192011	0.0973927	0.134632	0.185973	0.163224	0.128866	0.126213	0.0695033	0.0561335
a37	0.0147363	0.0164149	0.0229806	0.0714335	0.105502	0.173711	0.176114	0.123454	0.129383	0.0780196	0.0882521
a70	0.00955681	0.0105391	0.0151523	0.0488924	0.0743941	0.147095	0.166549	0.141641	0.153589	0.103714	0.128877
a93	0.0130234	0.012627	0.0184044	0.0587746	0.0821289	0.151507	0.164109	0.152063	0.153104	0.0908039	0.103454
a34	0.00812583	0.00791402	0.0120023	0.0401525	0.06464	0.130774	0.158793	0.169979	0.181742	0.129518	0.0963607
a56	0.0069042	0.00689908	0.0100676	0.0323088	0.0474749	0.105447	0.143399	0.170615	0.191302	0.148995	0.136587
a34	0.00448516	0.0038068	0.0061566	0.0238385	0.0401587	0.0969642	0.133823	0.182794	0.199808	0.163495	0.144671
a70	0.00335802	0.00306097	0.00483906	0.0196407	0.0341158	0.0829838	0.120478	0.172806	0.192633	0.178335	0.18775
a71	0.00278612	0.00264627	0.00426018	0.015843	0.0277588	0.0569369	0.0852031	0.13545	0.171026	0.214046	0.284044
a9	0.00234246	0.00194663	0.00296798	0.00911439	0.0162622	0.0352744	0.0676537	0.132634	0.18458	0.252012	0.295213
a83	0.0084216	0.00629826	0.00834708	0.0192092	0.0251677	0.0399557	0.0613663	0.126954	0.19316	0.241298	0.269822
a13	0.00195146	0.00146892	0.00217895	0.00603617	0.0100186	0.0261968	0.0512993	0.100332	0.146848	0.23908	0.41459
a50	0.00156598	0.00119919	0.00173561	0.00499886	0.00922533	0.0189225	0.0374299	0.106472	0.162275	0.294963	0.361214
a96	0.000608436	0.000522621	0.000886015	0.00286213	0.0058833	0.0140732	0.0308726	0.079858	0.126344	0.266403	0.471687
a70	0.000360748	0.000311668	0.000590464	0.00262484	0.00603338	0.0146603	0.0255891	0.0652391	0.0915472	0.204189	0.588854
a13	0.000297411	0.000255801	0.000481348	0.00210213	0.00472195	0.0115216	0.0223816	0.055478	0.0865624	0.203804	0.612394
a53	0.000785364	0.000582446	0.000997975	0.00325615	0.00606841	0.0129272	0.0272832	0.0771978	0.132726	0.28729	0.450885
a56	0.000153076	0.000143198	0.000292414	0.0010027	0.0022053	0.00579887	0.0127818	0.0318017	0.0578143	0.168936	0.719071
a44	0.000114384	9.6494e-05	0.000208256	0.00108098	0.0024395	0.00628643	0.0128686	0.0348185	0.0610078	0.162457	0.718623
a93	9.36317e-05	8.30465e-05	0.000175349	0.000877762	0.0020563	0.00536938	0.0116	0.029053	0.0549504	0.16742	0.728321
a4	7.58388e-05	7.01949e-05	0.000151661	0.000705492	0.00169332	0.00504461	0.0126536	0.0349992	0.0644957	0.173637	0.706473
a93	9.68547e-05	8.31508e-05	0.000173609	0.000937017	0.00220873	0.00566519	0.010803	0.0330599	0.0578878	0.174569	0.714516
a94	7.76238e-05	7.13473e-05	0.000156261	0.000894314	0.00223701	0.00698535	0.0152252	0.0399802	0.065038	0.163939	0.705396
a57	0.000220578	0.000196224	0.000363384	0.00150129	0.0030507	0.00610688	0.0102273	0.0268233	0.0514533	0.199114	0.700943
a82	0.00531628	0.00353578	0.00512342	0.0109953	0.0149727	0.0201787	0.0267954	0.0552411	0.0934807	0.264979	0.499382
a3	0.0531828	0.0256663	0.0300414	0.0418984	0.0376738	0.03764	0.0376152	0.0619791	0.0888157	0.208009	0.377479
a87	0.117975	0.054581	0.0455481	0.0569623	0.0506224	0.0565512	0.0592245	0.0943104	0.115158	0.158673	0.190394
a23	0.141633	0.065071	0.0491259	0.057373	0.0621872	0.0793726	0.0832288	0.0972626	0.109064	0.120909	0.134773
a99	0.0667631	0.0374565	0.0288454	0.0396173	0.041621	0.0614139	0.0767173	0.0886433	0.122463	0.167326	0.269133
a97	0.0414917	0.0283982	0.0334048	0.0684872	0.0798916	0.0934454	0.0961332	0.0847158	0.10422	0.134786	0.235027
a57	0.0190386	0.0119208	0.0147211	0.0330499	0.0486699	0.071595	0.0913253	0.0862229	0.10546	0.158868	0.359128
</S>	0.0423697	0.0286914	0.0245614	0.0477333	0.0654415	0.0804844	0.0905597	0.0776126	0.0977615	0.141217	0.303568
