 	les	hommes	partent	chasser	le	bouc	</S>
a23	0.296938	0.193721	0.159249	0.141476	0.0769667	0.0566351	0.0750137
a87	0.402711	0.214851	0.17508	0.0854342	0.0378967	0.0330522	0.0509753
a23	0.413353	0.245579	0.146108	0.0682431	0.0393168	0.0345773	0.0528222
a40	0.346813	0.279546	0.146686	0.0615675	0.0469731	0.0469953	0.0714199
a26	0.373113	0.284203	0.182461	0.0758985	0.0477908	0.0193832	0.0171511
a38	0.377797	0.308855	0.21212	0.0618749	0.0190124	0.0107	0.00964107
a30	0.34886	0.312895	0.220089	0.0732847	0.0209461	0.0125322	0.0113922
a26	0.244341	0.260678	0.253431	0.164294	0.0401978	0.0199523	0.0171052
a38	0.185295	0.180243	0.200574	0.236667	0.0879819	0.0570922	0.0521467
a30	0.19259	0.208896	0.219935	0.230141	0.0730578	0.0406885	0.0346923
a14	0.190663	0.212079	0.218554	0.201282	0.088434	0.0486004	0.0403867
a35	0.132225	0.150656	0.152964	0.187651	0.163702	0.120867	0.0919334
a26	0.090835	0.0960385	0.0944352	0.198241	0.218414	0.16792	0.134116
a11	0.0515984	0.0524695	0.056245	0.140035	0.232101	0.262099	0.205452
a75	0.0439901	0.0418552	0.0398717	0.114712	0.219921	0.292058	0.247593
a25	0.0218997	0.0228832	0.0245641	0.100861	0.238872	0.323226	0.267694
a90	0.0109662	0.0134507	0.0166871	0.0714134	0.225476	0.369991	0.292015
a13	0.0125115	0.0149674	0.0162596	0.0559952	0.197842	0.371845	0.330579
a75	0.00609338	0.00637029	0.00634325	0.0208492	0.096358	0.351164	0.512822
a21	0.00673558	0.00788988	0.0107201	0.0341861	0.13533	0.343244	0.461894
a12	0.00682996	0.00734356	0.00823815	0.0229548	0.099316	0.331715	0.523602
a35	0.00757499	0.00829429	0.0103998	0.023484	0.0853227	0.314609	0.550315
a75	0.00460671	0.00387566	0.00550552	0.0162596	0.0763402	0.266078	0.627334
a14	0.0105343	0.00950171	0.0114635	0.0361096	0.139974	0.294507	0.497909
a35	0.0053073	0.00444319	0.00717765	0.0266757	0.109508	0.305297	0.541591
a66	0.00316988	0.00250663	0.00373684	0.0158267	0.0851234	0.29119	0.598446
a90	0.00201064	0.0012506	0.00176388	0.00682173	0.0481096	0.223269	0.716775
a75	0.00752189	0.00509918	0.00536781	0.017825	0.0896369	0.258401	0.616149
a56	0.00716749	0.00434114	0.00431489	0.0180421	0.092045	0.237247	0.636842
a43	0.00727958	0.00475255	0.00598223	0.0167174	0.0742194	0.23195	0.659098
a0	0.00275316	0.00159324	0.00229094	0.0106554	0.065576	0.213563	0.703568
a24	0.0021757	0.00117681	0.00137963	0.00771527	0.0580446	0.214318	0.71519
a9	0.00177653	0.00108173	0.00110891	0.00554316	0.0440638	0.236617	0.709809
a87	0.00106409	0.000805265	0.00117553	0.00645845	0.0497479	0.279241	0.661508
</S>	0.00346705	0.00238798	0.00305058	0.0104687	0.0619197	0.26878	0.649926
