 	il	ont	tenté	le	chef	pourquoi	</S>
a66	0.40621	0.224681	0.106113	0.081526	0.0821455	0.0664156	0.0329088
a87	0.292761	0.207124	0.165799	0.13899	0.108015	0.0593891	0.0279224
a23	0.366774	0.317287	0.20419	0.0516402	0.0279963	0.0164509	0.0156612
a38	0.298259	0.28949	0.215997	0.0661433	0.0474269	0.0400382	0.0426456
a20	0.142071	0.16422	0.240646	0.15279	0.129551	0.0901614	0.0805612
a47	0.237855	0.300915	0.278624	0.0895348	0.0449883	0.0244783	0.0236054
a6	0.17653	0.272433	0.280111	0.141736	0.0629003	0.0317672	0.0345224
a75	0.105393	0.191271	0.318797	0.233076	0.0830843	0.03531	0.0330686
a56	0.083842	0.143028	0.28082	0.256621	0.120376	0.0637922	0.0515209
a44	0.107098	0.119103	0.174322	0.241365	0.166194	0.105299	0.0866197
a93	0.122871	0.104259	0.116811	0.211851	0.200359	0.140081	0.103768
a56	0.136342	0.0842925	0.0847833	0.173168	0.219804	0.177272	0.124337
a96	0.0594217	0.0357623	0.0494315	0.174395	0.277581	0.248723	0.154685
a61	0.0309144	0.0177766	0.0233507	0.0868827	0.221686	0.324657	0.294732
a0	0.00762028	0.00412118	0.00574881	0.0339596	0.138707	0.349176	0.460667
a31	0.00288851	0.00201815	0.0026361	0.0144263	0.0692844	0.29003	0.618716
a75	0.00480492	0.00364108	0.00486872	0.0172798	0.0519244	0.225078	0.692403
a5	0.000817701	0.000654262	0.00107928	0.00894019	0.0405124	0.199967	0.74803
a37	0.000627225	0.000446753	0.000699493	0.00699132	0.0318298	0.166494	0.792911
a18	0.00117028	0.000842606	0.00142789	0.0103136	0.035626	0.154212	0.796408
a38	0.0268179	0.0200556	0.0185584	0.0437308	0.0818484	0.182115	0.626873
a82	0.0500178	0.037028	0.0294044	0.0637294	0.1119	0.21054	0.497381
a87	0.257846	0.154482	0.0831665	0.0804077	0.0896369	0.122056	0.212405
a23	0.392269	0.253848	0.125836	0.0553554	0.044531	0.0512324	0.0769292
a87	0.286089	0.187214	0.109781	0.0636834	0.0663853	0.105281	0.181566
</S>	0.0506377	0.0420023	0.0446323	0.0604617	0.0773822	0.214067	0.510817
