 	nous	avons	besoin	d'	eau	</S>
a87	0.643677	0.143338	0.0815413	0.0545474	0.0435676	0.0333286
a23	0.517366	0.188688	0.0927202	0.0726029	0.0611771	0.0674453
a87	0.474143	0.303354	0.109725	0.0508422	0.0299301	0.0320059
a23	0.386105	0.297991	0.166407	0.0785866	0.0398867	0.0310233
a62	0.474071	0.272891	0.118284	0.0623834	0.0340696	0.038301
a0	0.584305	0.309243	0.0616687	0.0209884	0.0124592	0.0113356
a24	0.482894	0.361017	0.100292	0.0299099	0.0145813	0.0113061
a47	0.338312	0.300154	0.180031	0.0856032	0.0527257	0.0431736
a88	0.330233	0.323611	0.174887	0.0818535	0.0493485	0.0400671
a61	0.21826	0.237398	0.206089	0.14681	0.106558	0.0848858
a21	0.170708	0.213003	0.200861	0.164177	0.134975	0.116276
a61	0.314176	0.215329	0.175928	0.123108	0.0905568	0.0809024
a75	0.0969146	0.100093	0.18674	0.236773	0.209672	0.169807
a85	0.067137	0.0511988	0.0914538	0.167407	0.272052	0.350751
a41	0.0359393	0.0321736	0.0721895	0.171298	0.318049	0.37035
a56	0.0103041	0.00803919	0.0263097	0.0911223	0.326567	0.537658
a37	0.00735452	0.00812801	0.0278278	0.0853314	0.311612	0.559746
a98	0.00721961	0.00885819	0.0300119	0.0750213	0.269642	0.609248
a47	0.00950315	0.0139733	0.0543204	0.108557	0.279748	0.533898
a36	0.00943781	0.0126403	0.0481733	0.0999574	0.287809	0.541983
a2	0.057638	0.0590459	0.0851755	0.119672	0.242097	0.436372
a57	0.0985882	0.0618544	0.0589491	0.0930981	0.200129	0.487381
a87	0.280509	0.119898	0.062399	0.080938	0.1617	0.294556
a23	0.43366	0.221251	0.0936867	0.0701652	0.0791706	0.102067
a87	0.330284	0.156509	0.0976333	0.100291	0.144298	0.170985
</S>	0.0456455	0.0326163	0.055911	0.126185	0.283988	0.455654
