 	cette	manière	de	couper	les	arbres	détruit	la	hache	</S>
a66	0.273711	0.157749	0.143107	0.112851	0.0746068	0.0762824	0.107366	0.0247845	0.0171453	0.0123969
a87	0.162246	0.106688	0.109729	0.100242	0.0965436	0.106456	0.146185	0.0580628	0.0559052	0.0579429
a97	0.270045	0.172373	0.0807422	0.057574	0.031308	0.0343583	0.119082	0.0615304	0.0672642	0.105722
a99	0.305556	0.276539	0.117315	0.0619247	0.0227467	0.0248069	0.063239	0.0423338	0.0403694	0.0451697
a50	0.381301	0.274701	0.0996506	0.0432458	0.0185761	0.0207058	0.050314	0.0337063	0.0394505	0.0383484
a62	0.340857	0.23502	0.100434	0.0398807	0.0177123	0.0210864	0.0517939	0.0429934	0.0752138	0.0750083
a88	0.294981	0.368375	0.178185	0.0548797	0.0144927	0.0123399	0.0198514	0.0126148	0.0237717	0.0205089
a71	0.257592	0.317232	0.186005	0.0833615	0.029401	0.0237734	0.0291229	0.0174814	0.0278518	0.0281795
a62	0.184479	0.224791	0.179024	0.106313	0.0466099	0.0383173	0.0428627	0.0398562	0.0636477	0.074099
a47	0.176467	0.223737	0.200705	0.140094	0.0599419	0.0476031	0.0487777	0.0331362	0.0353488	0.0341906
a62	0.157455	0.186044	0.188155	0.170827	0.0817845	0.0582927	0.0496246	0.0393744	0.0366986	0.0317437
a31	0.0950415	0.137583	0.186786	0.206832	0.125716	0.0879768	0.0604544	0.0386882	0.0321453	0.0287768
a62	0.0571556	0.0962244	0.17	0.22294	0.168708	0.126656	0.0733973	0.0350825	0.0256948	0.0241421
a11	0.0304776	0.054917	0.115662	0.183848	0.187834	0.166681	0.104361	0.0642692	0.044722	0.0472279
a90	0.0266404	0.0401126	0.095514	0.176738	0.187926	0.168739	0.111908	0.0748542	0.0561988	0.0613692
a25	0.0187753	0.0332628	0.0915434	0.190937	0.213203	0.20402	0.111782	0.0555535	0.0412194	0.0397048
a21	0.00779205	0.0139758	0.0463487	0.125835	0.228577	0.24849	0.101221	0.0820056	0.0657559	0.0799998
a47	0.0149798	0.0185603	0.0527154	0.142044	0.209915	0.222825	0.145941	0.0793545	0.0577595	0.0559043
a88	0.00844475	0.010653	0.033086	0.124545	0.232099	0.250739	0.133125	0.0774113	0.0617715	0.0681258
a83	0.00397694	0.00500677	0.0154257	0.0752295	0.160441	0.204028	0.137392	0.145392	0.118918	0.13419
a50	0.00318119	0.00358396	0.00832765	0.0468983	0.118938	0.165382	0.130407	0.184586	0.163314	0.175381
a62	0.00196977	0.00193077	0.00448156	0.0256136	0.072177	0.115081	0.120195	0.188039	0.212634	0.257878
a83	0.00161699	0.00172218	0.00406969	0.0211237	0.0734679	0.127667	0.126641	0.192024	0.21516	0.236507
a62	0.000685262	0.000657494	0.0014662	0.0098339	0.0371014	0.0720081	0.0767216	0.202477	0.260881	0.338169
a47	0.000590605	0.000608447	0.00142671	0.00850619	0.029798	0.0568564	0.0605479	0.190498	0.278155	0.373012
a96	0.000855604	0.000881552	0.00197072	0.00861163	0.0280853	0.0571357	0.0627018	0.164041	0.274469	0.401247
a83	0.000223463	0.000263152	0.000766719	0.00551445	0.0234596	0.0516204	0.0518747	0.158702	0.259694	0.447881
a0	0.000163696	0.000170669	0.000405194	0.00241021	0.012466	0.0292655	0.0250827	0.142731	0.269874	0.517431
a75	0.000591558	0.000448021	0.000741805	0.00251174	0.0109888	0.0283048	0.0303369	0.172537	0.290254	0.463286
a96	0.000116504	0.000151236	0.000400188	0.00152676	0.00607694	0.0145348	0.0179874	0.0889763	0.247517	0.622713
a11	6.73233e-05	6.67919e-05	0.000171334	0.000897415	0.00529878	0.0145175	0.0137917	0.127345	0.256547	0.581297
a62	0.000403026	0.000282554	0.000510429	0.00137277	0.00573389	0.0156076	0.017202	0.143122	0.262661	0.553105
a83	0.000295783	0.000220756	0.000445314	0.00158389	0.00594113	0.0140421	0.015069	0.112076	0.245694	0.604632
a62	0.000540099	0.000375191	0.000629976	0.00161751	0.00662338	0.0161242	0.0151572	0.10952	0.242323	0.607089
a88	0.000376126	0.000260261	0.00049498	0.00146092	0.00655408	0.0164231	0.0161685	0.119824	0.248614	0.589824
a71	0.000212426	0.00017907	0.000310648	0.000956767	0.00426353	0.010077	0.00890711	0.0810959	0.22077	0.673228
a9	0.00280585	0.00196629	0.00312811	0.00520922	0.0134069	0.0291624	0.0342845	0.149329	0.255149	0.505558
a3	0.0186781	0.00982634	0.010598	0.0118617	0.0199963	0.0383973	0.0770436	0.182326	0.237951	0.393322
a97	0.0401512	0.0185927	0.0122058	0.0109263	0.0156757	0.0347665	0.102343	0.19074	0.227468	0.347131
a30	0.0558495	0.0265634	0.0167712	0.0186849	0.0258106	0.0516303	0.130273	0.172342	0.206655	0.29542
</S>	0.0728965	0.0309394	0.0183208	0.0218151	0.0279317	0.0521724	0.110822	0.141769	0.206087	0.317246
