 	il	a	une	barbe	rare	elle	ne	pousse	pas	vite	</S>
a23	0.240547	0.153152	0.111545	0.0824203	0.108482	0.0690055	0.0501912	0.0357989	0.0388989	0.0496704	0.0602893
a87	0.268182	0.188482	0.12805	0.108354	0.0921713	0.0517167	0.0349637	0.02203	0.022928	0.0351814	0.0479409
a23	0.163496	0.127497	0.0912066	0.0899304	0.114057	0.0958048	0.0774942	0.0532556	0.0517021	0.0629311	0.072625
a87	0.147023	0.112546	0.0756549	0.0661496	0.0734034	0.0679074	0.0560631	0.0414912	0.0593019	0.112466	0.187994
a23	0.174436	0.131702	0.0912839	0.0673342	0.0737992	0.0656915	0.05247	0.040972	0.0550067	0.0947184	0.152585
a20	0.179975	0.158736	0.108358	0.0477771	0.0366671	0.0350137	0.0298495	0.0289361	0.0491033	0.110154	0.21543
a44	0.424867	0.205468	0.104646	0.052152	0.0448895	0.0304799	0.0236988	0.0190902	0.0222733	0.0292724	0.0431629
a38	0.269347	0.179593	0.141724	0.098769	0.108632	0.0721512	0.0463962	0.0277884	0.019355	0.0177553	0.0184875
a0	0.228628	0.163244	0.145248	0.112198	0.119441	0.0841569	0.0515481	0.0322083	0.0225814	0.0205962	0.0201506
a26	0.200831	0.143227	0.135222	0.112762	0.142431	0.102438	0.0616879	0.0359119	0.0235307	0.0210373	0.0209215
a35	0.144295	0.120749	0.131572	0.133863	0.162786	0.117919	0.0703861	0.0405957	0.0261853	0.0245845	0.0270646
a18	0.136758	0.133612	0.149549	0.14728	0.154622	0.110823	0.064864	0.0366203	0.0227547	0.0207795	0.0223375
a38	0.0917313	0.0947635	0.119264	0.14177	0.1829	0.140805	0.0845867	0.0461895	0.0296055	0.0307808	0.0376024
a41	0.0851899	0.0976646	0.127422	0.151881	0.167477	0.132371	0.0807881	0.0470998	0.0313056	0.0346957	0.0441049
a18	0.116595	0.128914	0.154089	0.148553	0.14349	0.105019	0.0678934	0.0424812	0.027144	0.0287199	0.037102
a24	0.0550603	0.0638408	0.0833145	0.125409	0.171751	0.159893	0.10878	0.0624094	0.0415626	0.0522529	0.0757253
a25	0.0472362	0.0556107	0.0717309	0.107919	0.163234	0.164	0.125124	0.0796247	0.0508932	0.0560159	0.0786113
a38	0.0424539	0.0538038	0.0649232	0.102574	0.155329	0.158455	0.119344	0.0781126	0.0542426	0.0707277	0.100034
a73	0.0599314	0.0671322	0.0741508	0.0897074	0.122282	0.131245	0.102416	0.0831722	0.0657423	0.086344	0.117876
a27	0.066179	0.0692763	0.0669465	0.0666214	0.0947081	0.117881	0.104081	0.0894824	0.0795675	0.104811	0.140446
a38	0.0397795	0.0463827	0.0514356	0.0536948	0.101295	0.144186	0.124896	0.0989125	0.0750407	0.106476	0.157901
a24	0.0396795	0.0410366	0.0386616	0.0376877	0.0746685	0.12826	0.126068	0.11269	0.0951394	0.127961	0.178147
a41	0.0249734	0.0250444	0.0259403	0.0296339	0.0664438	0.11541	0.124581	0.135005	0.133658	0.142411	0.1769
a18	0.0248381	0.0244509	0.0250998	0.0256241	0.0547892	0.104453	0.115536	0.125538	0.136472	0.158724	0.204473
a71	0.0153758	0.0169553	0.0202081	0.0222555	0.0378705	0.0903833	0.121142	0.138046	0.142838	0.173992	0.220933
a38	0.0238407	0.0261591	0.0297852	0.0343307	0.0476396	0.0990476	0.120748	0.132657	0.12669	0.158127	0.200975
a76	0.0264315	0.0260567	0.0248396	0.0243856	0.042784	0.0855726	0.102639	0.112012	0.123441	0.177744	0.254094
a90	0.009674	0.0104591	0.0108552	0.0110108	0.0218334	0.06027	0.0855194	0.111729	0.155727	0.225513	0.297409
a13	0.00991269	0.0109723	0.0116047	0.0130906	0.0235168	0.0585307	0.0810759	0.103826	0.154007	0.226113	0.30735
a18	0.00940576	0.0103973	0.0107342	0.0124242	0.0202783	0.0497889	0.0730979	0.0994393	0.153543	0.236367	0.324524
a24	0.00650372	0.00700571	0.00709336	0.00892301	0.0153555	0.0339391	0.0511522	0.0781991	0.150102	0.267751	0.373976
a98	0.00843967	0.00925503	0.00910975	0.0100185	0.0157159	0.0310709	0.0495534	0.0758382	0.149112	0.268586	0.373301
a75	0.00629311	0.00757103	0.00830847	0.00938739	0.0151808	0.027929	0.0438012	0.0670842	0.138541	0.269118	0.406785
a73	0.0115615	0.0135219	0.0159227	0.0163462	0.0254922	0.0530504	0.0787525	0.10218	0.145215	0.224797	0.313161
a84	0.00518672	0.00669905	0.00786388	0.00881153	0.0143468	0.0282439	0.0433692	0.0643824	0.128215	0.268712	0.42417
a57	0.00498592	0.00680013	0.0086628	0.0117369	0.0155493	0.0242748	0.0406643	0.0665727	0.126873	0.271859	0.422021
a87	0.00373829	0.00424294	0.00407036	0.0058589	0.0116646	0.018202	0.0350881	0.0613324	0.15264	0.308172	0.39499
</S>	0.00865954	0.00835052	0.00578608	0.00575837	0.014711	0.0155997	0.0258522	0.0442083	0.128165	0.299416	0.443493
