 	comment	appelle-t-on	cet	animal	</S>
a23	0.302072	0.207174	0.190173	0.157541	0.143041
a10	0.136958	0.223073	0.27047	0.226425	0.143074
a87	0.276003	0.143048	0.166199	0.24132	0.173429
a23	0.329149	0.174889	0.169714	0.213058	0.113191
a38	0.325872	0.145559	0.139902	0.262608	0.126059
a30	0.467173	0.248664	0.112102	0.126509	0.0455511
a44	0.516448	0.298758	0.102649	0.0570687	0.0250763
a38	0.465525	0.336292	0.1114	0.061731	0.0250511
a41	0.434999	0.359614	0.114772	0.0619589	0.0286559
a98	0.291838	0.336945	0.19194	0.119496	0.0597808
a24	0.255482	0.240899	0.211337	0.203576	0.0887064
a41	0.116163	0.147457	0.219692	0.324553	0.192135
a35	0.0364742	0.0556698	0.149652	0.390159	0.368045
a54	0.0218435	0.0376734	0.127651	0.39607	0.416762
a73	0.00795235	0.0195045	0.0966575	0.344893	0.530992
a90	0.00232269	0.00837286	0.0779929	0.344128	0.567183
a76	0.00929408	0.0138911	0.0539412	0.274633	0.64824
a98	0.00879516	0.0143489	0.0593568	0.252057	0.665442
a13	0.0220261	0.0320201	0.104522	0.300738	0.540693
a62	0.0108809	0.020088	0.0733729	0.247588	0.64807
a83	0.00387217	0.00783383	0.0319111	0.179	0.777383
a9	0.00677992	0.0154616	0.0552443	0.192227	0.730288
a87	0.0389123	0.0329451	0.0478993	0.193403	0.68684
</S>	0.0632429	0.0292781	0.0570132	0.185795	0.66467
