 	nous	désherbons	notre	parcelle	</S>
a66	0.576735	0.226033	0.0995716	0.0603995	0.0372609
a87	0.368764	0.27692	0.149946	0.12064	0.0837314
a97	0.481494	0.253229	0.0845765	0.0960907	0.0846096
a50	0.55709	0.275266	0.0660131	0.0582888	0.0433418
a88	0.714707	0.133852	0.0478311	0.0552519	0.0483572
a0	0.738679	0.124095	0.0422442	0.049628	0.0453539
a24	0.626872	0.130614	0.0723045	0.0841619	0.0860482
a21	0.517027	0.166252	0.0946302	0.102323	0.119768
a56	0.379558	0.184821	0.136964	0.149769	0.148887
a93	0.442745	0.230489	0.116105	0.103797	0.106864
a90	0.321763	0.26244	0.153482	0.136873	0.125442
a98	0.285677	0.287687	0.16261	0.128597	0.135429
a92	0.156339	0.300331	0.221068	0.162655	0.159607
a5	0.154253	0.275421	0.230273	0.173668	0.166384
a23	0.165946	0.316188	0.208142	0.149146	0.160578
a98	0.070691	0.279287	0.230995	0.18264	0.236387
a79	0.0353432	0.202474	0.246473	0.23865	0.277059
a44	0.0530872	0.215948	0.232152	0.196173	0.302639
a79	0.0225141	0.130922	0.197548	0.199313	0.449702
a98	0.0322081	0.170043	0.223637	0.199452	0.37466
a6	0.021645	0.13337	0.211842	0.230583	0.40256
a36	0.0246403	0.135952	0.205851	0.216999	0.416557
a61	0.00544718	0.0348455	0.14323	0.209217	0.60726
a0	0.00282165	0.0225775	0.129093	0.232691	0.612818
a24	0.00149942	0.0112621	0.110663	0.293804	0.582772
a9	0.000950571	0.00723839	0.0889512	0.283481	0.619378
a82	0.0220054	0.0431439	0.187943	0.26219	0.484718
a10	0.0718867	0.0736363	0.184154	0.240556	0.429768
a87	0.146	0.150624	0.205587	0.228024	0.269766
a97	0.119872	0.20198	0.235092	0.229756	0.213299
a87	0.105774	0.216481	0.20655	0.226369	0.244825
a97	0.118806	0.189497	0.18763	0.223451	0.280616
a87	0.154841	0.18333	0.167422	0.211821	0.282586
a97	0.10704	0.148616	0.159479	0.221235	0.36363
a99	0.0674673	0.102041	0.139613	0.230159	0.460719
a97	0.0380085	0.0587644	0.115808	0.232782	0.554637
</S>	0.0602238	0.089479	0.119673	0.213441	0.517183
