 	nous	avons	une	réunion	aujourd'	hui	</S>
a38	0.547256	0.147961	0.0844062	0.0735439	0.0552959	0.0451745	0.0463624
a43	0.516425	0.207299	0.0924336	0.0669759	0.0509501	0.0332154	0.0327013
a31	0.461707	0.184975	0.100161	0.0856118	0.0620531	0.0498017	0.0556908
a21	0.588234	0.214406	0.108835	0.0477313	0.0167076	0.0112882	0.0127986
a47	0.432187	0.263163	0.18576	0.0841499	0.0174149	0.00942632	0.00789917
a21	0.206151	0.198958	0.218222	0.175619	0.0828696	0.0679363	0.0502435
a47	0.202216	0.175152	0.195235	0.167466	0.0973779	0.0890728	0.0734808
a75	0.0829303	0.0908223	0.125318	0.137842	0.147336	0.218082	0.19767
a12	0.0350659	0.0457011	0.0800914	0.127713	0.183957	0.253789	0.273683
a56	0.00523925	0.00956455	0.0208021	0.0476155	0.158302	0.336759	0.421718
a94	0.00130292	0.00276366	0.00656605	0.0212962	0.134308	0.34504	0.488723
a98	0.000358882	0.000918207	0.0022348	0.00732235	0.0967989	0.3312	0.561167
a15	0.000264333	0.000687291	0.00188357	0.0070928	0.106377	0.339538	0.544157
a7	0.000763936	0.00159953	0.00327887	0.0103493	0.111415	0.330205	0.542388
a84	0.000597739	0.00150939	0.00362233	0.0106774	0.104016	0.304991	0.574586
a87	0.0928472	0.0853907	0.0765414	0.062103	0.12167	0.216273	0.345175
a23	0.385368	0.251369	0.166778	0.0788358	0.045789	0.0359902	0.0358704
a97	0.0864402	0.089235	0.0988652	0.0999037	0.17518	0.212947	0.237429
a87	0.0185172	0.0261111	0.0338868	0.0508899	0.181498	0.312468	0.376629
a23	0.0203916	0.0288256	0.0393241	0.065416	0.196473	0.304236	0.345334
a99	0.0165647	0.0332175	0.0519347	0.0809832	0.210286	0.288731	0.318283
a26	0.0349149	0.0575148	0.0641148	0.0813419	0.190184	0.254301	0.317628
</S>	0.0747866	0.0939344	0.0884185	0.0866554	0.170374	0.222715	0.263116
