 	la	manière	dont	il	se	gave	d'	oseille	montre	qu'	il	meurt	de	faim	</S>
a66	0.168666	0.122749	0.0864636	0.0855676	0.133029	0.100021	0.0669899	0.0681827	0.0477376	0.0404	0.0230758	0.0230423	0.0138118	0.0115362	0.00872804
a87	0.284089	0.196413	0.13253	0.0847953	0.0566236	0.0341953	0.0175456	0.0195654	0.0220953	0.0376392	0.0288282	0.035528	0.0206161	0.0169671	0.0125686
a23	0.262649	0.201834	0.17148	0.112994	0.0798766	0.0455231	0.0212035	0.0168819	0.0135815	0.0141695	0.0119432	0.0134932	0.0114418	0.0111716	0.0117574
a50	0.262521	0.233927	0.223879	0.0994084	0.0626917	0.0279329	0.0111683	0.00777271	0.00804047	0.0115731	0.00970019	0.0106638	0.0104174	0.00989105	0.0104122
a88	0.209271	0.181028	0.160208	0.0934169	0.0676308	0.0331037	0.0145119	0.0124587	0.0120427	0.0163115	0.0207479	0.04432	0.0450768	0.0452161	0.0446567
a50	0.287448	0.262525	0.167724	0.0658858	0.0356297	0.0177808	0.00763938	0.00888574	0.00766904	0.013018	0.0180048	0.0314734	0.0291162	0.026347	0.0208528
a62	0.171327	0.238216	0.233909	0.0833002	0.0383987	0.0236586	0.0120189	0.0123576	0.0114763	0.018305	0.0205913	0.0421156	0.0385665	0.0313816	0.0243776
a47	0.201774	0.221757	0.206838	0.112514	0.0650451	0.0419228	0.0186736	0.0131719	0.0107439	0.0135354	0.0137265	0.0202382	0.0212801	0.0207002	0.0180794
a62	0.182116	0.201316	0.195389	0.101447	0.0636167	0.0399414	0.0184611	0.0129639	0.0100859	0.0128569	0.0166229	0.0427754	0.0384744	0.0353966	0.0285374
a47	0.110657	0.151177	0.165174	0.135296	0.0923934	0.0707712	0.0356085	0.027126	0.0212169	0.0257517	0.0278408	0.036386	0.037194	0.0335923	0.0298146
a21	0.101459	0.130718	0.139376	0.122746	0.100984	0.0786591	0.0439366	0.0319624	0.0233191	0.0256465	0.0308273	0.0555768	0.0464176	0.0366564	0.0317147
a12	0.0447518	0.0637546	0.0721635	0.101505	0.121961	0.133816	0.0962553	0.0820405	0.0586074	0.0498871	0.035976	0.0330073	0.0345349	0.0352503	0.0364898
a62	0.0180389	0.0271264	0.0364189	0.0735351	0.111197	0.138286	0.120838	0.120772	0.0916506	0.0713114	0.0430207	0.0343602	0.0369973	0.0375406	0.0389069
a47	0.0170843	0.0229189	0.0280632	0.068718	0.124897	0.155484	0.137441	0.125632	0.093587	0.0663134	0.0361066	0.029956	0.0314647	0.0313802	0.0309548
a88	0.0135038	0.0178149	0.0226873	0.0487259	0.0979556	0.135112	0.130596	0.136021	0.110855	0.0775308	0.0392762	0.0358587	0.039838	0.0449051	0.0493205
a61	0.00887129	0.010865	0.0128109	0.0272804	0.0695883	0.12866	0.144524	0.159648	0.13137	0.0857245	0.0402097	0.0355975	0.0420529	0.0477527	0.0550445
a75	0.00756919	0.00906133	0.0105066	0.0228559	0.0608418	0.121188	0.153259	0.183726	0.147282	0.0915854	0.0423422	0.0302314	0.0355269	0.0392481	0.0447755
a98	0.0064469	0.00642673	0.00701746	0.0152682	0.0383066	0.0757577	0.130021	0.176132	0.136576	0.0765748	0.046412	0.0318224	0.0565055	0.0855734	0.111159
a15	0.00647132	0.00556112	0.00523362	0.0114524	0.0319443	0.0675769	0.136169	0.165456	0.135486	0.0681237	0.045814	0.0280562	0.0560379	0.0949797	0.141637
a98	0.00849863	0.00789299	0.00792364	0.0172944	0.0472093	0.0958232	0.168936	0.149512	0.108259	0.0407368	0.0235201	0.0210242	0.0513803	0.0895198	0.162469
a47	0.0115276	0.00943822	0.0081429	0.0148828	0.0361405	0.0747797	0.143879	0.166256	0.123741	0.0501768	0.0313549	0.026534	0.0555453	0.0912242	0.156377
