 	appelle	les	manoeuvres	pour	commencer	le	travail	</S>
a23	0.392419	0.209015	0.122752	0.0944684	0.0589479	0.0344123	0.03803	0.0499558
a38	0.287935	0.157788	0.11242	0.0914149	0.0868196	0.0789322	0.0876706	0.09702
a12	0.437553	0.206342	0.110251	0.0943096	0.0589684	0.0370306	0.0278539	0.0276923
a41	0.521183	0.292449	0.1135	0.0454993	0.0144959	0.00646592	0.00392724	0.00247994
a30	0.498684	0.287035	0.115901	0.0505228	0.0234365	0.010795	0.00793682	0.0056891
a35	0.308738	0.240821	0.171683	0.103772	0.0734833	0.0380687	0.0346703	0.0287642
a11	0.286557	0.259759	0.189744	0.120546	0.0748877	0.0315191	0.0213015	0.0156859
a54	0.260706	0.252049	0.203603	0.123838	0.0821493	0.0352128	0.0236213	0.0188209
a14	0.197937	0.213086	0.214323	0.156552	0.109135	0.0549127	0.0308299	0.0232229
a35	0.189129	0.22504	0.216946	0.163112	0.109028	0.0525476	0.0259344	0.0182638
a24	0.180268	0.220524	0.21598	0.182759	0.113399	0.0482162	0.0219677	0.0168864
a71	0.12281	0.180657	0.211689	0.208502	0.140646	0.0713345	0.0344706	0.0298904
a38	0.0453692	0.0744716	0.162626	0.239836	0.211743	0.152856	0.0614514	0.0516469
a14	0.0542475	0.0833846	0.160047	0.229263	0.201577	0.144485	0.0675512	0.0594446
a35	0.0617054	0.100118	0.168564	0.223698	0.177093	0.127384	0.0742967	0.0671408
a41	0.0476164	0.0701948	0.120814	0.184635	0.186252	0.161212	0.112699	0.116576
a66	0.0500915	0.0624452	0.0915133	0.150102	0.169396	0.159207	0.152141	0.165105
a98	0.0188225	0.0230413	0.0509726	0.102708	0.150716	0.21667	0.201002	0.236068
a14	0.0142141	0.0192043	0.0413989	0.0743965	0.11438	0.177124	0.237928	0.321355
a35	0.0220466	0.0249908	0.0446751	0.0805731	0.115375	0.170324	0.227043	0.314973
a62	0.027935	0.0268842	0.0379497	0.0535493	0.068026	0.11331	0.247916	0.42443
a0	0.0115724	0.0135285	0.0234367	0.0348261	0.0472171	0.098499	0.253472	0.517449
a32	0.00692751	0.00780713	0.0152604	0.0248798	0.0380397	0.10116	0.26393	0.541996
a75	0.00782596	0.00870503	0.0177208	0.0261902	0.0377506	0.0917899	0.241883	0.568134
a73	0.00783092	0.00840166	0.0145233	0.0191097	0.0287651	0.0742034	0.257777	0.589389
a56	0.0271882	0.0268776	0.0421114	0.053622	0.0542187	0.0979461	0.236753	0.461283
a54	0.0142113	0.0141136	0.0289233	0.0494924	0.0650042	0.14055	0.240773	0.446933
a73	0.0265074	0.0243559	0.0424669	0.0559038	0.0629494	0.123438	0.238182	0.426197
a57	0.0189295	0.0172005	0.0345936	0.0596563	0.0712289	0.127672	0.228596	0.442124
a87	0.00315196	0.00310469	0.00615064	0.0131115	0.0339551	0.111933	0.272038	0.556555
</S>	0.0244026	0.017697	0.0191529	0.033382	0.0605767	0.119332	0.282127	0.44333
