 	il	vend	des	bananes	au	marché	</S>
a66	0.362687	0.335649	0.144978	0.0804352	0.0419077	0.0195437	0.0147987
a87	0.433062	0.342215	0.127359	0.0509216	0.0260776	0.0111588	0.00920628
a23	0.572089	0.255819	0.0644832	0.0364843	0.0290216	0.0187774	0.0233256
a87	0.637274	0.221992	0.0428959	0.0170453	0.0154524	0.0211348	0.0442054
a10	0.576815	0.281712	0.0580643	0.020504	0.01412	0.016418	0.0323667
a53	0.519513	0.25705	0.0660207	0.0301957	0.0244483	0.0359626	0.0668101
a15	0.434562	0.250587	0.103576	0.0672191	0.0599121	0.0431424	0.0410007
a98	0.25786	0.262014	0.199928	0.129245	0.0867295	0.0385426	0.0256804
a85	0.166411	0.232349	0.269208	0.191697	0.094513	0.0284199	0.0174017
a6	0.144498	0.230605	0.268727	0.197406	0.094538	0.0364304	0.0277964
a36	0.156384	0.213273	0.245768	0.205876	0.103411	0.0427908	0.0324964
a61	0.19182	0.181279	0.182634	0.147548	0.10617	0.0999031	0.090646
a21	0.172017	0.192919	0.184532	0.145395	0.0973767	0.102454	0.105305
a85	0.066799	0.0878486	0.114107	0.148756	0.155096	0.205237	0.222156
a47	0.0127964	0.0196167	0.0456296	0.111228	0.174747	0.266386	0.369596
a36	0.00580938	0.00530322	0.0109032	0.0342895	0.0970308	0.332507	0.514157
a25	0.00525598	0.00278969	0.00412289	0.0133708	0.0538909	0.321976	0.598594
a79	0.00177629	0.000990159	0.00158689	0.00566227	0.0257367	0.236769	0.727479
a75	0.000955739	0.000530127	0.00154559	0.00721028	0.0335915	0.252848	0.703319
a85	0.000550377	0.000347085	0.00113049	0.00586556	0.0291056	0.25056	0.712441
a5	0.000407014	0.000218811	0.000872331	0.00604577	0.0381598	0.254339	0.699957
a36	0.000609752	0.000379804	0.00148414	0.00716762	0.0279112	0.220181	0.742266
a37	0.00258377	0.00137752	0.00588402	0.0292009	0.0731591	0.215954	0.67184
a27	0.00549418	0.00442646	0.0158939	0.0585711	0.127463	0.246604	0.541548
a30	0.00810557	0.00643065	0.0153348	0.0505449	0.0977832	0.226384	0.595417
a10	0.263718	0.142202	0.0761916	0.075925	0.0819358	0.129586	0.230441
a87	0.350322	0.235622	0.108132	0.0821525	0.0661904	0.0678826	0.0896987
a23	0.308353	0.231323	0.128918	0.101972	0.0727549	0.0689016	0.0877767
a87	0.10805	0.0458254	0.0348078	0.0526575	0.0918955	0.224433	0.442331
a97	0.00865046	0.00591357	0.00745636	0.0236723	0.0695857	0.239269	0.645453
</S>	0.0265831	0.0269562	0.033901	0.0639076	0.113179	0.225235	0.510239
