 	elle	a	des	yeux	brillants	de	malice	</S>
a10	0.218742	0.152263	0.136722	0.0900988	0.0927733	0.103586	0.112349	0.0934658
a53	0.114501	0.0936256	0.0933368	0.112869	0.0856571	0.134612	0.198685	0.166714
a15	0.173756	0.131182	0.147161	0.0864386	0.115665	0.131232	0.111119	0.103447
a73	0.310216	0.22154	0.207139	0.0870953	0.0646577	0.0413608	0.0307293	0.0372624
a37	0.270258	0.228243	0.243846	0.138319	0.0605234	0.0234059	0.0173256	0.0180781
a75	0.279537	0.248805	0.244783	0.134622	0.0460791	0.0180449	0.0144527	0.0136762
a43	0.210582	0.20333	0.21767	0.17958	0.0865619	0.0439588	0.0289698	0.0293472
a11	0.175426	0.166194	0.157791	0.201163	0.148531	0.0643486	0.0455467	0.0409996
a75	0.156871	0.146987	0.13636	0.18948	0.183554	0.0872481	0.0551811	0.0443189
a85	0.068137	0.0783759	0.0877003	0.172523	0.188466	0.143748	0.119766	0.141283
a5	0.0455088	0.0540932	0.0604725	0.113559	0.163957	0.167289	0.172035	0.223086
a43	0.092712	0.0886126	0.0810416	0.11192	0.162116	0.142855	0.151971	0.168771
a75	0.0572174	0.04836	0.0453268	0.0870125	0.185983	0.174565	0.20447	0.197065
a85	0.0441452	0.0404325	0.0424238	0.0696605	0.123813	0.139054	0.234518	0.305952
a73	0.0310495	0.029678	0.032584	0.0522211	0.0922752	0.122687	0.278344	0.36116
a2	0.0291215	0.0223289	0.0208921	0.0376584	0.0732139	0.115134	0.278596	0.423055
a53	0.010813	0.00874211	0.00923824	0.0169214	0.0235769	0.0942461	0.312991	0.523471
a90	0.00947689	0.00867084	0.00943406	0.0176494	0.0454282	0.100804	0.282481	0.526055
a98	0.00745294	0.00628524	0.00689234	0.0126986	0.0288399	0.0775608	0.290658	0.569612
a47	0.00619079	0.0056076	0.00639061	0.0116948	0.0257097	0.0837796	0.287778	0.572849
a30	0.00623397	0.00632785	0.00824299	0.017741	0.0364088	0.165381	0.318944	0.440721
a2	0.0163954	0.0149648	0.0216016	0.0300433	0.0502312	0.145758	0.24457	0.476436
a57	0.035616	0.027827	0.03672	0.0388932	0.0537474	0.0983093	0.196523	0.512365
a10	0.106442	0.0807759	0.0919739	0.0846221	0.0871666	0.0994223	0.186339	0.263259
</S>	0.0552574	0.0385697	0.0395472	0.0448073	0.0575674	0.102962	0.283218	0.378071
