 	pourquoi	tu	doutes	</S>
a23	0.821106	0.127154	0.0357286	0.016011
a83	0.701181	0.17319	0.071171	0.0544586
a34	0.51133	0.245261	0.123976	0.119433
a56	0.587222	0.272593	0.103281	0.0369052
a44	0.45707	0.42661	0.0902186	0.0261013
a96	0.191318	0.448317	0.236564	0.123802
a21	0.131424	0.220135	0.366979	0.281462
a5	0.0980245	0.147242	0.38856	0.366174
a61	0.0312433	0.0658214	0.30396	0.598975
a88	0.0120753	0.0407015	0.24663	0.700594
a71	0.00358469	0.0156964	0.160318	0.8204
a9	0.0117675	0.0234823	0.170907	0.793843
a87	0.224341	0.0848798	0.189813	0.500966
a23	0.49306	0.182857	0.157577	0.166505
a87	0.14275	0.148333	0.247202	0.461715
</S>	0.0492358	0.0600996	0.262495	0.62817
