 	dans	l'	étang	où	nous	avons	pêché	il	y	avait	une	substance	qui	donne	de	démangeaisons	c'	est	pourquoi	nos	corps	démangent	</S>
a66	0.0363713	0.0323321	0.0313847	0.0377723	0.0449566	0.0557667	0.0590698	0.0631683	0.0673014	0.059037	0.0627406	0.0790154	0.0747364	0.0778421	0.0595858	0.0561542	0.0356388	0.0274009	0.0183356	0.00652148	0.00716204	0.00407072	0.00363601
a87	0.153476	0.0919856	0.056104	0.0464581	0.0402504	0.0476495	0.0262751	0.0361404	0.0385096	0.0275427	0.0234553	0.0512816	0.0701682	0.0563597	0.049487	0.0354762	0.0321697	0.0319182	0.0289501	0.0144916	0.0186583	0.0121531	0.0110402
a23	0.164723	0.0907437	0.0755714	0.0593026	0.0480451	0.0536913	0.0539594	0.0535388	0.046273	0.0339893	0.0310388	0.0631275	0.0588082	0.0487093	0.0324316	0.0206928	0.0155371	0.0133602	0.0115644	0.00655724	0.00617934	0.00578416	0.00637151
a50	0.187661	0.103781	0.078934	0.0414214	0.0449869	0.0583737	0.0931135	0.0491138	0.0420002	0.028292	0.0257984	0.0556874	0.0432832	0.0345827	0.0259915	0.0199723	0.0137914	0.0132176	0.0106174	0.00711506	0.00812456	0.00594497	0.00819575
a83	0.115398	0.0817762	0.0796446	0.0626805	0.0597462	0.0623106	0.103103	0.0714374	0.0492155	0.0312748	0.0231299	0.0343118	0.0273794	0.0270011	0.0218596	0.0186014	0.0121081	0.0129695	0.0134533	0.0145811	0.0227346	0.0241481	0.0311358
a71	0.169495	0.166404	0.148875	0.0995115	0.074496	0.0657518	0.0726548	0.0283645	0.0190701	0.0109683	0.00865964	0.0135675	0.0099405	0.0101605	0.00919593	0.00861047	0.00704193	0.0100299	0.0106755	0.0123811	0.0166594	0.0114348	0.0160521
a34	0.112607	0.124547	0.153109	0.124829	0.099076	0.0772779	0.0827502	0.0362533	0.0226211	0.0127766	0.00922262	0.0119785	0.00757272	0.00889705	0.00840023	0.00883298	0.00906355	0.011539	0.0120661	0.0152377	0.0177571	0.0132658	0.0203187
a93	0.0694744	0.093688	0.117592	0.116079	0.110705	0.102765	0.115369	0.0444317	0.032238	0.0205915	0.0180769	0.0237272	0.0102897	0.0104663	0.00932415	0.0101096	0.00981036	0.0113735	0.0115597	0.0144277	0.0168871	0.0122752	0.0187386
a94	0.0450246	0.0673144	0.0989057	0.123094	0.1289	0.114134	0.122205	0.0524436	0.0379962	0.0238357	0.0228428	0.030118	0.0137685	0.0122618	0.00954932	0.00864185	0.00872231	0.00927965	0.00975593	0.0119966	0.0152779	0.0126388	0.0212919
a90	0.0380685	0.0512743	0.0769209	0.104466	0.119414	0.113176	0.132689	0.059966	0.0445509	0.0297925	0.02949	0.0398975	0.0192051	0.0168728	0.0123099	0.0112097	0.0107368	0.0105871	0.0108701	0.0122049	0.015229	0.0141521	0.0269167
a56	0.0266708	0.0387068	0.0645455	0.101757	0.119429	0.117189	0.128256	0.068136	0.0533614	0.0387152	0.0367572	0.0454975	0.0208241	0.0182511	0.0121608	0.0119831	0.0105309	0.00976824	0.00968267	0.010882	0.0150868	0.014277	0.0275327
a75	0.0184736	0.0232617	0.0411867	0.0711869	0.0981767	0.105046	0.134867	0.075719	0.0602128	0.0456497	0.0456321	0.0655577	0.0302928	0.0272073	0.0180676	0.0176716	0.0158357	0.0144015	0.0138123	0.0135748	0.0155087	0.0157759	0.0328814
a56	0.00927284	0.0110147	0.0184202	0.0372684	0.0627132	0.0781786	0.0907721	0.0694062	0.0772519	0.0727566	0.0759324	0.102174	0.0460584	0.042759	0.0294142	0.0301845	0.0251791	0.0207452	0.0175228	0.0151378	0.0184362	0.0189692	0.0304325
a12	0.0066504	0.00794305	0.0132837	0.0278808	0.0538833	0.0709543	0.0882743	0.0790017	0.0821458	0.0750509	0.0831716	0.124372	0.0639527	0.0549359	0.0322968	0.0297795	0.0236378	0.0182417	0.0153567	0.0114664	0.0111461	0.0106545	0.0159202
a96	0.00207493	0.00235715	0.0037899	0.0083046	0.0221056	0.04106	0.055282	0.0763685	0.0941493	0.100972	0.111047	0.157828	0.0816842	0.071432	0.0392742	0.0354175	0.0262675	0.0183643	0.0139742	0.00878797	0.00882795	0.00826394	0.0123668
a18	0.00143755	0.00161064	0.00252105	0.00535707	0.0152687	0.031975	0.0479113	0.0884584	0.106614	0.114665	0.122594	0.167099	0.077164	0.0621235	0.033369	0.0304093	0.021733	0.0152659	0.0113158	0.0073226	0.00853541	0.00902612	0.018224
a38	0.0032478	0.00303243	0.00416667	0.00743931	0.0137679	0.0246642	0.0507634	0.129545	0.125442	0.128944	0.115288	0.132549	0.0633527	0.0509841	0.0266506	0.0236535	0.0200498	0.0157671	0.0131536	0.00884734	0.0106081	0.0107487	0.0173351
a56	0.00372337	0.00322938	0.00417904	0.00698694	0.00977357	0.0153958	0.0290811	0.0914829	0.104517	0.132539	0.136228	0.160496	0.0779984	0.0635968	0.0311503	0.0272415	0.0221056	0.0160245	0.0127865	0.00924195	0.00988969	0.0118645	0.0204682
a93	0.00129082	0.00119137	0.00158685	0.00305295	0.00619702	0.0114847	0.0169078	0.0472207	0.0711136	0.102712	0.123467	0.166961	0.0941233	0.0897163	0.0458577	0.0462155	0.0325416	0.021803	0.0171852	0.0124666	0.0163075	0.0226394	0.047959
a70	0.00109802	0.00102148	0.00135033	0.00266716	0.00546675	0.0101109	0.0150346	0.0417196	0.0621714	0.0936155	0.115735	0.15631	0.0946343	0.0893091	0.0522552	0.0533321	0.0407678	0.0290375	0.0232426	0.0158732	0.0210912	0.0262047	0.0479515
a94	0.00193446	0.00175539	0.0023065	0.0040543	0.00584199	0.00880215	0.0149065	0.0543042	0.0738067	0.132574	0.155104	0.175566	0.0830517	0.0746242	0.0328588	0.0364525	0.0294177	0.0199556	0.0149598	0.011705	0.0136037	0.0182346	0.0341806
a0	0.00152262	0.00134841	0.0016743	0.00288994	0.00400191	0.00639708	0.0100991	0.0400164	0.0582603	0.110383	0.134	0.161727	0.085821	0.0839622	0.0411515	0.0464514	0.0378515	0.0265777	0.0219755	0.0187558	0.0229421	0.031247	0.0509444
a24	0.00336295	0.00292804	0.00382587	0.00617871	0.00817499	0.0114858	0.0175287	0.0496614	0.0629751	0.113359	0.143999	0.173001	0.0933071	0.0823639	0.0402119	0.0418417	0.0326902	0.0208323	0.0144596	0.0100988	0.012551	0.0175004	0.0376628
a88	0.00413211	0.00318116	0.0038511	0.00652601	0.00834348	0.0117414	0.0166705	0.0444668	0.0565832	0.101019	0.131398	0.169985	0.0920112	0.0786014	0.0432166	0.043421	0.0364484	0.0246895	0.0173477	0.0118461	0.0147129	0.0213962	0.0584108
a71	0.00311729	0.00236329	0.00299026	0.00553565	0.00804562	0.0121652	0.0179984	0.0485242	0.0585507	0.0974723	0.114755	0.135239	0.0747917	0.0687695	0.0391792	0.043768	0.0394064	0.0296159	0.0212947	0.0163459	0.0218354	0.0387404	0.0994965
a9	0.00636817	0.0048254	0.00546673	0.00984779	0.0120306	0.0152747	0.0189445	0.0441347	0.048542	0.074552	0.0895536	0.109019	0.0734526	0.0641465	0.0451006	0.0490345	0.0503836	0.0400725	0.0298459	0.0224738	0.0271388	0.0436719	0.11612
a62	0.0157024	0.00861844	0.00779215	0.0117757	0.0120802	0.0145614	0.0132896	0.0305701	0.035218	0.0562514	0.067875	0.0866046	0.0684862	0.0651511	0.0490228	0.0561433	0.0603649	0.051626	0.0409657	0.029519	0.0352089	0.0553579	0.127815
a12	0.00270171	0.00167025	0.00177112	0.00371005	0.00506767	0.00763342	0.00862976	0.0222904	0.0253412	0.038982	0.0417812	0.0467774	0.0340618	0.0390437	0.0296163	0.0373504	0.0459927	0.0477417	0.0499963	0.048939	0.0589387	0.110065	0.291898
a96	0.00131963	0.000927399	0.0010664	0.00205958	0.00331738	0.00606944	0.0072832	0.0172561	0.0212402	0.0334658	0.0374684	0.0397704	0.0256521	0.0307614	0.0210155	0.0305811	0.0289329	0.029984	0.0295688	0.0372644	0.0508225	0.12833	0.415843
a62	0.00167149	0.00129685	0.00155332	0.00315297	0.00550691	0.00969771	0.012931	0.0274501	0.0312209	0.0445051	0.0482661	0.0512271	0.0343563	0.037542	0.0269432	0.0367482	0.0352413	0.0360776	0.0348485	0.0417628	0.0536399	0.122467	0.301893
a21	0.0023957	0.00187417	0.0022259	0.00451705	0.00744023	0.0122787	0.0173443	0.0335787	0.0353839	0.0458287	0.0470757	0.0506428	0.0348426	0.0363503	0.0271073	0.0345376	0.0338081	0.0343819	0.0329784	0.0385302	0.051251	0.126025	0.289602
a85	0.000968996	0.000821601	0.00100622	0.00149548	0.00250062	0.00459523	0.0050242	0.0108468	0.0155094	0.0278972	0.036039	0.0373762	0.0261072	0.0319154	0.0193137	0.0316523	0.02832	0.0306862	0.0307683	0.0501583	0.0602129	0.153014	0.393771
a6	0.000544357	0.000492342	0.000708822	0.00115956	0.00214685	0.0035055	0.00375731	0.0118828	0.0187857	0.0390009	0.0489992	0.0489565	0.0279258	0.0342741	0.0189637	0.0267622	0.0218359	0.021626	0.0233862	0.0423612	0.052157	0.135471	0.415297
a36	0.00048296	0.000466637	0.000628197	0.00102993	0.00215041	0.00383292	0.00387392	0.0116393	0.0182066	0.0385134	0.0480101	0.0517349	0.0274273	0.0341047	0.0179952	0.0261625	0.021645	0.0211178	0.0233084	0.0461182	0.0569684	0.151412	0.393171
a6	0.000671089	0.000671927	0.000882107	0.00151593	0.00280491	0.00503937	0.00615778	0.0167661	0.0203878	0.0350018	0.0380415	0.0425099	0.0209636	0.0234729	0.013685	0.0193875	0.0173452	0.0174782	0.0184625	0.0360269	0.0512669	0.171505	0.439956
a36	0.00067577	0.00058382	0.000690332	0.000966109	0.00183443	0.0032076	0.00315032	0.0116158	0.0193035	0.0381493	0.0463438	0.0517812	0.029908	0.0389845	0.0210627	0.0279102	0.0258515	0.0275931	0.0320832	0.0563559	0.0591103	0.141472	0.361367
a2	0.000637621	0.000596624	0.000728156	0.0010416	0.00179337	0.00322357	0.0039352	0.0121448	0.016928	0.0321358	0.037053	0.0442056	0.0200817	0.0228444	0.0131364	0.0178716	0.0162863	0.0170974	0.0182336	0.0398928	0.0484705	0.170824	0.460838
a57	0.00522836	0.00447235	0.00561822	0.00865449	0.0117433	0.0149564	0.0133246	0.0269753	0.030856	0.0476418	0.0553831	0.0764559	0.0412091	0.0372052	0.0249311	0.0262305	0.0258085	0.0212427	0.0177534	0.0258138	0.0352133	0.123707	0.319575
a87	0.014342	0.00863062	0.00866129	0.0118918	0.0136281	0.0169274	0.0131613	0.0255099	0.0298421	0.0463749	0.0567988	0.0810026	0.0579131	0.0532533	0.0391326	0.039205	0.0395168	0.0321888	0.0285988	0.0373819	0.0517703	0.116427	0.177841
a23	0.0272323	0.0134979	0.00992601	0.0125451	0.00933399	0.0110346	0.00684464	0.0193168	0.0253786	0.0344779	0.0340449	0.0482122	0.0331553	0.036338	0.030691	0.0317943	0.0360093	0.0366842	0.0411284	0.0648228	0.0914035	0.132155	0.213973
a83	0.00705497	0.0035936	0.00275658	0.00390412	0.00414441	0.00485592	0.00209175	0.00563983	0.00709838	0.00820135	0.00805932	0.0136085	0.0185265	0.0250491	0.027786	0.0309015	0.04554	0.0543707	0.0694011	0.120578	0.144283	0.180116	0.21244
a62	0.000832884	0.000534506	0.000534308	0.00123743	0.0017323	0.00264415	0.00173153	0.00689112	0.00764982	0.00991556	0.0091747	0.0086493	0.0133751	0.0176861	0.0178278	0.0172383	0.022845	0.0256569	0.0371941	0.0932943	0.10985	0.221526	0.371979
a75	0.000357691	0.000278089	0.000290503	0.000552618	0.000748014	0.00137144	0.00125271	0.00369602	0.0060379	0.0102367	0.013981	0.0170031	0.0206329	0.0241976	0.02305	0.0283833	0.0286515	0.0291157	0.033212	0.0802768	0.0802367	0.200858	0.39558
a85	0.000268591	0.00021527	0.000267642	0.000432198	0.000719346	0.00106413	0.00108722	0.00308779	0.00463549	0.00902073	0.0125816	0.0135774	0.0149644	0.019565	0.0155456	0.0186479	0.0185454	0.0203619	0.0244324	0.0736386	0.0872011	0.217807	0.442333
a79	0.000644377	0.000709559	0.00115833	0.00183507	0.00299774	0.00382754	0.00418587	0.0105671	0.0137545	0.0217198	0.0272457	0.0263851	0.0235615	0.030879	0.0221814	0.0269186	0.0247168	0.0248847	0.0285742	0.072447	0.107434	0.222733	0.30064
a56	0.000255255	0.000286463	0.000416066	0.000673359	0.0014274	0.00263256	0.00299572	0.00811525	0.012875	0.0243317	0.0319028	0.0345569	0.0230629	0.0273861	0.0179809	0.0212027	0.0178943	0.0164027	0.0176839	0.0497298	0.065892	0.199271	0.423025
a70	0.000262745	0.000271481	0.000337549	0.000503358	0.000983145	0.00209894	0.00268498	0.00834915	0.0128483	0.0236264	0.0288317	0.0312823	0.0263252	0.0348673	0.0221026	0.0272308	0.0231225	0.0204965	0.0217981	0.0552088	0.06686	0.194665	0.395243
a13	0.000245005	0.000241851	0.000302037	0.000444669	0.000744302	0.00142839	0.00217327	0.00725727	0.0118582	0.0241949	0.032541	0.0401533	0.0352267	0.0427396	0.0268946	0.0341741	0.0300139	0.0269971	0.0254357	0.0467199	0.0514346	0.156007	0.402773
a11	0.000244531	0.000223778	0.000280537	0.000449326	0.000698522	0.00116476	0.00149831	0.00542074	0.00837272	0.0181836	0.0271679	0.0407669	0.029202	0.0306703	0.0188548	0.0247908	0.0221552	0.0209061	0.019217	0.0376706	0.048352	0.161808	0.481901
a0	0.000322344	0.00028594	0.000349006	0.00053274	0.000814677	0.00128746	0.00162635	0.0053812	0.00768133	0.0163786	0.0246571	0.0407117	0.0267937	0.0272556	0.0165762	0.0214297	0.020015	0.0196495	0.0184377	0.0343967	0.0457296	0.157406	0.512281
a11	0.000379216	0.000307115	0.00034252	0.000528044	0.000789182	0.00125979	0.00144611	0.00420068	0.00557538	0.0109608	0.0158921	0.0273901	0.0167028	0.0167762	0.0115009	0.015443	0.0162156	0.0181689	0.0185422	0.0428929	0.0584897	0.179753	0.536444
a75	0.000775643	0.000589323	0.000632851	0.000939759	0.00138524	0.00210244	0.0023966	0.00555174	0.00714189	0.0134104	0.0185491	0.0305655	0.0183432	0.0172813	0.0107659	0.013158	0.014766	0.0166538	0.0173752	0.0404619	0.0545425	0.166958	0.545654
a21	0.000134467	0.000118523	0.000138406	0.000180752	0.000274934	0.000478555	0.000564519	0.00136545	0.00241232	0.00709493	0.0133281	0.0163613	0.0125324	0.0125016	0.00824869	0.0114728	0.0107274	0.0105766	0.0111874	0.0324071	0.0360603	0.176929	0.634905
a12	0.000163077	0.000159362	0.000181981	0.000215969	0.000300774	0.000475723	0.000562467	0.00152633	0.00289267	0.00974525	0.0203405	0.0270854	0.020071	0.0212639	0.0127148	0.0199869	0.0180249	0.0163996	0.0157735	0.0403128	0.0391869	0.160174	0.572442
a34	0.000305965	0.000286058	0.000344215	0.000459526	0.000613658	0.000941537	0.0011896	0.00374112	0.00640622	0.0187974	0.0355854	0.0494729	0.034787	0.0331336	0.0198558	0.0293418	0.0268085	0.025048	0.0238836	0.048872	0.0517045	0.155217	0.433205
a21	0.000319237	0.000291237	0.000343171	0.000461522	0.000615887	0.000965668	0.00119626	0.00365268	0.00612289	0.0174684	0.0322443	0.0455793	0.0314558	0.0304977	0.0185884	0.0262135	0.023557	0.0217469	0.0211245	0.0478658	0.0566699	0.162099	0.450921
a5	0.000424633	0.000388743	0.000455967	0.000583754	0.000684404	0.000957608	0.00119656	0.00333731	0.00521407	0.0150277	0.0305829	0.0411297	0.0315083	0.0319221	0.0185365	0.0292309	0.025696	0.0240534	0.0236994	0.0566644	0.0578667	0.176075	0.424764
a43	0.00044631	0.000385006	0.000430362	0.000529276	0.000651854	0.000902345	0.00100679	0.00264018	0.00374311	0.00985518	0.0187887	0.0278391	0.0181642	0.018249	0.0112662	0.016477	0.0145068	0.0139772	0.0140968	0.0354646	0.0367012	0.148296	0.605583
a11	0.000425432	0.000326254	0.000337269	0.000457491	0.000649084	0.000956216	0.0010574	0.0028836	0.00389906	0.0079007	0.0111927	0.0176741	0.010908	0.0104958	0.00729767	0.00805303	0.00880811	0.00929715	0.0101472	0.0308747	0.0385034	0.15705	0.660806
a93	0.000957523	0.00070753	0.00074766	0.00117317	0.00162697	0.00207316	0.0021907	0.00501772	0.00580503	0.00960855	0.012187	0.0186561	0.0109429	0.00879409	0.00576895	0.005432	0.00678174	0.00779965	0.00947169	0.0278456	0.0326696	0.138769	0.684973
a44	0.000615479	0.000469837	0.000528031	0.000916909	0.00135685	0.00184975	0.00197798	0.00495315	0.00601125	0.0107339	0.0140167	0.0226164	0.0119421	0.00927213	0.00604233	0.00589491	0.0079244	0.00923678	0.0109306	0.0300628	0.0353431	0.147444	0.659861
a57	0.000106208	8.57881e-05	0.00011149	0.000220649	0.000380262	0.000634755	0.000718142	0.00233333	0.00297214	0.00609869	0.00844411	0.0133797	0.00670771	0.00503444	0.00341745	0.00342451	0.00396407	0.00411767	0.00471055	0.0147186	0.0207677	0.124805	0.772847
