 	sur	la	route	qui	mène	à	ekyembe	il	y	a	avait	cent	vaches	dans	un	enclos	</S>
a66	0.145619	0.114889	0.0864033	0.0733727	0.0720803	0.0722564	0.0667057	0.0809002	0.0737346	0.0576704	0.0539852	0.0509003	0.0271798	0.00718807	0.00503028	0.00589139	0.00619363
a87	0.174767	0.0917492	0.083723	0.0723844	0.0602355	0.0685185	0.0588679	0.063118	0.0575015	0.0493582	0.048734	0.040707	0.0204826	0.0162317	0.0243679	0.0314327	0.0378206
a23	0.200371	0.134979	0.139821	0.114307	0.0920533	0.0776263	0.0393829	0.0480411	0.0358112	0.027395	0.0262021	0.024097	0.0102529	0.00485343	0.00690184	0.0070336	0.0108711
a87	0.127705	0.0911978	0.124124	0.114211	0.0874673	0.0806236	0.0621728	0.0625157	0.0596212	0.0496632	0.0464212	0.0351625	0.0132567	0.00868198	0.00964048	0.0105403	0.0169959
a23	0.124393	0.0854568	0.110059	0.105244	0.0829451	0.0828131	0.0667169	0.0697529	0.0661621	0.0550379	0.0503943	0.038711	0.0163923	0.0107822	0.0104894	0.0103999	0.0142507
a87	0.113946	0.0819064	0.109744	0.0947853	0.0925558	0.0876038	0.062705	0.0657362	0.0560736	0.0485926	0.0404033	0.0290432	0.0190924	0.0202833	0.0217325	0.0226852	0.0331122
a23	0.0806067	0.0632655	0.0888091	0.0911603	0.0896109	0.0932614	0.0671847	0.0705311	0.0640637	0.0583243	0.0540923	0.0458693	0.0298801	0.0270851	0.0253232	0.0232765	0.027656
a87	0.0868529	0.0634561	0.0852179	0.0831943	0.0839008	0.084618	0.068157	0.0745856	0.0671176	0.0589855	0.0481924	0.0372556	0.0277581	0.0297318	0.0297372	0.031996	0.0392434
a23	0.0757156	0.0615721	0.0813212	0.0857776	0.0895673	0.094574	0.0728678	0.0750066	0.0658864	0.0604788	0.0530559	0.0423312	0.0291896	0.0292557	0.027514	0.0260466	0.0298397
a87	0.0853537	0.0698912	0.0951584	0.0941336	0.0957103	0.0801665	0.0511145	0.0579057	0.0511016	0.0486079	0.041514	0.0325727	0.0300173	0.0365048	0.0379607	0.0400365	0.0522506
a79	0.0844477	0.0691137	0.0896897	0.0937882	0.0978755	0.0986549	0.0670253	0.0699468	0.0560415	0.0526814	0.0461905	0.0339345	0.0248481	0.0279241	0.0275734	0.0275952	0.0326693
a4	0.133437	0.105155	0.113947	0.104085	0.117402	0.0828603	0.0402085	0.0477127	0.0359261	0.0316061	0.0224014	0.0149981	0.0145088	0.0270711	0.0303749	0.0322037	0.0461023
a58	0.121088	0.114291	0.160905	0.137141	0.171575	0.108389	0.0390514	0.0320114	0.0199415	0.0164325	0.0117421	0.00753266	0.00808646	0.0124788	0.0124144	0.0116329	0.0152872
a53	0.121415	0.118097	0.154754	0.137781	0.171579	0.106365	0.0340178	0.0263224	0.0164967	0.0147944	0.0127135	0.00964227	0.0111222	0.0158568	0.0164905	0.0149604	0.0175929
a90	0.101372	0.116117	0.142045	0.122936	0.133529	0.0977573	0.0493453	0.0361391	0.0251399	0.0237648	0.0212003	0.0162952	0.0132176	0.0204026	0.0250549	0.0245768	0.0311062
a93	0.0962314	0.107514	0.122707	0.112628	0.120321	0.106123	0.063969	0.0461218	0.0313898	0.0293987	0.026677	0.0220564	0.0178018	0.0219689	0.0247669	0.0222132	0.0281122
a56	0.0763431	0.0884728	0.109715	0.115061	0.131484	0.123248	0.0806064	0.0555791	0.0362467	0.0338833	0.0286932	0.0221723	0.0165209	0.0183292	0.019823	0.0193713	0.0244506
a62	0.0518823	0.0494072	0.0649571	0.084723	0.130278	0.165903	0.131038	0.0777911	0.0497129	0.0470076	0.034819	0.025944	0.0184683	0.0156017	0.0147794	0.0159817	0.021706
a88	0.0305318	0.0263282	0.0369779	0.0537252	0.10378	0.170053	0.178327	0.10011	0.0703181	0.0655976	0.0500508	0.0392749	0.0245193	0.0148709	0.0119121	0.0107908	0.0128318
a62	0.0148661	0.013603	0.0219807	0.0389316	0.0894672	0.168138	0.22438	0.12361	0.0751385	0.0679236	0.0495328	0.0350169	0.0197168	0.0138749	0.0123487	0.0134637	0.0180074
a96	0.0144031	0.0126108	0.0176128	0.0291436	0.0604663	0.113409	0.207624	0.128431	0.0936506	0.0864226	0.0711113	0.0605608	0.0413355	0.0195064	0.0138411	0.0131211	0.0167496
a21	0.00714258	0.00660447	0.00971789	0.015413	0.0361471	0.095259	0.256577	0.152331	0.102728	0.0916411	0.0698547	0.0531995	0.0370234	0.0194969	0.0138486	0.0142163	0.0187999
a12	0.0177681	0.0151965	0.0158176	0.0242577	0.0458572	0.0882697	0.143477	0.10569	0.0917105	0.0868042	0.0827399	0.0933302	0.0709161	0.0408852	0.0259582	0.0226523	0.0286704
a96	0.0065101	0.00610084	0.00810191	0.0113496	0.0231219	0.052845	0.187246	0.13694	0.116143	0.106029	0.0921959	0.0860676	0.0667898	0.0370197	0.0217887	0.0192936	0.0224576
a88	0.00257106	0.00250963	0.00373661	0.00612699	0.0165052	0.0470157	0.244658	0.164488	0.130955	0.11621	0.0874763	0.0658005	0.0436305	0.0212143	0.0129599	0.0141909	0.0199519
a71	0.00184945	0.00168397	0.00206965	0.00417557	0.0132931	0.0360026	0.213356	0.162487	0.142626	0.143061	0.101272	0.0738124	0.0417767	0.0216591	0.012058	0.011977	0.0168402
a9	0.0046911	0.00369448	0.0035476	0.00585406	0.0134182	0.0289276	0.172435	0.151234	0.14432	0.144961	0.112876	0.088887	0.0538794	0.0265477	0.0141446	0.0126268	0.0179555
a3	0.0095414	0.0073542	0.00699598	0.0100237	0.0136603	0.0251284	0.130318	0.134674	0.138424	0.140022	0.124045	0.111373	0.0633907	0.0302981	0.0168391	0.0157271	0.0221845
a87	0.0268363	0.0152395	0.013535	0.0165872	0.0177918	0.0330334	0.124968	0.137439	0.139982	0.125361	0.11052	0.0940809	0.0487958	0.0228897	0.0168233	0.0220509	0.0340679
a23	0.0339013	0.0206399	0.0216656	0.0278443	0.0360749	0.071546	0.150479	0.132058	0.104301	0.0973719	0.0817724	0.0596275	0.0432631	0.0329009	0.022783	0.026476	0.0372954
