 	cette	manière	d'	embrasser	exprime	l'	amour	</S>
a66	0.467781	0.188134	0.10938	0.114473	0.060653	0.0247915	0.0208343	0.0139527
a10	0.33096	0.236161	0.155346	0.147414	0.0794002	0.0251585	0.0148218	0.0107386
a87	0.426721	0.242756	0.11323	0.0854127	0.0604742	0.0235728	0.0228124	0.0250204
a23	0.512567	0.259809	0.108973	0.0666045	0.0253406	0.0102967	0.00808395	0.00832624
a24	0.406975	0.24242	0.143621	0.0905674	0.0356035	0.0240124	0.0289207	0.0278804
a21	0.248722	0.235199	0.153372	0.145146	0.0868406	0.0451174	0.0492019	0.0364007
a61	0.243571	0.27852	0.157325	0.127098	0.101672	0.0442607	0.0308686	0.0166845
a12	0.210009	0.295638	0.214158	0.122512	0.0868527	0.0327661	0.0224856	0.0155782
a24	0.227347	0.287866	0.224977	0.114747	0.0788625	0.0311625	0.0200865	0.0149517
a41	0.160958	0.253379	0.26052	0.133671	0.0980857	0.0427746	0.0276153	0.0229958
a21	0.12119	0.189872	0.24022	0.153049	0.142617	0.0658064	0.0452064	0.0420388
a41	0.252191	0.211502	0.161036	0.102889	0.110176	0.0759822	0.0478737	0.0383495
a24	0.0907212	0.126721	0.1339	0.0865896	0.120436	0.11351	0.135303	0.192819
a41	0.108138	0.149779	0.114657	0.0628976	0.0734765	0.0801948	0.165395	0.245462
a5	0.0603794	0.0848726	0.078057	0.0599333	0.07495	0.101175	0.228596	0.312037
a43	0.062084	0.0897899	0.0784424	0.066891	0.0904071	0.083247	0.211706	0.317432
a21	0.0135022	0.0155129	0.0151817	0.0131884	0.0178741	0.0362427	0.232033	0.656465
a92	0.0203075	0.0184097	0.0187711	0.0188905	0.0277547	0.0474957	0.211698	0.636673
a56	0.0039721	0.00465206	0.00572972	0.00634972	0.00960183	0.0268112	0.198625	0.744258
a44	0.00523935	0.00506628	0.00581322	0.00757296	0.0112957	0.0228438	0.144542	0.797627
a61	0.00146	0.00158639	0.00218906	0.00338644	0.00592924	0.017299	0.14246	0.82569
a62	0.00327091	0.00309321	0.00429609	0.00927315	0.0156048	0.0277712	0.144379	0.792312
a88	0.00276989	0.00273041	0.00454664	0.0145318	0.0226363	0.0358311	0.142313	0.774641
a0	0.00170196	0.00228193	0.00457502	0.0144007	0.0222468	0.0415263	0.157676	0.755591
a9	0.00489633	0.0059352	0.0120653	0.0247672	0.0339085	0.0586783	0.190346	0.669403
a87	0.152668	0.103859	0.110284	0.0943309	0.0772541	0.0630917	0.10752	0.290991
a23	0.319908	0.180047	0.115759	0.106581	0.0663398	0.0484736	0.0615239	0.101369
a87	0.107713	0.0841393	0.0771105	0.100457	0.0867437	0.0683163	0.135416	0.340105
</S>	0.0143036	0.0138172	0.0217932	0.048105	0.0598466	0.0670291	0.214548	0.560557
