 	le	chef	de	canton	mbochi	nommé	dénis	yongo	était	autoritaire	</S>
a87	0.36362	0.192304	0.0963111	0.0510097	0.0520746	0.0521112	0.0626103	0.0363691	0.0357514	0.0279012	0.0299375
a79	0.173503	0.0815778	0.056871	0.0688046	0.121004	0.110377	0.11916	0.0724393	0.057726	0.0604463	0.0780901
a90	0.248364	0.182682	0.143842	0.0747486	0.0618459	0.0438899	0.0555726	0.0303482	0.0273949	0.043852	0.0874598
a13	0.535338	0.275705	0.116434	0.019881	0.00978379	0.00690121	0.00904225	0.00545158	0.00548907	0.00627454	0.00969968
a53	0.436579	0.286523	0.155115	0.0359366	0.0185993	0.0142093	0.0205189	0.00744248	0.00613236	0.00717993	0.0117635
a90	0.141922	0.137501	0.13662	0.143041	0.105524	0.0923485	0.100415	0.0397766	0.0269609	0.028901	0.0469898
a56	0.11882	0.138504	0.139114	0.149191	0.11274	0.0967209	0.101138	0.0403259	0.0286034	0.0301638	0.0446791
a96	0.0981372	0.131532	0.144438	0.159671	0.1195	0.11564	0.101375	0.041477	0.0267713	0.0265827	0.0348769
a31	0.0621014	0.0854413	0.109046	0.20839	0.161205	0.142218	0.111529	0.041415	0.0258502	0.0244775	0.0283265
a21	0.0502743	0.0704242	0.0919496	0.197591	0.165068	0.165767	0.12577	0.0480963	0.0306724	0.027266	0.0271217
a5	0.0534731	0.0681352	0.0870608	0.156631	0.148025	0.15886	0.129814	0.0648111	0.0507474	0.0439409	0.0385011
a43	0.0341057	0.0413551	0.0523621	0.117139	0.147035	0.165839	0.151394	0.0897408	0.0776097	0.0687434	0.0546755
a0	0.0244236	0.0310152	0.0386551	0.126411	0.179479	0.203636	0.179425	0.084925	0.0540617	0.0430334	0.034934
a96	0.0187503	0.0252832	0.033028	0.109941	0.181265	0.217618	0.184704	0.0914806	0.0551511	0.0444396	0.0383394
a75	0.0273404	0.0312442	0.0356381	0.0840173	0.153823	0.199362	0.181919	0.103166	0.0707191	0.061171	0.0516009
a85	0.025323	0.0259513	0.0297581	0.0384609	0.0742483	0.0923218	0.100133	0.104896	0.126045	0.185252	0.197611
a47	0.0369332	0.038667	0.0455136	0.0481338	0.0736733	0.0848057	0.084077	0.0876064	0.108107	0.173216	0.219268
a37	0.0392994	0.0397019	0.0398554	0.0291493	0.0556786	0.0884463	0.0955322	0.102374	0.122535	0.170458	0.21697
a26	0.0413747	0.041036	0.0454294	0.0568728	0.104383	0.178666	0.163588	0.113219	0.0792384	0.0807812	0.0954112
a15	0.0187554	0.0229712	0.0329426	0.0445255	0.0858447	0.180356	0.187452	0.147183	0.093659	0.0827697	0.103541
a56	0.0357021	0.0400852	0.0484078	0.0586614	0.0801071	0.13106	0.129048	0.0962691	0.0883511	0.126419	0.16589
a11	0.0135685	0.0167793	0.0217815	0.040335	0.087401	0.184922	0.180478	0.123224	0.0940354	0.111074	0.1264
a24	0.00726956	0.00934417	0.0142229	0.0384393	0.0896761	0.172435	0.184386	0.131784	0.0951472	0.111206	0.14609
a88	0.0110742	0.0129741	0.0175803	0.0410716	0.0774521	0.148969	0.188918	0.143952	0.106804	0.116593	0.134611
a18	0.00649901	0.00797487	0.0114265	0.0315929	0.0692376	0.134375	0.160884	0.149387	0.123595	0.146308	0.158722
a31	0.00407828	0.0048116	0.00728208	0.019763	0.0469943	0.101028	0.121455	0.143007	0.147631	0.197125	0.206824
