 	il	est	bien	mort	</S>
a23	0.402661	0.235078	0.160348	0.106507	0.0954056
a87	0.446516	0.236739	0.140779	0.0987833	0.0771817
a23	0.378696	0.263659	0.17049	0.108441	0.0787144
a79	0.41369	0.255461	0.161257	0.0933781	0.0762139
a20	0.413875	0.233611	0.144489	0.105959	0.102066
a69	0.400385	0.302509	0.16507	0.0861535	0.045882
a76	0.251332	0.260362	0.217997	0.16545	0.104859
a41	0.345728	0.276142	0.181336	0.122267	0.0745269
a94	0.39167	0.284475	0.163923	0.100474	0.0594573
a66	0.318697	0.274436	0.194217	0.131384	0.081267
a38	0.243932	0.244024	0.217984	0.177404	0.116655
a98	0.189039	0.213581	0.229642	0.219819	0.14792
a73	0.177862	0.200834	0.229471	0.229985	0.161847
a44	0.089598	0.118458	0.197767	0.294274	0.299902
a38	0.0597545	0.079622	0.15402	0.300784	0.405819
a20	0.0241419	0.0341091	0.0806599	0.245353	0.615736
a84	0.0464875	0.0546093	0.100943	0.231674	0.566287
a87	0.00919246	0.011827	0.0319075	0.137577	0.809496
</S>	0.0494101	0.0451417	0.0723628	0.177424	0.655661
