 	la	nuit	une	chauve-souris	chante	derrière	notre	maison	</S>
a66	0.309488	0.204443	0.186864	0.128788	0.0868492	0.0413295	0.0193791	0.0124419	0.0104173
a87	0.452198	0.193511	0.10604	0.066672	0.0521199	0.0310401	0.0259212	0.0338718	0.0386263
a97	0.211282	0.150343	0.142281	0.204047	0.109477	0.0414649	0.0354816	0.049082	0.0565414
a87	0.163668	0.124106	0.126252	0.249734	0.12942	0.0511102	0.0447467	0.0542739	0.0566903
a79	0.182599	0.129451	0.123946	0.205563	0.113181	0.0557292	0.0523339	0.0658739	0.0713227
a12	0.252326	0.165561	0.160163	0.176133	0.0514174	0.0349204	0.0355384	0.0489495	0.0749906
a62	0.329579	0.268512	0.217779	0.139322	0.0192966	0.0089722	0.0067356	0.00502985	0.00477362
a18	0.220329	0.246316	0.246893	0.220099	0.0369353	0.0110351	0.0070888	0.0056015	0.00570201
a31	0.207109	0.214001	0.22265	0.234606	0.0559993	0.0206038	0.0162659	0.0138798	0.0148865
a21	0.174803	0.202992	0.249237	0.233017	0.0734376	0.0221802	0.0156864	0.013666	0.0149796
a92	0.153351	0.189149	0.249775	0.222264	0.0922111	0.0329372	0.0229042	0.0180849	0.0193241
a25	0.115491	0.148626	0.201355	0.2045	0.11978	0.0682086	0.0531246	0.0432205	0.0456949
a90	0.0554634	0.0962646	0.162093	0.206019	0.194024	0.0979328	0.0676044	0.0587385	0.0618605
a98	0.0349717	0.0571784	0.103106	0.14363	0.192287	0.116484	0.1022	0.114372	0.135771
a92	0.0341549	0.0592866	0.113892	0.162962	0.182851	0.123256	0.0980769	0.101368	0.124152
a37	0.0178059	0.0297987	0.0566744	0.0833671	0.202444	0.176828	0.139889	0.136797	0.156396
a21	0.0156007	0.0216385	0.0388978	0.0636076	0.176278	0.201629	0.163153	0.147991	0.171204
a5	0.00387717	0.00492483	0.00873302	0.02148	0.100572	0.181305	0.21985	0.220807	0.23845
a43	0.00316593	0.00393364	0.00639251	0.0138967	0.100465	0.197857	0.201611	0.205429	0.267249
a75	0.00215454	0.00254474	0.00401315	0.00718351	0.0533142	0.144805	0.20283	0.249032	0.334124
a92	0.000344972	0.000639323	0.00158289	0.00465233	0.0464685	0.129449	0.214684	0.284064	0.318115
a79	0.000308274	0.000527261	0.00120971	0.00325756	0.0323361	0.107966	0.196054	0.291679	0.366662
a7	0.000177958	0.000288921	0.000609187	0.00132675	0.0154707	0.0641095	0.143654	0.282551	0.491812
a93	0.000343323	0.00028685	0.000299448	0.000469375	0.00671619	0.0380215	0.0955344	0.253248	0.605081
a44	0.000230147	0.000238753	0.000313728	0.00058042	0.00576618	0.0364886	0.106814	0.265252	0.584316
a66	0.00016196	0.000180756	0.000238087	0.00033311	0.00530633	0.0413545	0.123349	0.290684	0.538393
a82	0.00534672	0.00411376	0.00424805	0.00429754	0.0213599	0.0564677	0.10414	0.261307	0.538719
a87	0.128775	0.058584	0.0401487	0.037737	0.0636608	0.0771865	0.089361	0.173029	0.331518
a3	0.168863	0.0943331	0.0654404	0.0515952	0.0809357	0.0972653	0.117866	0.1507	0.173001
a38	0.0315653	0.0178864	0.0128277	0.0133285	0.0400008	0.0845347	0.17469	0.289522	0.335644
a99	0.00791623	0.00515949	0.0047184	0.00666785	0.0238642	0.0620133	0.170615	0.292037	0.427008
a97	0.00578379	0.0041394	0.00485187	0.0081035	0.0244689	0.0543886	0.147829	0.283781	0.466654
</S>	0.00315001	0.00260786	0.00324991	0.00618673	0.0230397	0.0534953	0.142584	0.288592	0.477095
