 	j'	ai	acheté	des	oranges	à	tongo	</S>
a66	0.325222	0.245024	0.149158	0.0845381	0.0826875	0.0598686	0.0297058	0.0237963
a87	0.394613	0.247547	0.144934	0.0809191	0.0858015	0.0205896	0.0156555	0.00994045
a23	0.490791	0.30036	0.122239	0.0452625	0.0215359	0.00811163	0.00450998	0.00718888
a99	0.452158	0.294959	0.134272	0.0571743	0.0336066	0.00737759	0.00805966	0.0123923
a50	0.401533	0.238531	0.114404	0.0757919	0.0677916	0.0204182	0.037548	0.0439833
a88	0.307802	0.17625	0.152081	0.188231	0.119612	0.0214574	0.0226897	0.0118775
a0	0.170364	0.162664	0.202074	0.276019	0.142737	0.0213502	0.0136274	0.0111638
a75	0.0951293	0.106172	0.146915	0.291519	0.225128	0.061134	0.0352225	0.0387799
a56	0.0901153	0.106691	0.160248	0.318967	0.220955	0.0503231	0.0273287	0.0253716
a96	0.0734087	0.0955353	0.149481	0.321299	0.251334	0.0613077	0.0248792	0.022755
a88	0.0600837	0.0698804	0.128685	0.313284	0.296058	0.0804977	0.0278174	0.0236946
a0	0.0345575	0.0348748	0.0627344	0.173239	0.359051	0.196674	0.0704337	0.068436
a75	0.0313034	0.0257822	0.0365092	0.0776217	0.276844	0.285046	0.138537	0.128357
a12	0.0318232	0.0219229	0.0312698	0.0655669	0.135828	0.215878	0.206119	0.291593
a43	0.0314987	0.0172619	0.0247089	0.0556654	0.175672	0.281344	0.196825	0.217024
a11	0.0241966	0.0129789	0.0152866	0.0239568	0.0807496	0.219511	0.321551	0.30177
a34	0.0258689	0.0142483	0.0145854	0.01814	0.0381201	0.153004	0.355901	0.380133
a25	0.0142523	0.00724452	0.00854065	0.011149	0.0259198	0.146504	0.418628	0.367761
a79	0.00378849	0.00169712	0.00210869	0.00326095	0.00783064	0.0696323	0.351409	0.560273
a94	0.00132441	0.000678871	0.000777195	0.00109552	0.00268525	0.0296688	0.271418	0.692352
a58	0.00100052	0.00052166	0.000479012	0.000574831	0.00122371	0.0129926	0.159596	0.823612
a90	0.00136729	0.000782661	0.00048852	0.0005249	0.00142691	0.0119143	0.130367	0.853128
a94	0.000339691	0.000144327	0.000114086	0.000138409	0.000485757	0.00616343	0.10281	0.889804
a58	0.00049292	0.000241205	0.00016992	0.000215384	0.0005678	0.00486855	0.106643	0.886802
a57	0.0049528	0.00252048	0.0015176	0.00152869	0.00292811	0.0183316	0.185863	0.782358
a82	0.0323234	0.0199119	0.01278	0.013654	0.0143448	0.0334247	0.150288	0.723273
a87	0.137321	0.105566	0.0652255	0.063711	0.0402445	0.0603964	0.138723	0.388813
a23	0.267012	0.205884	0.125403	0.0645592	0.0474184	0.0517319	0.0893975	0.148594
a87	0.11377	0.0982044	0.0560411	0.0369354	0.032302	0.0554146	0.16708	0.440252
</S>	0.0317092	0.0231145	0.0137935	0.0141941	0.0153326	0.0493761	0.201599	0.650881
