 	un	essaim	d'	abeilles	traverse	le	village	</S>
a66	0.529822	0.182772	0.0881672	0.0811637	0.0513792	0.0277315	0.0207001	0.018264
a87	0.577449	0.190085	0.0748904	0.0491601	0.0208895	0.0230086	0.0273844	0.0371328
a23	0.447756	0.227677	0.126259	0.0596577	0.0204624	0.0217384	0.0344072	0.0620419
a20	0.207259	0.159514	0.146739	0.102345	0.0622539	0.0700996	0.0844514	0.167338
a37	0.475015	0.250584	0.0968354	0.054638	0.0401486	0.0295812	0.0253852	0.0278125
a5	0.469604	0.357737	0.0807284	0.037139	0.0182497	0.0123427	0.0103657	0.0138338
a37	0.374207	0.418327	0.108855	0.0512836	0.0248475	0.0100648	0.00611787	0.00629679
a98	0.25985	0.446132	0.132675	0.0693626	0.0466351	0.0196933	0.0133354	0.012317
a6	0.307819	0.371733	0.114397	0.0692111	0.0639901	0.0311897	0.0214314	0.0202289
a37	0.182001	0.410161	0.127706	0.0857521	0.0858226	0.0416924	0.034557	0.032308
a12	0.148112	0.24993	0.139226	0.110909	0.127651	0.075307	0.0755016	0.0733636
a96	0.0332064	0.0404724	0.0672902	0.0974443	0.194714	0.183705	0.204884	0.178283
a93	0.0212958	0.0282107	0.072194	0.114223	0.219748	0.185212	0.193113	0.166004
a94	0.0199939	0.0241519	0.0622721	0.0992983	0.200852	0.224902	0.213315	0.155215
a93	0.0074473	0.0108108	0.0296628	0.0540612	0.12922	0.231622	0.302509	0.234666
a4	0.0045927	0.00693922	0.0249838	0.0472127	0.126562	0.230925	0.319934	0.238851
a11	0.00250543	0.00437826	0.015891	0.027956	0.0718911	0.174341	0.351569	0.351468
a47	0.00197412	0.00296372	0.00749865	0.0183451	0.0537815	0.151195	0.332503	0.431739
a75	0.000685951	0.00155402	0.00680865	0.0151925	0.0529491	0.152337	0.327933	0.44254
a6	0.000231922	0.000636899	0.00403916	0.00997942	0.0355714	0.120762	0.329913	0.498867
a36	0.000406948	0.0015589	0.00647103	0.0136889	0.0399733	0.12906	0.307115	0.501726
a7	0.00501781	0.00667099	0.0124224	0.0259187	0.0511684	0.151785	0.294699	0.452318
a44	0.0022472	0.00423359	0.00958683	0.0265104	0.0498264	0.163374	0.317836	0.426386
a57	0.0028464	0.00503534	0.0134918	0.0272084	0.0559176	0.148741	0.308716	0.438044
a82	0.0061528	0.00721576	0.015137	0.0227372	0.0478505	0.140825	0.316197	0.443886
a87	0.246555	0.0940199	0.100387	0.0863465	0.0948016	0.117126	0.133785	0.126978
a23	0.683054	0.122646	0.0500503	0.031994	0.0287398	0.0271241	0.0299701	0.0264217
a87	0.371499	0.122681	0.0864963	0.060764	0.0509154	0.0691548	0.108544	0.129946
</S>	0.104522	0.0557995	0.0418718	0.0433012	0.060513	0.121334	0.251503	0.321156
