 	les	enfants	s'	amusent	dans	la	cour	</S>
a23	0.229552	0.175051	0.151285	0.114523	0.0990048	0.0944291	0.0765756	0.0595786
a87	0.303899	0.144441	0.13068	0.126975	0.0891412	0.0724871	0.0712604	0.0611155
a23	0.248832	0.148513	0.131812	0.138738	0.103239	0.0820791	0.0775472	0.0692391
a10	0.333202	0.190607	0.15636	0.105424	0.0616544	0.0516052	0.0506453	0.0505028
a87	0.332102	0.238822	0.170841	0.0871655	0.0465744	0.0383498	0.040783	0.0453626
a23	0.290623	0.195423	0.147212	0.11325	0.0757364	0.0617326	0.0578939	0.0581288
a87	0.343255	0.216834	0.146336	0.0808911	0.0549022	0.0513221	0.0516007	0.0548583
a23	0.285824	0.210949	0.159292	0.0983094	0.0655183	0.0606829	0.0595184	0.0599066
a40	0.360081	0.224918	0.142858	0.0740296	0.0502104	0.0469141	0.0481363	0.0528528
a35	0.360742	0.212378	0.145914	0.0924364	0.066125	0.0474195	0.0407947	0.0341902
a30	0.304505	0.258929	0.202483	0.129208	0.0596072	0.0250416	0.0127737	0.0074532
a44	0.243136	0.241746	0.208963	0.155275	0.0779899	0.0381487	0.0213922	0.0133484
a26	0.212124	0.214378	0.191009	0.173968	0.104194	0.0535383	0.0307266	0.020063
a30	0.199434	0.206396	0.182149	0.175525	0.113906	0.0601628	0.0365747	0.0258533
a14	0.175279	0.192003	0.186995	0.179356	0.11872	0.0654345	0.04494	0.0372731
a35	0.192464	0.20628	0.191392	0.170167	0.112002	0.0621144	0.0385421	0.027038
a32	0.158941	0.168688	0.160676	0.182915	0.13774	0.0860173	0.0593939	0.0456294
a75	0.127304	0.134529	0.1376	0.190415	0.164881	0.108743	0.0775573	0.0589714
a14	0.140823	0.15261	0.137846	0.162407	0.145128	0.109546	0.0856942	0.0659466
a35	0.105528	0.118957	0.103887	0.132249	0.149111	0.142916	0.133609	0.113743
a76	0.0702684	0.0795257	0.0676113	0.0917606	0.136908	0.168435	0.194519	0.190972
a35	0.0456227	0.0571566	0.0518389	0.0706406	0.127036	0.18113	0.231448	0.235127
a38	0.0446685	0.0500627	0.0437662	0.0540777	0.0951306	0.165994	0.247342	0.298958
a24	0.0245801	0.0223587	0.0183117	0.0261048	0.0524477	0.124418	0.267945	0.463834
a47	0.0178013	0.0177041	0.0157592	0.0207483	0.0421912	0.102519	0.258458	0.52482
a98	0.00914712	0.00914792	0.00799994	0.0109344	0.0245611	0.0729639	0.235222	0.630024
a25	0.0156297	0.0128158	0.0109478	0.015509	0.0331791	0.0915142	0.251466	0.568938
a87	0.0125357	0.00877809	0.00727708	0.0115646	0.0281222	0.0924104	0.257097	0.582215
a23	0.0174219	0.0133212	0.0134035	0.0195337	0.0458509	0.128116	0.278352	0.484001
a87	0.0602295	0.047911	0.0423579	0.0461162	0.0677199	0.127968	0.228272	0.379426
a23	0.0249591	0.0197901	0.018635	0.0287455	0.0721421	0.157228	0.275773	0.402727
a87	0.0688417	0.0584449	0.0473802	0.0491461	0.0782428	0.141364	0.230085	0.326495
</S>	0.0231895	0.0188258	0.0168905	0.0243642	0.0583823	0.128445	0.259627	0.470275
