 	qui	est-ce	qui	a	accroché	son	vêtement	sur	la	pointe	</S>
a66	0.142597	0.113337	0.127445	0.140833	0.148134	0.10588	0.0699056	0.0516108	0.033307	0.0319642	0.0349866
a87	0.180036	0.151204	0.153062	0.134749	0.0850991	0.0652749	0.0622534	0.0472456	0.0365061	0.039188	0.0453821
a23	0.325913	0.217956	0.144018	0.0939852	0.0582343	0.0399656	0.0254357	0.0175165	0.0174679	0.0236817	0.0358263
a99	0.355059	0.234877	0.155646	0.083545	0.045452	0.023256	0.0174943	0.0151672	0.0150107	0.0200765	0.0344158
a30	0.296539	0.197664	0.133478	0.0732978	0.0381445	0.0267532	0.0306607	0.0353616	0.0406718	0.0522912	0.0751372
a93	0.279173	0.175634	0.122813	0.0747557	0.0455007	0.0361638	0.0381493	0.0394326	0.0454513	0.0608358	0.0820907
a56	0.311247	0.191291	0.138337	0.0701563	0.0496612	0.0327096	0.0358321	0.0401775	0.0367074	0.0428929	0.0509888
a47	0.155228	0.17182	0.177583	0.131562	0.100769	0.0544443	0.0417856	0.0428472	0.0358076	0.0395178	0.0486365
a21	0.0925387	0.157558	0.209345	0.186268	0.124572	0.0575225	0.0384003	0.0350772	0.0284474	0.0310267	0.039245
a5	0.0748647	0.141037	0.199786	0.195241	0.166842	0.0747681	0.0413936	0.0326394	0.0223413	0.0226985	0.0283876
a23	0.0523978	0.0992764	0.166949	0.199537	0.185579	0.0987113	0.0550365	0.0431203	0.0304607	0.0309792	0.0379527
a98	0.0338003	0.0825367	0.152139	0.200658	0.204389	0.110047	0.0616418	0.0429892	0.0306134	0.0338999	0.0472855
a85	0.0311609	0.0689582	0.128575	0.171655	0.197818	0.127591	0.0822456	0.0555725	0.038224	0.0415414	0.0566583
a92	0.0223623	0.0555556	0.114957	0.171765	0.193447	0.132194	0.0932782	0.0666196	0.0442393	0.0453081	0.0602728
a5	0.018595	0.0414575	0.0930092	0.16315	0.197958	0.163747	0.112607	0.0712323	0.0436324	0.0414949	0.0531165
a12	0.0143999	0.0252445	0.0572294	0.136534	0.202693	0.184582	0.129513	0.0847053	0.0535762	0.0491349	0.0623878
a43	0.0111279	0.0213361	0.0432729	0.132223	0.210047	0.190234	0.130174	0.077608	0.0517186	0.0542752	0.0779835
a18	0.0124896	0.0196323	0.0388224	0.124658	0.219042	0.209763	0.129154	0.0722627	0.0453495	0.0504166	0.078411
a84	0.0241962	0.0216151	0.0314462	0.0875346	0.158915	0.202669	0.139661	0.0999603	0.0662745	0.0690138	0.0987136
a87	0.0254478	0.0289466	0.0421193	0.0898522	0.160629	0.175512	0.132715	0.0949115	0.0744526	0.0782615	0.0971524
a79	0.0708724	0.0605607	0.0852228	0.11406	0.107821	0.0955301	0.0852631	0.0803399	0.0790113	0.100835	0.120483
a69	0.0599056	0.048819	0.0729025	0.0980357	0.0925587	0.0837318	0.0823751	0.0874718	0.0958934	0.125464	0.152843
a58	0.0314006	0.0364763	0.0730954	0.1037	0.109884	0.0960238	0.0877957	0.0999226	0.0904213	0.11958	0.151701
a40	0.0131344	0.0166845	0.0391774	0.0648643	0.0800638	0.0830461	0.0854849	0.117229	0.131641	0.168949	0.199725
a54	0.0162741	0.0183796	0.0392118	0.0702112	0.090212	0.0948742	0.100975	0.111451	0.113458	0.148665	0.196289
a37	0.00761759	0.0121222	0.0285495	0.0648722	0.091654	0.100919	0.107485	0.111782	0.115476	0.151473	0.20805
a54	0.00429192	0.0043854	0.00974353	0.0291348	0.0543319	0.080723	0.105443	0.134841	0.167633	0.195151	0.214321
a44	0.00286596	0.00407256	0.0100958	0.028043	0.0464468	0.0688316	0.0946846	0.117799	0.159698	0.207897	0.259565
a53	0.00267597	0.0027405	0.00557924	0.0161739	0.0348696	0.0651036	0.0926006	0.117565	0.176223	0.22911	0.257358
a79	0.0032304	0.00307765	0.00530357	0.0123072	0.0256704	0.0520101	0.0723092	0.0926251	0.161238	0.252444	0.319784
a7	0.00245238	0.00227691	0.00416576	0.00968222	0.0185759	0.0376447	0.0548655	0.0727715	0.148931	0.265118	0.383515
a11	0.00277466	0.00222125	0.00368342	0.00768794	0.0118141	0.0232887	0.0341571	0.0457461	0.112348	0.269473	0.486806
a21	0.00621604	0.00509591	0.00667334	0.00928625	0.00815453	0.0172047	0.0365156	0.0581316	0.137735	0.289851	0.425136
a5	0.00204775	0.00199475	0.00343871	0.00729965	0.0113248	0.0184033	0.0279958	0.0449635	0.105295	0.268144	0.509093
a18	0.00225783	0.00206599	0.00364878	0.00761699	0.0112595	0.0180066	0.0284456	0.0422921	0.0981614	0.264856	0.521389
a82	0.0088391	0.00832157	0.0113856	0.0168348	0.0128392	0.0199775	0.0448274	0.0587489	0.120524	0.250504	0.447198
a87	0.0597293	0.0461028	0.0528703	0.0589622	0.0441016	0.0588064	0.0824388	0.0781499	0.113752	0.165183	0.239903
a40	0.0862052	0.0569609	0.059995	0.0655176	0.0652463	0.0874225	0.0897951	0.0819293	0.110723	0.134713	0.161492
a36	0.0328354	0.0137891	0.0160724	0.0190493	0.0230462	0.0499502	0.0720956	0.096261	0.158512	0.233003	0.285386
a12	0.00705053	0.00482026	0.00661565	0.0101099	0.0127722	0.0283343	0.0500327	0.0711358	0.137263	0.25351	0.418356
