 	le	chasseur	suit	la	piste	du	porc-épic	</S>
a15	0.309867	0.230472	0.17218	0.119447	0.0863234	0.0449344	0.023435	0.0133404
a66	0.356685	0.234902	0.16694	0.112715	0.0608518	0.0329113	0.0201593	0.0148356
a87	0.539673	0.275637	0.0908792	0.0359862	0.0175546	0.0122328	0.0113307	0.0167062
a23	0.475084	0.311766	0.104638	0.0442064	0.024079	0.0177847	0.0118908	0.0105511
a30	0.492964	0.25927	0.10782	0.0406795	0.0182376	0.0217274	0.0230755	0.0362264
a13	0.391456	0.232372	0.144272	0.0730804	0.0296834	0.0305564	0.0427892	0.0557906
a62	0.306838	0.245096	0.174167	0.08638	0.0411031	0.0373233	0.056989	0.0521039
a88	0.270181	0.23059	0.210655	0.122794	0.0504167	0.0375087	0.0408704	0.0369837
a62	0.196985	0.185111	0.178942	0.13508	0.0723555	0.0584064	0.0800785	0.0930425
a61	0.162641	0.166594	0.170398	0.150756	0.0868261	0.0684886	0.0880109	0.106285
a75	0.155067	0.163953	0.214168	0.188704	0.0922994	0.0585047	0.0618445	0.0654602
a85	0.0963759	0.1406	0.221649	0.20567	0.126023	0.0746079	0.0675179	0.0675554
a92	0.076663	0.11573	0.173701	0.2035	0.155764	0.0976708	0.0815833	0.0953888
a37	0.0974184	0.133497	0.188056	0.198914	0.140295	0.0853582	0.0722755	0.0841849
a25	0.0950786	0.171483	0.193842	0.21037	0.137057	0.0644794	0.0520307	0.0756593
a56	0.0381221	0.0858962	0.100565	0.148866	0.173359	0.114239	0.119025	0.219928
a98	0.0445837	0.106286	0.150639	0.189363	0.188733	0.115704	0.0837073	0.120984
a47	0.0122956	0.029655	0.0403007	0.0955116	0.1813	0.169608	0.170999	0.300331
a37	0.00722911	0.0190498	0.0201857	0.0506107	0.125596	0.133867	0.16898	0.474481
a92	0.00839707	0.0195527	0.0196195	0.0458723	0.114845	0.139938	0.194543	0.457232
a37	0.00348832	0.00774843	0.00783606	0.023508	0.0957538	0.165284	0.214435	0.481947
a79	0.00446023	0.00722623	0.0046988	0.0092783	0.0354398	0.105326	0.245865	0.587706
a44	0.0010491	0.00206061	0.00168481	0.00629436	0.0352104	0.106586	0.243465	0.60365
a93	0.0011229	0.00196447	0.00119033	0.00415287	0.0235087	0.0868847	0.25615	0.625026
a70	0.00135821	0.00222674	0.00130264	0.00447412	0.0226521	0.0834626	0.234469	0.650055
a66	0.0019148	0.00241624	0.0014814	0.00380393	0.0179862	0.0809979	0.246975	0.644424
a54	0.00682468	0.00653688	0.00426979	0.00834947	0.0343539	0.110686	0.253874	0.575105
a7	0.000711845	0.000875278	0.000621724	0.00187558	0.0110647	0.0498592	0.209976	0.725016
a84	0.00165514	0.00148359	0.00117818	0.0030499	0.0143834	0.0565045	0.203741	0.718004
a57	0.0904501	0.0674503	0.0514397	0.0648006	0.101657	0.11922	0.148455	0.356526
a87	0.245453	0.16294	0.0963148	0.0675168	0.0747845	0.0846124	0.0987491	0.169629
a23	0.319862	0.210984	0.109417	0.0653385	0.0620893	0.0670294	0.0762393	0.0890405
a87	0.231455	0.155829	0.0822166	0.0704706	0.0922137	0.118109	0.117495	0.132212
</S>	0.0410622	0.0240124	0.0114472	0.0169242	0.0571485	0.115308	0.203555	0.530543
