 	il	s'	est	cassé	le	bras	</S>
a23	0.345079	0.314189	0.152535	0.0625972	0.041707	0.0420545	0.0418381
a40	0.391899	0.261925	0.138461	0.0586097	0.0514392	0.0461054	0.0515615
a30	0.2229	0.159161	0.123767	0.105092	0.12137	0.143472	0.124237
a35	0.293971	0.210948	0.156404	0.102597	0.090569	0.0859456	0.0595657
a66	0.324785	0.290691	0.223327	0.0924546	0.0320629	0.020325	0.0163547
a38	0.288509	0.225027	0.184156	0.116704	0.0694597	0.0610056	0.0551397
a94	0.310949	0.192985	0.171911	0.121849	0.0763626	0.0651897	0.0607532
a35	0.300407	0.177415	0.155053	0.12407	0.0882121	0.0789993	0.0758444
a26	0.190442	0.133893	0.137155	0.140718	0.130519	0.134171	0.133102
a41	0.102257	0.0767935	0.0911783	0.110575	0.144815	0.194633	0.279748
a35	0.0393026	0.0300681	0.0406808	0.0787515	0.167765	0.270335	0.373096
a26	0.0207265	0.0157838	0.0223029	0.0484543	0.13423	0.288717	0.469786
a76	0.0229834	0.0191734	0.0259808	0.0511547	0.12606	0.277106	0.477541
a94	0.00557027	0.00400504	0.00748359	0.02613	0.12155	0.323047	0.512214
a58	0.00291921	0.00254865	0.00472439	0.01536	0.0835955	0.2872	0.603653
a84	0.00291417	0.00272397	0.00450837	0.0119166	0.066436	0.245044	0.666457
a87	0.00589484	0.00605356	0.00872543	0.0137389	0.0599861	0.200636	0.704966
</S>	0.0112566	0.0130584	0.0222104	0.0451885	0.107707	0.233691	0.566888
