 	il	est	allé	au	marché	</S>
a23	0.341458	0.275869	0.183578	0.0882763	0.0613565	0.0494628
a30	0.384182	0.249645	0.147246	0.0865813	0.0639651	0.0683808
a53	0.242681	0.231805	0.20958	0.131731	0.0932327	0.0909704
a20	0.316365	0.234009	0.185633	0.0982569	0.0873074	0.0784288
a30	0.367574	0.278564	0.195248	0.0893729	0.0412809	0.0279604
a57	0.329911	0.303982	0.242948	0.0819319	0.0258792	0.0153475
a87	0.262423	0.23135	0.214563	0.115821	0.0938124	0.0820304
a40	0.176806	0.183001	0.221191	0.185779	0.133233	0.0999901
a30	0.351268	0.26404	0.198674	0.0943231	0.05286	0.0388359
a35	0.404006	0.317133	0.188933	0.0622638	0.0176313	0.010033
a66	0.3558	0.289765	0.199522	0.0881829	0.0405969	0.0261332
a98	0.278673	0.239875	0.211312	0.135253	0.0744555	0.0604317
a25	0.267417	0.244578	0.200526	0.12518	0.0852872	0.0770124
a38	0.21228	0.216001	0.20231	0.147757	0.116535	0.105117
a75	0.174326	0.176399	0.179283	0.177912	0.160113	0.131967
a98	0.122219	0.106978	0.11703	0.164139	0.232737	0.256898
a44	0.0905322	0.077338	0.0895436	0.15874	0.267684	0.316163
a38	0.0380227	0.0332369	0.0495157	0.122039	0.326131	0.431054
a14	0.0107686	0.00809253	0.0159254	0.0627217	0.327393	0.575099
a35	0.00799045	0.00641405	0.0136061	0.0649672	0.368243	0.538779
a66	0.00745669	0.00507951	0.0103354	0.0496389	0.345824	0.581666
a83	0.00414551	0.00277356	0.00579262	0.0300658	0.275137	0.682086
a9	0.00466532	0.00368382	0.00784962	0.0297294	0.241754	0.712317
a87	0.00918598	0.00806831	0.0136255	0.0336057	0.216392	0.719122
</S>	0.0217508	0.0207668	0.0238824	0.0517668	0.244784	0.637049
