 	le	bébé	pleure	</S>
a23	0.376191	0.17336	0.177052	0.273398
a87	0.498589	0.200246	0.126574	0.174591
a79	0.480597	0.235206	0.141018	0.143179
a76	0.555914	0.21502	0.107241	0.121825
a94	0.521903	0.256632	0.127363	0.0941019
a4	0.488534	0.25576	0.143213	0.112493
a94	0.395883	0.254236	0.181699	0.168181
a41	0.384397	0.262791	0.187601	0.165211
a37	0.38767	0.278727	0.178169	0.155434
a54	0.371145	0.297725	0.170602	0.160528
a73	0.280581	0.266443	0.223498	0.229478
a94	0.341821	0.281263	0.186014	0.190902
a76	0.20889	0.267409	0.243346	0.280356
a90	0.14686	0.231079	0.278214	0.343847
a35	0.116548	0.182284	0.289705	0.411463
a61	0.0743258	0.145672	0.289893	0.490109
a47	0.0346503	0.0775907	0.251094	0.636665
a12	0.0407961	0.0831348	0.259479	0.61659
a94	0.0361213	0.0684975	0.238842	0.656539
a26	0.0576737	0.0895153	0.222563	0.630248
a57	0.0517598	0.0875487	0.216631	0.644061
a87	0.0608439	0.082807	0.221442	0.634907
a23	0.0658384	0.080586	0.223942	0.629633
a87	0.140172	0.158351	0.261639	0.439837
</S>	0.0985106	0.127883	0.26438	0.509226
