 	j'	ai	mal	à	la	tête	</S>
a23	0.340499	0.160355	0.155782	0.141386	0.0974109	0.0609578	0.0436095
a70	0.535164	0.180618	0.0872914	0.0719465	0.0596806	0.0363917	0.028907
a24	0.479208	0.270108	0.110842	0.0468544	0.0323728	0.0260359	0.0345788
a98	0.463249	0.34143	0.13318	0.0382067	0.0143977	0.00543562	0.00410133
a66	0.286273	0.315104	0.207646	0.0930747	0.0514961	0.0256688	0.020738
a90	0.232665	0.260588	0.220136	0.126518	0.0775662	0.0437042	0.0388231
a25	0.139048	0.192832	0.222472	0.168631	0.123245	0.0796518	0.0741202
a35	0.150866	0.196309	0.227745	0.173767	0.122214	0.0714259	0.0576739
a24	0.113281	0.153849	0.223531	0.197893	0.145425	0.0911537	0.074867
a76	0.0506297	0.0786825	0.158191	0.208225	0.200343	0.164119	0.13981
a94	0.068789	0.0955735	0.181704	0.21484	0.189154	0.138152	0.111787
a41	0.0455335	0.0604154	0.114703	0.19004	0.223007	0.201286	0.165015
a73	0.037063	0.0495381	0.102727	0.183215	0.220047	0.209326	0.198084
a58	0.0190134	0.023736	0.0570468	0.158315	0.246473	0.25559	0.239826
a57	0.00817379	0.00932156	0.0181787	0.058147	0.145673	0.287834	0.472671
a87	0.0158236	0.0101768	0.0133008	0.0410791	0.104985	0.260685	0.553949
</S>	0.0435682	0.0363742	0.0468918	0.092276	0.143788	0.253078	0.384024
