 	vous	avez	perdu	la	bataille	faute	de	solidarité	</S>
a15	0.124124	0.0888283	0.14924	0.165996	0.159485	0.183672	0.0862889	0.0335195	0.00884812
a87	0.180425	0.0813383	0.166653	0.129848	0.111701	0.123059	0.0775659	0.0934139	0.0359961
a10	0.165044	0.113147	0.146352	0.119619	0.11495	0.114777	0.0810747	0.0774532	0.0675838
a87	0.213291	0.247845	0.196933	0.129427	0.0811594	0.0477228	0.0255	0.0312724	0.0268497
a23	0.225213	0.223543	0.135049	0.0953217	0.0547269	0.0559832	0.0594863	0.0843383	0.0663383
a87	0.212368	0.238848	0.209599	0.125422	0.0561414	0.0410276	0.0315753	0.0483986	0.0366195
a97	0.209088	0.204422	0.15146	0.0873189	0.0494826	0.052389	0.054157	0.0919714	0.0997109
a99	0.255946	0.192617	0.111352	0.0699509	0.0379776	0.0439672	0.051994	0.112711	0.123484
a62	0.276808	0.248563	0.131601	0.0913228	0.0485713	0.0364014	0.0347738	0.066158	0.0658006
a47	0.413668	0.297226	0.125492	0.0700901	0.0311776	0.0153531	0.0112851	0.0197617	0.0159465
a21	0.223962	0.235846	0.213173	0.13992	0.0744219	0.0321726	0.0191405	0.0309211	0.0304431
a5	0.314654	0.249789	0.174602	0.109679	0.0521643	0.0336984	0.0209467	0.0248355	0.0196311
a18	0.176559	0.222833	0.215359	0.12459	0.0656787	0.0435426	0.0376125	0.0621231	0.0517016
a38	0.110632	0.123821	0.188063	0.148596	0.113268	0.0802846	0.0642921	0.088905	0.082138
a90	0.0906921	0.0662761	0.13751	0.129815	0.121691	0.109318	0.101706	0.107396	0.135596
a25	0.0791815	0.0654204	0.200988	0.194973	0.17937	0.121776	0.0684608	0.0427349	0.0470948
a56	0.0390006	0.0444929	0.19244	0.198838	0.200232	0.172814	0.0831754	0.0350911	0.0339151
a96	0.0386061	0.0334304	0.149474	0.198735	0.230805	0.160055	0.0753159	0.0490295	0.0645492
a62	0.032017	0.0231101	0.140731	0.196906	0.239355	0.185048	0.0770247	0.0485187	0.0572899
a83	0.0148636	0.0116294	0.0837049	0.148229	0.216614	0.237917	0.126689	0.0614217	0.0989311
a13	0.0150307	0.0103512	0.0744968	0.133287	0.20321	0.236023	0.157833	0.0703206	0.099448
a62	0.00784266	0.00643307	0.0363909	0.0747256	0.157064	0.228492	0.212468	0.113968	0.162616
a47	0.0145351	0.0106547	0.045525	0.0774855	0.153291	0.207864	0.209231	0.138688	0.142727
a21	0.0142638	0.00981251	0.0474363	0.0803596	0.150824	0.199413	0.210008	0.171544	0.116339
a5	0.0441503	0.0203621	0.0750694	0.129595	0.20597	0.196421	0.142106	0.100079	0.0862463
a96	0.0235897	0.0136006	0.0452125	0.0677881	0.106609	0.128669	0.175022	0.184779	0.25473
a62	0.00597211	0.00454645	0.0208839	0.0353034	0.0814236	0.142519	0.209282	0.23528	0.264788
a88	0.0095475	0.00588574	0.0225638	0.0374352	0.0790287	0.132519	0.216164	0.253434	0.243423
a9	0.00479787	0.00341108	0.0127958	0.0203516	0.0481585	0.0897236	0.1731	0.300187	0.347474
a75	0.00165402	0.00113337	0.00428796	0.00651389	0.0181308	0.0507157	0.1247	0.396808	0.396056
a85	0.00924559	0.00559641	0.0121724	0.0144599	0.0231309	0.0404302	0.0902333	0.21179	0.592941
a37	0.00998336	0.00599029	0.0115444	0.0140128	0.0223787	0.0330127	0.0801917	0.262208	0.560678
a70	0.00152357	0.00113093	0.00374793	0.0055284	0.0129764	0.0272379	0.0803334	0.299773	0.567748
a75	0.000460798	0.000316127	0.00115378	0.00174251	0.00425502	0.0107893	0.0480769	0.294049	0.639157
a21	0.00237535	0.00169339	0.00402782	0.00502766	0.0101958	0.0218825	0.066485	0.242069	0.646243
a96	0.00192764	0.00119932	0.00461891	0.0073634	0.0142858	0.0283464	0.0763087	0.273729	0.592221
a13	0.000313506	0.000199898	0.00110097	0.00140628	0.00312679	0.00828737	0.0382733	0.225213	0.722079
a38	0.000297555	0.000182353	0.00061421	0.00101289	0.00294286	0.00726845	0.0343454	0.251372	0.701964
a11	0.000367845	0.000164472	0.000443523	0.000548097	0.00119894	0.00337391	0.0263934	0.21942	0.74809
a93	0.000594368	0.000215671	0.000622383	0.000757983	0.00163188	0.00451829	0.0300005	0.230731	0.730928
a4	0.000202414	0.000103665	0.000370235	0.000432477	0.00111887	0.00351655	0.026177	0.196237	0.771842
a57	0.000318814	0.000171251	0.00083815	0.00109552	0.00275673	0.00726731	0.0355256	0.199468	0.752559
a82	0.0005849	0.000208139	0.000856754	0.00126362	0.00280314	0.00629802	0.0320296	0.241627	0.714329
a3	0.00987175	0.00202704	0.00450524	0.00540522	0.00723103	0.0113257	0.0448941	0.274873	0.639867
a99	0.0421063	0.0141998	0.0232286	0.0354428	0.0453623	0.0657564	0.11462	0.303289	0.355994
a10	0.0537835	0.0206757	0.0290715	0.041923	0.0500903	0.0680038	0.101101	0.294637	0.340715
a87	0.047526	0.0154454	0.0251177	0.033999	0.0375145	0.0407658	0.0534223	0.249977	0.496232
a23	0.0536609	0.0243022	0.0513777	0.0740082	0.0698189	0.0745253	0.0890369	0.233136	0.330134
a97	0.0409469	0.0118424	0.0210843	0.019794	0.0189106	0.0231411	0.055797	0.235906	0.572578
</S>	0.0149673	0.00637223	0.0261793	0.0220123	0.016549	0.0208025	0.0383389	0.163947	0.690831
