 	le	mouon	bêle	</S>
a23	0.602368	0.185527	0.0875107	0.124595
a40	0.580434	0.174658	0.118416	0.126492
a5	0.209043	0.215513	0.237995	0.337448
a61	0.674236	0.217687	0.0646166	0.04346
a75	0.743273	0.199016	0.0357129	0.0219986
a92	0.468116	0.314035	0.130034	0.0878146
a37	0.427466	0.308031	0.155237	0.109266
a98	0.297371	0.260438	0.230199	0.211992
a85	0.077988	0.173674	0.34465	0.403688
a21	0.0383839	0.12186	0.37271	0.467046
a75	0.0648864	0.138355	0.341821	0.454937
a21	0.012228	0.0464359	0.278421	0.662915
a85	0.0186853	0.0583319	0.278231	0.644752
a36	0.0126398	0.0665442	0.323996	0.59682
a2	0.0205122	0.0905521	0.281387	0.607548
a57	0.0160495	0.055004	0.205998	0.722948
a87	0.279995	0.179639	0.207459	0.332907
a23	0.566768	0.188317	0.113338	0.131578
a87	0.214773	0.186657	0.255253	0.343317
a23	0.0351683	0.0945261	0.341187	0.529119
a87	0.0409552	0.0982418	0.37514	0.485663
</S>	0.0272861	0.108815	0.390783	0.473116
