 	okoumou	est	en	train	de	clôturer	sa	parcelle	</S>
a23	0.255119	0.118544	0.0835283	0.0955643	0.117855	0.124846	0.100115	0.0640656	0.0403628
a30	0.333502	0.155338	0.109724	0.0916345	0.0768946	0.0644663	0.076047	0.0566522	0.0357408
a13	0.335267	0.203019	0.147296	0.0941855	0.0608869	0.0385523	0.0364826	0.0400985	0.0442128
a9	0.359925	0.226492	0.144107	0.0759123	0.0478592	0.0291234	0.0283125	0.0386766	0.0495925
a30	0.238348	0.234331	0.197402	0.112285	0.0670329	0.0339845	0.0290505	0.0410247	0.0465421
a70	0.228369	0.234192	0.209585	0.110144	0.0615391	0.0334821	0.0344898	0.0443505	0.0438485
a61	0.270775	0.303173	0.225311	0.0864855	0.0437645	0.0161575	0.0130173	0.0197723	0.0215442
a12	0.257133	0.282086	0.214736	0.100244	0.064448	0.023995	0.015414	0.0204341	0.0215091
a96	0.207246	0.230671	0.197646	0.12402	0.103179	0.0470925	0.025593	0.031235	0.0333169
a90	0.140591	0.179917	0.186032	0.153441	0.151771	0.0771633	0.0342691	0.03684	0.0399746
a92	0.112657	0.143445	0.167876	0.157196	0.175618	0.103289	0.0437938	0.043249	0.0528762
a85	0.103446	0.124607	0.154376	0.145269	0.147469	0.104894	0.0686211	0.0707335	0.0805838
a47	0.102021	0.110736	0.127656	0.124281	0.12737	0.108934	0.096394	0.102381	0.100226
a7	0.0767047	0.0899786	0.118935	0.139302	0.140278	0.133252	0.0980549	0.0968232	0.106672
a54	0.0355024	0.0395357	0.0661402	0.127796	0.169907	0.189585	0.122614	0.11711	0.131809
a47	0.0234118	0.0224627	0.0326502	0.0541919	0.0776685	0.133536	0.139189	0.196884	0.320006
a37	0.0250933	0.0254681	0.0356608	0.0587997	0.070895	0.120818	0.147163	0.214147	0.301955
a96	0.0142375	0.0129037	0.0180726	0.0310288	0.041337	0.0759994	0.127341	0.261199	0.417881
a61	0.00767301	0.00707323	0.00990264	0.0176741	0.0252769	0.0528847	0.119808	0.278076	0.481631
a21	0.0033701	0.00271602	0.00348293	0.00646558	0.0106362	0.0302231	0.0964788	0.264305	0.582322
a61	0.00282326	0.00222617	0.00278886	0.00482674	0.00720484	0.0204438	0.0852586	0.286155	0.588273
a43	0.00103097	0.000733243	0.000864865	0.0016801	0.00373405	0.0169101	0.0803532	0.255739	0.638955
a11	0.00172481	0.00116163	0.00125668	0.00200929	0.00386261	0.0153841	0.0711593	0.247913	0.655528
a83	0.00280577	0.00182347	0.00194424	0.00279352	0.00460336	0.0161502	0.0731738	0.249562	0.647143
a9	0.0174741	0.0123255	0.0125902	0.01635	0.0192514	0.0478312	0.126883	0.251433	0.495862
a87	0.063954	0.0399403	0.0348683	0.0456479	0.0466542	0.0735993	0.124236	0.187046	0.384053
a23	0.131692	0.0869218	0.0756814	0.094855	0.0853419	0.0940959	0.131517	0.145096	0.154799
a87	0.0353556	0.0263217	0.0276921	0.0384306	0.0401774	0.0695828	0.167622	0.276151	0.318667
</S>	0.0121853	0.0109921	0.0139785	0.0272176	0.033038	0.0657274	0.169202	0.270089	0.39757
