 	j'	ai	fais	un	saut	pour	dépasser	la	flaque	d'	eau	</S>
a66	0.242172	0.184609	0.145163	0.124543	0.130373	0.0889108	0.0373463	0.0168475	0.00804121	0.00745358	0.0064123	0.00812927
a87	0.36727	0.201956	0.125148	0.101273	0.0872696	0.0610021	0.024982	0.00844005	0.00424199	0.00481195	0.00551271	0.0080942
a23	0.306709	0.301234	0.192562	0.0982683	0.0496975	0.0206394	0.00822194	0.00412373	0.00462283	0.00449253	0.00431703	0.00511056
a99	0.236947	0.327681	0.189743	0.0877807	0.0512016	0.014254	0.00484971	0.00339636	0.00711229	0.0164532	0.0249716	0.0356093
a38	0.312662	0.29274	0.129705	0.0661483	0.058606	0.0204421	0.00849703	0.00732181	0.0114584	0.0228527	0.0294962	0.0400699
a88	0.222862	0.192181	0.114436	0.0919415	0.107563	0.0586286	0.0420782	0.0268647	0.0278684	0.0333228	0.0372267	0.045027
a71	0.235175	0.209611	0.123605	0.129328	0.103811	0.064245	0.043207	0.0205309	0.0200945	0.017478	0.0168379	0.0160769
a62	0.0964155	0.102542	0.0923095	0.10684	0.0975943	0.0654076	0.0739718	0.0829046	0.0911372	0.0757576	0.0673001	0.0478196
a12	0.065269	0.0862108	0.0972826	0.115112	0.131327	0.106546	0.113847	0.0823603	0.0726499	0.0524028	0.0473161	0.0296778
a62	0.0624157	0.0836463	0.106748	0.130941	0.143852	0.159742	0.137212	0.0614344	0.0399509	0.0269908	0.0281817	0.0188843
a88	0.0532341	0.0636553	0.089466	0.128703	0.15062	0.156822	0.148543	0.0880945	0.0401816	0.0282261	0.030285	0.0221695
a0	0.0297768	0.0306614	0.044636	0.0803535	0.106837	0.123549	0.176597	0.167343	0.0721783	0.0550535	0.0640961	0.0489182
a47	0.0220982	0.0206042	0.0274203	0.0530544	0.0633908	0.079787	0.13427	0.21861	0.0992979	0.0917861	0.103772	0.0859097
a12	0.0217146	0.0196771	0.02375	0.0412334	0.0502844	0.0551229	0.0943377	0.196786	0.121491	0.123355	0.140354	0.111893
a47	0.00999741	0.00927181	0.0105436	0.0182271	0.0182022	0.0272536	0.0563779	0.154222	0.158391	0.170571	0.196566	0.170376
a62	0.014113	0.0128425	0.0142597	0.0222476	0.0196338	0.0203828	0.0347448	0.121889	0.152881	0.191582	0.219606	0.175817
a12	0.00823188	0.00724455	0.00729397	0.0109477	0.00862281	0.0115409	0.0187227	0.0645971	0.136909	0.217614	0.269856	0.238419
a47	0.00433937	0.00374666	0.00355426	0.00526663	0.00419821	0.00585479	0.0119006	0.0461915	0.136061	0.233282	0.292424	0.253181
a88	0.00422992	0.00401305	0.00409455	0.00620735	0.0045315	0.00476339	0.00827061	0.0290791	0.10247	0.239878	0.331744	0.260719
a75	0.00112649	0.00107498	0.00115156	0.00165505	0.00127366	0.00147384	0.0028729	0.00862502	0.0498186	0.187851	0.360556	0.382521
a92	0.000190109	0.000150459	0.000154037	0.000256005	0.000224013	0.000325398	0.00136963	0.0107775	0.0778223	0.205776	0.349527	0.353427
a79	9.90182e-05	8.08077e-05	8.53515e-05	0.000165089	0.000150749	0.000216975	0.00108433	0.00852854	0.0619439	0.169641	0.345557	0.412447
a7	0.000273517	0.000224274	0.000242148	0.000471686	0.000351184	0.000445628	0.001327	0.00877555	0.0549049	0.153052	0.343536	0.436396
a84	0.000585276	0.00046866	0.000446357	0.000607667	0.000325254	0.000370818	0.0010097	0.0068932	0.0472995	0.142817	0.318845	0.480332
a87	0.0164922	0.012446	0.0108817	0.0113421	0.00650265	0.00814807	0.0144012	0.033809	0.0959935	0.163008	0.261615	0.365361
a23	0.343485	0.244959	0.1326	0.0920334	0.0477795	0.0352542	0.0257918	0.0166113	0.0156198	0.0138521	0.0155818	0.0164323
a87	0.144862	0.114084	0.0789591	0.0608272	0.0335673	0.0288812	0.0365829	0.0437913	0.102413	0.112472	0.121842	0.121719
</S>	0.0394723	0.0273048	0.0164567	0.0153066	0.00671481	0.00795405	0.0154021	0.0293661	0.106713	0.168646	0.260339	0.306324
