 	on	lui	a	donné	un	coup	de	crosse	à	la	tête	</S>
a85	0.0824602	0.0814861	0.098731	0.148824	0.16893	0.220522	0.112874	0.0514512	0.0146999	0.00822986	0.00635454	0.00543666
a87	0.065258	0.0579737	0.066987	0.0974809	0.103002	0.152623	0.10122	0.121779	0.0718552	0.05514	0.055789	0.0508918
a23	0.155623	0.122833	0.0970886	0.0931107	0.0689891	0.08522	0.0647061	0.05756	0.0373341	0.048579	0.0709952	0.0979617
a87	0.187507	0.157522	0.113585	0.0933464	0.0623165	0.0631803	0.0373187	0.0463777	0.0277241	0.0372008	0.0661885	0.107733
a99	0.173198	0.135931	0.100675	0.082771	0.0531553	0.0548184	0.036401	0.0530865	0.0358812	0.0536801	0.0888611	0.131541
a97	0.105219	0.0888121	0.0641807	0.0481463	0.0320118	0.0346865	0.0344786	0.0573041	0.0486252	0.0865235	0.157532	0.24248
a87	0.0868688	0.0753508	0.0602492	0.0554144	0.0431134	0.0476421	0.0428258	0.0745821	0.0647234	0.10562	0.150131	0.193479
a97	0.0984612	0.0859318	0.0711132	0.0661585	0.0518395	0.057911	0.0454876	0.0841705	0.0711972	0.103365	0.127225	0.13714
a87	0.117993	0.104865	0.0822137	0.0647743	0.0472168	0.0472853	0.0354568	0.0580818	0.0585349	0.094319	0.135458	0.153802
a10	0.10346	0.0953986	0.0804588	0.0699535	0.0572883	0.0630478	0.0463517	0.0775415	0.0683731	0.0947588	0.119146	0.124222
a40	0.143967	0.119065	0.0888155	0.0701168	0.0488533	0.0467233	0.0355947	0.0471013	0.0429451	0.0762083	0.122021	0.15859
a26	0.350028	0.241154	0.141169	0.0655177	0.0366436	0.0292035	0.0228032	0.0195583	0.0136356	0.0220522	0.0253245	0.0329098
a57	0.259471	0.236272	0.186194	0.1099	0.0598192	0.0497656	0.0294867	0.0178558	0.00896989	0.0123449	0.0134198	0.0165017
a66	0.161425	0.160665	0.157609	0.121236	0.0869963	0.0715506	0.0557262	0.0467403	0.0320463	0.0348869	0.0322944	0.0388239
a11	0.103083	0.107292	0.117338	0.103276	0.086877	0.0713368	0.0710897	0.0656229	0.0614537	0.0696246	0.0645129	0.0784929
a66	0.118866	0.130488	0.145389	0.135689	0.11237	0.0924951	0.0709919	0.0500368	0.0378597	0.0376796	0.0321125	0.0360232
a44	0.0854379	0.0959418	0.113635	0.116969	0.107374	0.0985024	0.0920054	0.0725318	0.0575573	0.0559303	0.0489881	0.0551267
a75	0.0607135	0.0789612	0.123671	0.15659	0.173399	0.159672	0.101107	0.0439538	0.0275882	0.0248029	0.0233976	0.0261449
a61	0.0712832	0.0948252	0.155457	0.182175	0.176164	0.140626	0.0689181	0.0253168	0.0189675	0.0186302	0.022553	0.0250838
a96	0.057192	0.0752088	0.129555	0.175868	0.19571	0.182382	0.0916799	0.0276294	0.0168676	0.0157438	0.0160393	0.0161239
a24	0.0434389	0.0548066	0.0971482	0.147897	0.184328	0.192383	0.128755	0.0484844	0.0290013	0.025199	0.0244604	0.0240984
a75	0.0418518	0.0494815	0.083631	0.132715	0.174625	0.17743	0.136542	0.0649824	0.0376433	0.0328222	0.0330912	0.0351853
a25	0.0529287	0.0615196	0.0932634	0.131216	0.168982	0.160852	0.1016	0.0503259	0.0447848	0.0434913	0.0459908	0.0450452
a44	0.0488494	0.0571978	0.0847953	0.122215	0.160664	0.167295	0.120132	0.0641939	0.0447718	0.0409624	0.0443975	0.044526
a26	0.0537102	0.0566625	0.0714685	0.0920077	0.128935	0.148795	0.143471	0.0959003	0.0596546	0.049963	0.0500956	0.0493374
a75	0.0225806	0.021031	0.0265529	0.0391793	0.0637841	0.0904408	0.151702	0.174598	0.105221	0.0938561	0.0998379	0.111217
a41	0.0483988	0.0463742	0.0543656	0.0533748	0.069325	0.0719389	0.0973998	0.0859782	0.0936242	0.112927	0.130483	0.13581
a43	0.0339598	0.031054	0.0334554	0.0285378	0.0328281	0.0353626	0.056171	0.0914059	0.120879	0.15305	0.185156	0.198141
a11	0.0209309	0.0189495	0.0221383	0.0240396	0.0337441	0.0408987	0.0789297	0.169311	0.160454	0.139165	0.13918	0.152259
a0	0.0108112	0.00948699	0.0105882	0.0124072	0.0186341	0.0262135	0.0617267	0.179164	0.196136	0.165077	0.149065	0.16069
a88	0.00326676	0.00291206	0.00320107	0.00395635	0.00553741	0.00853971	0.0231947	0.100522	0.158995	0.202139	0.23377	0.253967
a71	0.00422651	0.00370171	0.00389011	0.00424049	0.00589352	0.00804777	0.0247361	0.109901	0.172066	0.199404	0.220098	0.243794
a38	0.00262112	0.00220778	0.00227827	0.00253515	0.00314977	0.00454813	0.0126409	0.0567802	0.123291	0.201056	0.273829	0.315062
a93	0.00276334	0.0022958	0.00236983	0.00271071	0.00325052	0.00446911	0.0116145	0.05224	0.132	0.213589	0.273178	0.299519
a4	0.00155476	0.00131567	0.00139776	0.00164101	0.00225232	0.00327196	0.00993479	0.0554469	0.130714	0.192646	0.273672	0.326153
a13	0.00082387	0.000705915	0.000819564	0.00110365	0.00170999	0.00266501	0.00834296	0.0389998	0.0983401	0.163324	0.280293	0.402872
a99	0.00166615	0.0011351	0.000981975	0.000986646	0.00121182	0.00178093	0.00545599	0.0234113	0.0921564	0.181319	0.300043	0.389852
a97	0.00210519	0.00130926	0.000946494	0.000836513	0.00086505	0.0011679	0.00309471	0.0166863	0.0840303	0.184677	0.313844	0.390438
a87	0.02441	0.0139571	0.00917757	0.00742125	0.00629489	0.00823726	0.00918799	0.0373249	0.0953585	0.153296	0.255831	0.379504
a23	0.0832712	0.0568851	0.0434901	0.0395603	0.0325933	0.0434989	0.0412775	0.113608	0.129484	0.133853	0.139031	0.143448
a87	0.0591149	0.0299282	0.0184304	0.0140397	0.0116699	0.0135279	0.0144142	0.0537658	0.105449	0.160296	0.249579	0.269785
a97	0.0106339	0.00694141	0.00588247	0.00570672	0.00545338	0.00743144	0.0094521	0.0349404	0.086185	0.163891	0.320109	0.343374
</S>	0.0200764	0.011232	0.00861448	0.00928471	0.010123	0.0143487	0.0164289	0.0532818	0.0967994	0.161816	0.277405	0.320589
