 	tsanganzoro	a	tué	une	petite	antilope	</S>
a57	0.191544	0.188609	0.180789	0.156043	0.103892	0.103738	0.0753846
a10	0.312578	0.221959	0.158237	0.088302	0.0625076	0.0753695	0.0810478
a75	0.286187	0.1556	0.100944	0.0647714	0.070905	0.13167	0.189922
a92	0.192744	0.166064	0.169484	0.147582	0.116185	0.110408	0.097533
a75	0.322481	0.212362	0.132497	0.100575	0.0710025	0.0738853	0.0871968
a85	0.252037	0.230226	0.166675	0.13359	0.0777145	0.0717446	0.0680138
a92	0.216651	0.198938	0.159909	0.149254	0.102666	0.0935072	0.0790746
a61	0.179528	0.171889	0.149269	0.162056	0.130085	0.116357	0.0908168
a75	0.175735	0.166895	0.146874	0.144656	0.121131	0.124014	0.120694
a98	0.128724	0.127208	0.128546	0.143793	0.157559	0.156334	0.157836
a44	0.100463	0.100809	0.126186	0.161855	0.181533	0.164273	0.164881
a93	0.111854	0.100454	0.111766	0.139038	0.169496	0.183182	0.184211
a34	0.0845547	0.0772142	0.0958008	0.127793	0.166896	0.214545	0.233197
a75	0.0611843	0.0603679	0.0872067	0.139695	0.20241	0.223142	0.225993
a66	0.0325281	0.0278173	0.0405883	0.076954	0.184327	0.277318	0.360467
a61	0.00337118	0.00336311	0.00812103	0.0246141	0.0829716	0.29195	0.585609
a75	0.00422864	0.00391361	0.00751055	0.0256585	0.102383	0.290669	0.565637
a21	0.00616267	0.00551541	0.0100816	0.0299663	0.0961594	0.294669	0.557445
a85	0.00530427	0.00503935	0.00973133	0.0259949	0.0862583	0.2792	0.588472
a35	0.00760399	0.0103445	0.0189433	0.0392715	0.110109	0.280307	0.533421
a66	0.00400159	0.0053417	0.01085	0.0279884	0.0940388	0.271244	0.586535
a9	0.0135469	0.0162924	0.0303607	0.0521957	0.11019	0.245426	0.531988
a10	0.0563803	0.0405329	0.0543511	0.0646408	0.11844	0.215067	0.450588
a87	0.0944921	0.0734273	0.0823009	0.0931626	0.151957	0.20148	0.303181
a23	0.146011	0.116038	0.120826	0.113071	0.140658	0.169611	0.193785
a99	0.0336218	0.0372708	0.062019	0.0960688	0.183165	0.291779	0.296076
a97	0.0180437	0.0210939	0.0429269	0.0698107	0.160295	0.291128	0.396702
</S>	0.0267527	0.0309979	0.0497221	0.0687102	0.143783	0.308206	0.371828
