 	la	branchette	de	l'	arbre	ngyenya	est	utilisée	comme	support	dans	les	pièges	aux	animaux	</S>
a66	0.0710762	0.0750617	0.066275	0.0564336	0.116189	0.115263	0.0969685	0.0924525	0.0845356	0.0654313	0.0581059	0.0422453	0.0307319	0.0138257	0.00843812	0.00696687
a87	0.196304	0.135154	0.174642	0.0985619	0.091119	0.0264427	0.00973796	0.0179122	0.0194504	0.0185816	0.0290353	0.0375246	0.0620546	0.0354117	0.0248509	0.0232175
a23	0.221412	0.241326	0.131886	0.102472	0.0772629	0.0452024	0.0165189	0.0226412	0.0334645	0.0281261	0.0204428	0.0133799	0.0206901	0.00862689	0.00758384	0.00896543
a12	0.213759	0.362952	0.101517	0.0679984	0.036466	0.0178025	0.0109043	0.0224551	0.0369122	0.0407107	0.0265954	0.0147632	0.0165458	0.00891104	0.00896157	0.0127469
a18	0.114986	0.166036	0.138897	0.103752	0.110593	0.119788	0.0412086	0.056281	0.0397203	0.0287208	0.0206314	0.014665	0.012821	0.0100262	0.0105769	0.0112976
a75	0.107162	0.138794	0.203747	0.148925	0.120188	0.137125	0.0342619	0.0319234	0.0249355	0.0158208	0.0120069	0.0080699	0.00687213	0.003568	0.00344545	0.00315462
a85	0.0613207	0.0950008	0.175321	0.16567	0.15261	0.149676	0.0352874	0.0454358	0.0322608	0.0244761	0.0238871	0.0145798	0.0106668	0.00524386	0.00453202	0.00403152
a6	0.0672054	0.138207	0.233757	0.173239	0.0673238	0.0564203	0.0210426	0.0256058	0.0203834	0.0217201	0.0363156	0.0381616	0.0377081	0.0248934	0.0195417	0.0184747
a21	0.0673568	0.112877	0.193369	0.125989	0.0805016	0.0922626	0.0564793	0.0459336	0.0310512	0.0312422	0.036827	0.0322768	0.0258648	0.0189516	0.0224037	0.0266137
a5	0.115235	0.17903	0.175742	0.107623	0.0809445	0.0883528	0.058529	0.0423464	0.0326748	0.0320924	0.0272168	0.0203777	0.0157866	0.00895145	0.00715937	0.00793773
a47	0.0967741	0.118272	0.152836	0.10192	0.0840983	0.0932878	0.0669452	0.0574863	0.0497946	0.049494	0.0393144	0.0290934	0.0206643	0.0133041	0.0123808	0.0143349
a21	0.0622752	0.0593111	0.0682337	0.0579241	0.0722996	0.0963053	0.0942833	0.087076	0.0682254	0.0784546	0.0699295	0.0607636	0.0485283	0.0269228	0.0222409	0.0272267
a85	0.0326343	0.0291298	0.0397212	0.0467439	0.079827	0.116955	0.13802	0.100314	0.0710849	0.0756551	0.055767	0.0482829	0.0397403	0.0382703	0.0402676	0.047587
a92	0.015168	0.0143844	0.0227155	0.031399	0.0563059	0.0717904	0.0828257	0.067023	0.0461768	0.0593994	0.057497	0.0700163	0.062855	0.086092	0.118594	0.137757
