 	le	mariage	nécessite	beaucoup	d'	argent	</S>
a66	0.416624	0.243783	0.136031	0.105071	0.0489326	0.0267706	0.0227877
a87	0.366992	0.21076	0.203942	0.109571	0.0473384	0.0305216	0.0308752
a23	0.569762	0.250628	0.0643097	0.0306797	0.0272906	0.0247996	0.0325303
a83	0.446375	0.356984	0.101075	0.0241755	0.0193963	0.02175	0.0302441
a71	0.426458	0.24811	0.117468	0.0438669	0.0418591	0.0527334	0.0695046
a9	0.457211	0.25307	0.16833	0.045617	0.0291268	0.0233677	0.023277
a75	0.425047	0.211293	0.18404	0.0652326	0.0399355	0.0344507	0.040001
a25	0.253807	0.224162	0.258878	0.0732794	0.0555861	0.0586666	0.0756204
a98	0.131724	0.161245	0.238942	0.154341	0.0979054	0.0952321	0.120612
a92	0.0951808	0.112975	0.229927	0.169297	0.116631	0.121276	0.154713
a98	0.196595	0.176418	0.232057	0.145511	0.0872113	0.0739806	0.0882267
a92	0.0541529	0.11731	0.243509	0.209963	0.146435	0.116736	0.111894
a6	0.0818965	0.154731	0.197669	0.174212	0.145903	0.126287	0.119302
a0	0.0934275	0.183822	0.197093	0.181377	0.133314	0.106215	0.104751
a43	0.0565794	0.143832	0.152392	0.214235	0.160601	0.125035	0.147324
a62	0.0274995	0.0759376	0.0851425	0.198546	0.222967	0.184436	0.205471
a31	0.0266463	0.0569647	0.058601	0.158943	0.229447	0.224331	0.245067
a62	0.0205222	0.0519184	0.0564358	0.149352	0.236983	0.242276	0.242513
a21	0.00964394	0.0224166	0.0271982	0.0781293	0.191657	0.29575	0.375205
a75	0.00522012	0.0125905	0.0156142	0.06503	0.193022	0.333866	0.374657
a92	0.000994368	0.00220234	0.00329638	0.0245431	0.125891	0.333492	0.509581
a44	0.000646019	0.0015284	0.00226992	0.0170797	0.104633	0.324598	0.549245
a90	0.00120455	0.00172265	0.00188548	0.0104063	0.0601596	0.258667	0.665955
a56	0.00159424	0.00223336	0.00207129	0.0102148	0.0577033	0.258329	0.667854
a90	0.000574592	0.00090778	0.00110279	0.00884847	0.0550055	0.253405	0.680156
a44	0.000465299	0.000721574	0.00106833	0.00709238	0.0462883	0.237098	0.707267
a11	0.000792901	0.0010998	0.00147286	0.0094719	0.0519753	0.244157	0.691031
a24	0.00380709	0.00307514	0.00387474	0.0217692	0.090207	0.283546	0.593721
a88	0.00736122	0.00555176	0.00756349	0.032598	0.103609	0.283703	0.559614
a9	0.0156855	0.0113344	0.0150899	0.0487602	0.123215	0.279511	0.506404
a99	0.183232	0.0904896	0.047146	0.0802208	0.125176	0.19443	0.279305
a87	0.28323	0.179235	0.0594084	0.0591051	0.0798554	0.127943	0.211224
a23	0.227051	0.175275	0.0638095	0.0560302	0.0940437	0.156839	0.226951
a87	0.0561715	0.0342047	0.0157652	0.033886	0.0964679	0.243743	0.519762
a23	0.00953174	0.00881842	0.00870293	0.0347952	0.105327	0.25585	0.576974
a99	0.0166088	0.0155587	0.012047	0.0415906	0.10996	0.257128	0.547107
a87	0.0151669	0.0158156	0.0140472	0.0506371	0.116271	0.260314	0.527749
</S>	0.0090563	0.00949849	0.0109337	0.0501741	0.117948	0.265393	0.536997
